panel,step,suite,task_id,global_task_id,init_state_id,teacher_demo,video_ordinal,env_seed,policy_seed_root,reference_success,candidate_success,reference_steps,candidate_steps
train,300,libero_spatial,0,0,32,48,32,7,7,1,1,75,75
train,300,libero_spatial,0,0,33,46,33,7,7,0,1,220,129
train,300,libero_spatial,0,0,34,47,34,7,7,0,1,220,73
train,300,libero_spatial,0,0,35,49,35,7,7,1,1,70,71
train,300,libero_spatial,2,2,32,49,32,7,7,1,1,90,96
train,300,libero_spatial,2,2,33,47,33,7,7,1,0,117,220
train,300,libero_spatial,2,2,34,48,34,7,7,1,1,114,117
train,300,libero_spatial,2,2,35,46,35,7,7,1,1,89,134
train,300,libero_spatial,4,4,32,46,32,7,7,0,0,220,220
train,300,libero_spatial,4,4,33,49,33,7,7,0,0,220,220
train,300,libero_spatial,4,4,34,48,34,7,7,1,1,180,187
train,300,libero_spatial,4,4,35,47,35,7,7,0,0,220,220
train,300,libero_spatial,5,5,32,49,32,7,7,0,0,220,220
train,300,libero_spatial,5,5,33,47,33,7,7,0,0,220,220
train,300,libero_spatial,5,5,34,46,34,7,7,0,0,220,220
train,300,libero_spatial,5,5,35,48,35,7,7,1,1,79,78
train,300,libero_spatial,7,7,32,49,32,7,7,0,0,220,220
train,300,libero_spatial,7,7,33,46,33,7,7,1,0,186,220
train,300,libero_spatial,7,7,34,48,34,7,7,0,0,220,220
train,300,libero_spatial,7,7,35,47,35,7,7,0,0,220,220
train,300,libero_spatial,9,9,32,46,32,7,7,1,0,191,220
train,300,libero_spatial,9,9,33,47,33,7,7,0,0,220,220
train,300,libero_spatial,9,9,34,48,34,7,7,0,0,220,220
train,300,libero_spatial,9,9,35,49,35,7,7,1,0,118,220
train,300,libero_object,2,12,32,48,32,7,7,0,0,280,280
train,300,libero_object,2,12,33,49,33,7,7,0,1,280,203
train,300,libero_object,2,12,34,47,34,7,7,1,0,202,280
train,300,libero_object,2,12,35,46,35,7,7,0,0,280,280
train,300,libero_object,4,14,32,47,32,7,7,1,1,162,162
train,300,libero_object,4,14,33,46,33,7,7,1,0,203,280
train,300,libero_object,4,14,34,49,34,7,7,1,0,182,280
