suite,task_id,init_state_id,env_seed,policy_seed_root,global_task_id,correct_teacher_demo,other_teacher_demo,video_ordinal,main_correct_success,main_same_task_other_success,main_cross_suite_wrong_success,main_shuffled_success,main_reversed_success,ablation_correct_success,ablation_same_task_other_success,ablation_cross_suite_wrong_success,ablation_shuffled_success,ablation_reversed_success,shared_no_video_success
libero_10,1,0,7,7,31,47,14,0,0,1,1,1,0,0,0,0,1,0,0
libero_10,1,1,7,7,31,9,26,1,1,0,1,0,0,0,0,0,0,0,0
libero_10,1,2,7,7,31,3,20,2,0,1,1,0,0,1,1,0,1,0,0
libero_10,1,3,7,7,31,32,49,3,1,1,1,0,1,1,1,1,0,0,0
libero_10,1,4,7,7,31,15,32,4,1,0,1,1,1,0,1,0,1,0,0
libero_10,1,5,7,7,31,18,35,5,0,0,1,0,0,0,0,1,1,0,0
libero_10,1,6,7,7,31,34,1,6,1,0,0,1,1,0,0,0,0,0,0
libero_10,1,7,7,7,31,11,28,7,0,0,1,0,0,0,0,0,0,0,0
libero_10,1,8,7,7,31,31,48,8,1,1,1,1,0,0,0,1,0,0,0
libero_10,1,9,7,7,31,45,12,9,1,0,1,0,0,0,0,1,0,1,0
libero_10,1,10,7,7,31,49,16,10,1,1,1,1,0,0,1,1,1,0,0
libero_10,1,11,7,7,31,28,45,11,0,0,1,1,1,1,1,1,0,1,0
libero_10,1,12,7,7,31,39,6,12,0,1,1,1,0,0,1,1,0,0,0
libero_10,1,13,7,7,31,43,10,13,1,1,0,0,1,1,1,1,0,1,1
libero_10,1,14,7,7,31,12,29,14,0,1,1,1,0,1,0,1,0,0,0
libero_10,1,15,7,7,31,38,5,15,0,0,0,0,0,0,0,0,0,0,0
libero_10,1,16,7,7,31,35,2,16,1,1,1,1,1,0,0,1,0,1,1
libero_10,1,17,7,7,31,33,0,17,0,0,0,1,0,1,1,0,0,0,0
libero_10,1,18,7,7,31,42,9,18,0,0,0,0,0,0,0,0,0,0,0
libero_10,1,19,7,7,31,24,41,19,1,0,1,0,0,1,0,0,0,1,0
libero_10,1,20,7,7,31,21,38,20,1,1,1,0,1,1,1,1,1,1,0
libero_10,1,21,7,7,31,23,40,21,0,0,1,0,0,1,1,0,0,0,0
libero_10,1,22,7,7,31,2,19,22,0,1,0,0,0,0,1,0,0,0,0
libero_10,1,23,7,7,31,48,15,23,1,0,1,0,1,0,1,0,1,0,0
libero_10,1,24,7,7,31,0,17,24,0,1,1,0,0,0,0,0,1,1,0
libero_10,1,25,7,7,31,7,24,25,1,0,1,1,0,0,0,1,0,0,0
libero_10,1,26,7,7,31,37,4,26,1,0,1,1,0,0,0,1,0,1,0
libero_10,1,27,7,7,31,4,21,27,0,1,1,0,1,1,1,1,1,1,0
libero_10,1,28,7,7,31,20,37,28,0,0,0,0,0,0,0,0,1,0,0
libero_10,1,29,7,7,31,25,42,29,1,1,1,0,0,0,0,0,0,1,0
libero_10,1,30,7,7,31,46,13,30,0,0,1,0,1,1,1,0,1,0,1
libero_10,1,31,7,7,31,22,39,31,0,1,1,1,1,0,0,0,1,0,0
libero_10,1,32,7,7,31,41,8,32,0,1,1,1,1,0,0,0,0,0,0
libero_10,1,33,7,7,31,40,7,33,0,0,0,0,0,0,0,1,0,0,1
libero_10,1,34,7,7,31,13,30,34,0,0,0,1,0,0,1,0,1,1,0
libero_10,1,35,7,7,31,16,33,35,1,0,0,0,0,0,0,0,0,1,0
libero_10,1,36,7,7,31,10,27,36,0,0,0,0,1,0,1,0,0,0,0
libero_10,1,37,7,7,31,17,34,37,1,1,1,1,1,1,1,1,1,0,1
libero_10,1,38,7,7,31,6,23,38,0,1,0,1,0,0,0,0,1,0,0
libero_10,1,39,7,7,31,27,44,39,0,0,0,1,0,0,0,0,0,0,0
libero_10,1,40,7,7,31,36,3,40,0,0,0,0,0,1,0,0,0,0,0
libero_10,1,41,7,7,31,26,43,41,1,1,1,0,1,1,1,1,1,0,0
libero_10,1,42,7,7,31,44,11,42,0,0,0,0,0,0,0,0,0,0,0
libero_10,1,43,7,7,31,19,36,43,1,1,1,1,1,0,0,0,1,1,0
libero_10,1,44,7,7,31,14,31,44,1,0,1,0,0,0,1,0,0,1,0
libero_10,1,45,7,7,31,8,25,45,1,0,1,0,0,1,0,0,1,0,0
