panel,step,condition,suite,task_id,global_task_id,init_state_id,teacher_demo,video_ordinal,env_seed,policy_seed_root,cross_episode_success,same_video_success,cross_episode_steps,same_video_steps
train,900,correct,libero_spatial,0,0,32,48,32,7,7,1,1,83,84
train,900,correct,libero_spatial,0,0,33,46,33,7,7,1,1,92,87
train,900,correct,libero_spatial,0,0,34,47,34,7,7,0,0,220,220
train,900,correct,libero_spatial,0,0,35,49,35,7,7,1,1,93,82
train,900,correct,libero_spatial,2,2,32,49,32,7,7,1,1,102,168
train,900,correct,libero_spatial,2,2,33,47,33,7,7,1,1,99,100
train,900,correct,libero_spatial,2,2,34,48,34,7,7,1,1,100,96
train,900,correct,libero_spatial,2,2,35,46,35,7,7,1,1,96,92
train,900,correct,libero_spatial,4,4,32,46,32,7,7,1,1,124,127
train,900,correct,libero_spatial,4,4,33,49,33,7,7,0,0,220,220
train,900,correct,libero_spatial,4,4,34,48,34,7,7,1,0,140,220
train,900,correct,libero_spatial,4,4,35,47,35,7,7,1,1,132,137
train,900,correct,libero_spatial,5,5,32,49,32,7,7,0,0,220,220
train,900,correct,libero_spatial,5,5,33,47,33,7,7,0,0,220,220
train,900,correct,libero_spatial,5,5,34,46,34,7,7,1,1,177,101
train,900,correct,libero_spatial,5,5,35,48,35,7,7,1,1,93,107
train,900,correct,libero_spatial,7,7,32,49,32,7,7,1,1,133,154
train,900,correct,libero_spatial,7,7,33,46,33,7,7,1,1,157,163
train,900,correct,libero_spatial,7,7,34,48,34,7,7,1,1,165,179
train,900,correct,libero_spatial,7,7,35,47,35,7,7,1,1,145,139
train,900,correct,libero_spatial,9,9,32,46,32,7,7,0,0,220,220
train,900,correct,libero_spatial,9,9,33,47,33,7,7,1,1,182,141
train,900,correct,libero_spatial,9,9,34,48,34,7,7,0,0,220,220
train,900,correct,libero_spatial,9,9,35,49,35,7,7,0,0,220,220
train,900,correct,libero_object,2,12,32,48,32,7,7,1,0,194,280
train,900,correct,libero_object,2,12,33,49,33,7,7,1,1,211,141
train,900,correct,libero_object,2,12,34,47,34,7,7,1,0,207,280
train,900,correct,libero_object,2,12,35,46,35,7,7,1,1,129,181
train,900,correct,libero_object,4,14,32,47,32,7,7,1,1,151,147
train,900,correct,libero_object,4,14,33,46,33,7,7,1,0,165,280
train,900,correct,libero_object,4,14,34,49,34,7,7,1,0,127,280
train,900,correct,libero_object,4,14,35,48,35,7,7,1,1,161,141
train,900,correct,libero_object,5,15,32,48,32,7,7,1,0,185,280
train,900,correct,libero_object,5,15,33,47,33,7,7,1,0,159,280
train,900,correct,libero_object,5,15,34,46,34,7,7,0,0,280,280
train,900,correct,libero_object,5,15,35,49,35,7,7,1,1,154,106
train,900,correct,libero_object,6,16,32,48,32,7,7,1,1,160,165
train,900,correct,libero_object,6,16,33,46,33,7,7,1,0,162,280
train,900,correct,libero_object,6,16,34,47,34,7,7,1,1,224,127
train,900,correct,libero_object,6,16,35,49,35,7,7,1,1,136,118
train,900,correct,libero_object,8,18,32,47,32,7,7,1,1,147,154
train,900,correct,libero_object,8,18,33,49,33,7,7,1,1,146,141
train,900,correct,libero_object,8,18,34,46,34,7,7,1,1,150,151
train,900,correct,libero_object,8,18,35,48,35,7,7,1,1,140,141
train,900,correct,libero_object,9,19,32,46,32,7,7,1,0,116,280
train,900,correct,libero_object,9,19,33,47,33,7,7,1,1,189,134
train,900,correct,libero_object,9,19,34,49,34,7,7,1,1,127,117
train,900,correct,libero_object,9,19,35,48,35,7,7,1,1,117,137
train,900,correct,libero_goal,0,20,32,47,32,7,7,0,0,300,300
train,900,correct,libero_goal,0,20,33,48,33,7,7,0,1,300,141
train,900,correct,libero_goal,0,20,34,46,34,7,7,0,1,300,198
train,900,correct,libero_goal,0,20,35,49,35,7,7,0,1,300,264
train,900,correct,libero_goal,1,21,32,47,32,7,7,1,1,79,77
train,900,correct,libero_goal,1,21,33,48,33,7,7,1,1,86,88
train,900,correct,libero_goal,1,21,34,46,34,7,7,1,1,80,79
train,900,correct,libero_goal,1,21,35,49,35,7,7,1,1,80,79
train,900,correct,libero_goal,2,22,32,46,32,7,7,1,0,105,300
train,900,correct,libero_goal,2,22,33,48,33,7,7,0,1,300,178
train,900,correct,libero_goal,2,22,34,49,34,7,7,1,1,112,168
train,900,correct,libero_goal,2,22,35,47,35,7,7,1,1,113,127
train,900,correct,libero_goal,5,25,32,48,32,7,7,0,0,300,300
train,900,correct,libero_goal,5,25,33,47,33,7,7,0,0,300,300
train,900,correct,libero_goal,5,25,34,49,34,7,7,0,0,300,300
train,900,correct,libero_goal,5,25,35,46,35,7,7,0,0,300,300
train,900,correct,libero_goal,8,28,32,49,32,7,7,1,1,75,90
train,900,correct,libero_goal,8,28,33,47,33,7,7,1,1,87,87
train,900,correct,libero_goal,8,28,34,46,34,7,7,1,1,76,79
train,900,correct,libero_goal,8,28,35,48,35,7,7,1,1,68,96
train,900,correct,libero_goal,9,29,32,46,32,7,7,0,0,300,300
train,900,correct,libero_goal,9,29,33,48,33,7,7,0,0,300,300
train,900,correct,libero_goal,9,29,34,49,34,7,7,0,0,300,300
train,900,correct,libero_goal,9,29,35,47,35,7,7,0,0,300,300
train,900,correct,libero_10,4,34,32,48,32,7,7,1,0,332,520
train,900,correct,libero_10,4,34,33,49,33,7,7,1,1,299,281
train,900,correct,libero_10,4,34,34,47,34,7,7,1,1,214,290
train,900,correct,libero_10,4,34,35,46,35,7,7,0,0,520,520
train,900,correct,libero_10,5,35,32,48,32,7,7,0,1,520,220
train,900,correct,libero_10,5,35,33,46,33,7,7,0,0,520,520
train,900,correct,libero_10,5,35,34,49,34,7,7,1,1,177,203
train,900,correct,libero_10,5,35,35,47,35,7,7,1,1,154,213
train,900,correct,libero_10,6,36,32,49,32,7,7,0,0,520,520
train,900,correct,libero_10,6,36,33,48,33,7,7,1,0,461,520
