model,panel,step,condition,suite,global_task_id,task_id,init_state_id,teacher_demo,video_ordinal,env_seed,policy_seed_root,success,steps
main,validation,900,correct,libero_10,31,1,0,47,0,7,7,0,520
main,validation,900,correct,libero_10,31,1,1,9,1,7,7,1,354
main,validation,900,correct,libero_10,31,1,2,3,2,7,7,0,520
main,validation,900,correct,libero_10,31,1,3,32,3,7,7,0,520
main,validation,900,correct,libero_10,31,1,4,15,4,7,7,1,348
main,validation,900,correct,libero_10,31,1,5,18,5,7,7,1,314
main,validation,900,correct,libero_10,31,1,6,34,6,7,7,1,366
main,validation,900,correct,libero_10,31,1,7,11,7,7,7,1,351
main,validation,900,correct,libero_10,31,1,8,31,8,7,7,1,333
main,validation,900,correct,libero_10,31,1,9,45,9,7,7,1,321
main,validation,900,correct,libero_10,31,1,10,49,10,7,7,1,323
main,validation,900,correct,libero_10,31,1,11,28,11,7,7,1,302
main,validation,900,correct,libero_10,31,1,12,39,12,7,7,0,520
main,validation,900,correct,libero_10,31,1,13,43,13,7,7,1,282
main,validation,900,correct,libero_10,31,1,14,12,14,7,7,1,458
main,validation,900,correct,libero_10,31,1,15,38,15,7,7,0,520
main,validation,900,correct,libero_10,31,1,16,35,16,7,7,1,281
main,validation,900,correct,libero_10,31,1,17,33,17,7,7,0,520
main,validation,900,correct,libero_10,31,1,18,42,18,7,7,1,481
main,validation,900,correct,libero_10,31,1,19,24,19,7,7,1,272
main,validation,900,correct,libero_10,31,1,20,21,20,7,7,1,365
main,validation,900,correct,libero_10,31,1,21,23,21,7,7,1,313
main,validation,900,correct,libero_10,31,1,22,2,22,7,7,1,326
main,validation,900,correct,libero_10,31,1,23,48,23,7,7,1,347
main,validation,900,correct,libero_10,31,1,24,0,24,7,7,1,396
main,validation,900,correct,libero_10,31,1,25,7,25,7,7,1,347
main,validation,900,correct,libero_10,31,1,26,37,26,7,7,0,520
main,validation,900,correct,libero_10,31,1,27,4,27,7,7,1,317
main,validation,900,correct,libero_10,31,1,28,20,28,7,7,0,520
main,validation,900,correct,libero_10,31,1,29,25,29,7,7,1,353
main,validation,900,correct,libero_10,31,1,30,46,30,7,7,1,261
main,validation,900,correct,libero_10,31,1,31,22,31,7,7,1,421
main,validation,900,correct,libero_10,31,1,32,41,32,7,7,1,511
main,validation,900,correct,libero_10,31,1,33,40,33,7,7,0,520
main,validation,900,correct,libero_10,31,1,34,13,34,7,7,1,354
main,validation,900,correct,libero_10,31,1,35,16,35,7,7,1,330
main,validation,900,correct,libero_10,31,1,36,10,36,7,7,0,520
main,validation,900,correct,libero_10,31,1,37,17,37,7,7,1,282
main,validation,900,correct,libero_10,31,1,38,6,38,7,7,0,520
main,validation,900,correct,libero_10,31,1,39,27,39,7,7,1,319
main,validation,900,correct,libero_10,31,1,40,36,40,7,7,0,520
main,validation,900,correct,libero_10,31,1,41,26,41,7,7,0,520
main,validation,900,correct,libero_10,31,1,42,44,42,7,7,0,520
main,validation,900,correct,libero_10,31,1,43,19,43,7,7,1,289
main,validation,900,correct,libero_10,31,1,44,14,44,7,7,1,279
main,validation,900,correct,libero_10,31,1,45,8,45,7,7,0,520
main,validation,900,correct,libero_10,31,1,46,5,46,7,7,0,520
main,validation,900,correct,libero_10,31,1,47,30,47,7,7,0,520
main,validation,900,correct,libero_10,31,1,48,29,48,7,7,0,520
main,validation,900,correct,libero_10,31,1,49,1,49,7,7,1,397
main,validation,900,correct,libero_10,32,2,0,16,0,7,7,0,520
main,validation,900,correct,libero_10,32,2,1,35,1,7,7,0,520
main,validation,900,correct,libero_10,32,2,2,12,2,7,7,0,520
main,validation,900,correct,libero_10,32,2,3,8,3,7,7,0,520
main,validation,900,correct,libero_10,32,2,4,37,4,7,7,0,520
main,validation,900,correct,libero_10,32,2,5,42,5,7,7,0,520
main,validation,900,correct,libero_10,32,2,6,15,6,7,7,0,520
main,validation,900,correct,libero_10,32,2,7,43,7,7,7,0,520
main,validation,900,correct,libero_10,32,2,8,33,8,7,7,0,520
main,validation,900,correct,libero_10,32,2,9,25,9,7,7,0,520
main,validation,900,correct,libero_10,32,2,10,3,10,7,7,0,520
main,validation,900,correct,libero_10,32,2,11,29,11,7,7,0,520
main,validation,900,correct,libero_10,32,2,12,24,12,7,7,0,520
main,validation,900,correct,libero_10,32,2,13,28,13,7,7,0,520
main,validation,900,correct,libero_10,32,2,14,47,14,7,7,0,520
main,validation,900,correct,libero_10,32,2,15,36,15,7,7,0,520
