model,panel,step,condition,suite,rows,successes,success_rate,breadth,tasks
ablation,train,900,correct,libero_10,24,8,0.3333333333333333,4,6
ablation,train,900,correct,libero_goal,24,11,0.4583333333333333,3,6
ablation,train,900,correct,libero_object,24,23,0.9583333333333334,6,6
ablation,train,900,correct,libero_spatial,24,17,0.7083333333333334,6,6
ablation,train,1200,correct,libero_10,24,9,0.375,4,6
ablation,train,1200,correct,libero_goal,24,14,0.5833333333333334,4,6
ablation,train,1200,correct,libero_object,24,18,0.75,6,6
ablation,train,1200,correct,libero_spatial,24,19,0.7916666666666666,6,6
ablation,train,1500,correct,libero_10,24,9,0.375,4,6
ablation,train,1500,correct,libero_goal,24,13,0.5416666666666666,5,6
ablation,train,1500,correct,libero_object,24,21,0.875,6,6
ablation,train,1500,correct,libero_spatial,24,19,0.7916666666666666,6,6
ablation,train,1800,correct,libero_10,24,10,0.4166666666666667,6,6
ablation,train,1800,correct,libero_goal,24,14,0.5833333333333334,5,6
ablation,train,1800,correct,libero_object,24,21,0.875,6,6
ablation,train,1800,correct,libero_spatial,24,20,0.8333333333333334,6,6
ablation,train,2100,correct,libero_10,24,10,0.4166666666666667,5,6
ablation,train,2100,correct,libero_goal,24,15,0.625,5,6
ablation,train,2100,correct,libero_object,24,22,0.9166666666666666,6,6
ablation,train,2100,correct,libero_spatial,24,20,0.8333333333333334,6,6
ablation,validation,900,correct,libero_10,100,27,0.27,1,2
ablation,validation,900,correct,libero_goal,100,32,0.32,1,2
ablation,validation,900,correct,libero_object,100,48,0.48,2,2
ablation,validation,900,correct,libero_spatial,100,18,0.18,1,2
ablation,validation,1200,correct,libero_10,100,15,0.15,1,2
ablation,validation,1200,correct,libero_goal,100,41,0.41,1,2
ablation,validation,1200,correct,libero_object,100,48,0.48,2,2
ablation,validation,1200,correct,libero_spatial,100,32,0.32,1,2
ablation,validation,1500,correct,libero_10,100,18,0.18,1,2
ablation,validation,1500,correct,libero_goal,100,42,0.42,1,2
ablation,validation,1500,correct,libero_object,100,50,0.5,2,2
ablation,validation,1500,correct,libero_spatial,100,37,0.37,1,2
ablation,validation,1500,cross_suite_wrong,libero_10,100,19,0.19,1,2
ablation,validation,1500,cross_suite_wrong,libero_goal,100,37,0.37,1,2
ablation,validation,1500,cross_suite_wrong,libero_object,100,53,0.53,2,2
ablation,validation,1500,cross_suite_wrong,libero_spatial,100,13,0.13,1,2
ablation,validation,1500,reversed,libero_10,100,15,0.15,1,2
ablation,validation,1500,reversed,libero_goal,100,33,0.33,1,2
ablation,validation,1500,reversed,libero_object,100,37,0.37,2,2
ablation,validation,1500,reversed,libero_spatial,100,1,0.01,1,2
ablation,validation,1500,same_task_other,libero_10,100,20,0.2,1,2
ablation,validation,1500,same_task_other,libero_goal,100,40,0.4,1,2
ablation,validation,1500,same_task_other,libero_object,100,57,0.57,2,2
ablation,validation,1500,same_task_other,libero_spatial,100,38,0.38,1,2
ablation,validation,1500,shuffled,libero_10,100,18,0.18,1,2
ablation,validation,1500,shuffled,libero_goal,100,37,0.37,1,2
ablation,validation,1500,shuffled,libero_object,100,34,0.34,2,2
ablation,validation,1500,shuffled,libero_spatial,100,15,0.15,1,2
ablation,validation,1800,correct,libero_10,100,12,0.12,1,2
ablation,validation,1800,correct,libero_goal,100,43,0.43,1,2
ablation,validation,1800,correct,libero_object,100,55,0.55,2,2
ablation,validation,1800,correct,libero_spatial,100,26,0.26,1,2
ablation,validation,2100,correct,libero_10,100,20,0.2,2,2
ablation,validation,2100,correct,libero_goal,100,38,0.38,1,2
ablation,validation,2100,correct,libero_object,100,68,0.68,2,2
ablation,validation,2100,correct,libero_spatial,100,33,0.33,1,2
ablation,validation,2100,same_task_other,libero_10,100,20,0.2,1,2
ablation,validation,2100,same_task_other,libero_goal,100,41,0.41,1,2
ablation,validation,2100,same_task_other,libero_object,100,66,0.66,2,2
ablation,validation,2100,same_task_other,libero_spatial,100,34,0.34,1,2
dual_camera,train,900,correct,libero_10,24,4,0.16666666666666666,2,6
dual_camera,train,900,correct,libero_goal,24,13,0.5416666666666666,4,6
dual_camera,train,900,correct,libero_object,24,18,0.75,6,6
dual_camera,train,900,correct,libero_spatial,24,17,0.7083333333333334,6,6
dual_camera,train,1200,correct,libero_10,24,10,0.4166666666666667,5,6
dual_camera,train,1200,correct,libero_goal,24,15,0.625,5,6
dual_camera,train,1200,correct,libero_object,24,20,0.8333333333333334,6,6
dual_camera,train,1200,correct,libero_spatial,24,19,0.7916666666666666,6,6
dual_camera,train,1500,correct,libero_10,24,13,0.5416666666666666,5,6
dual_camera,train,1500,correct,libero_goal,24,14,0.5833333333333334,4,6
dual_camera,train,1500,correct,libero_object,24,20,0.8333333333333334,6,6
dual_camera,train,1500,correct,libero_spatial,24,20,0.8333333333333334,6,6
dual_camera,validation,900,correct,libero_10,100,22,0.22,1,2
dual_camera,validation,900,correct,libero_goal,100,34,0.34,1,2
dual_camera,validation,900,correct,libero_object,100,52,0.52,2,2
dual_camera,validation,900,correct,libero_spatial,100,9,0.09,1,2
dual_camera,validation,1200,correct,libero_10,100,16,0.16,1,2
dual_camera,validation,1200,correct,libero_goal,100,39,0.39,1,2
dual_camera,validation,1200,correct,libero_object,100,47,0.47,2,2
dual_camera,validation,1200,correct,libero_spatial,100,6,0.06,1,2
dual_camera,validation,1500,correct,libero_10,100,19,0.19,1,2
dual_camera,validation,1500,correct,libero_goal,100,36,0.36,1,2
dual_camera,validation,1500,correct,libero_object,100,43,0.43,2,2
dual_camera,validation,1500,correct,libero_spatial,100,10,0.1,2,2
dual_camera,validation,1500,same_task_other,libero_10,100,22,0.22,1,2
dual_camera,validation,1500,same_task_other,libero_goal,100,34,0.34,2,2
dual_camera,validation,1500,same_task_other,libero_object,100,40,0.4,2,2
dual_camera,validation,1500,same_task_other,libero_spatial,100,9,0.09,2,2
main,train,900,correct,libero_10,24,5,0.20833333333333334,2,6
main,train,900,correct,libero_goal,24,14,0.5833333333333334,4,6
main,train,900,correct,libero_object,24,15,0.625,6,6
main,train,900,correct,libero_spatial,24,16,0.6666666666666666,6,6
main,train,1200,correct,libero_10,24,10,0.4166666666666667,4,6
main,train,1200,correct,libero_goal,24,13,0.5416666666666666,5,6
main,train,1200,correct,libero_object,24,22,0.9166666666666666,6,6
main,train,1200,correct,libero_spatial,24,22,0.9166666666666666,6,6
main,train,1500,correct,libero_10,24,8,0.3333333333333333,5,6
main,train,1500,correct,libero_goal,24,15,0.625,5,6
main,train,1500,correct,libero_object,24,20,0.8333333333333334,6,6
main,train,1500,correct,libero_spatial,24,22,0.9166666666666666,6,6
main,train,1800,correct,libero_10,24,9,0.375,4,6
main,train,1800,correct,libero_goal,24,14,0.5833333333333334,5,6
main,train,1800,correct,libero_object,24,22,0.9166666666666666,6,6
main,train,1800,correct,libero_spatial,24,19,0.7916666666666666,6,6
main,train,2100,correct,libero_10,24,10,0.4166666666666667,4,6
main,train,2100,correct,libero_goal,24,12,0.5,4,6
main,train,2100,correct,libero_object,24,24,1.0,6,6
main,train,2100,correct,libero_spatial,24,21,0.875,6,6
main,validation,900,correct,libero_10,100,32,0.32,1,2
main,validation,900,correct,libero_goal,100,42,0.42,1,2
main,validation,900,correct,libero_object,100,60,0.6,2,2
main,validation,900,correct,libero_spatial,100,15,0.15,1,2
main,validation,900,same_task_other,libero_10,100,20,0.2,1,2
main,validation,900,same_task_other,libero_goal,100,42,0.42,1,2
main,validation,900,same_task_other,libero_object,100,63,0.63,2,2
main,validation,900,same_task_other,libero_spatial,100,15,0.15,1,2
main,validation,1200,correct,libero_10,100,17,0.17,1,2
main,validation,1200,correct,libero_goal,100,45,0.45,1,2
main,validation,1200,correct,libero_object,100,76,0.76,2,2
main,validation,1200,correct,libero_spatial,100,36,0.36,1,2
main,validation,1200,same_task_other,libero_10,100,17,0.17,2,2
main,validation,1200,same_task_other,libero_goal,100,45,0.45,1,2
main,validation,1200,same_task_other,libero_object,100,67,0.67,2,2
main,validation,1200,same_task_other,libero_spatial,100,30,0.3,1,2
main,validation,1500,correct,libero_10,100,23,0.23,1,2
main,validation,1500,correct,libero_goal,100,48,0.48,1,2
main,validation,1500,correct,libero_object,100,59,0.59,2,2
main,validation,1500,correct,libero_spatial,100,35,0.35,1,2
main,validation,1500,cross_suite_wrong,libero_10,100,33,0.33,1,2
main,validation,1500,cross_suite_wrong,libero_goal,100,44,0.44,1,2
main,validation,1500,cross_suite_wrong,libero_object,100,47,0.47,2,2
main,validation,1500,cross_suite_wrong,libero_spatial,100,0,0.0,0,2
main,validation,1500,reversed,libero_10,100,17,0.17,1,2
main,validation,1500,reversed,libero_goal,100,36,0.36,1,2
main,validation,1500,reversed,libero_object,100,60,0.6,2,2
main,validation,1500,reversed,libero_spatial,100,0,0.0,0,2
main,validation,1500,same_task_other,libero_10,100,21,0.21,1,2
main,validation,1500,same_task_other,libero_goal,100,47,0.47,1,2
main,validation,1500,same_task_other,libero_object,100,65,0.65,2,2
main,validation,1500,same_task_other,libero_spatial,100,32,0.32,1,2
main,validation,1500,shuffled,libero_10,100,23,0.23,1,2
main,validation,1500,shuffled,libero_goal,100,39,0.39,1,2
main,validation,1500,shuffled,libero_object,100,45,0.45,2,2
main,validation,1500,shuffled,libero_spatial,100,6,0.06,1,2
main,validation,1800,correct,libero_10,100,24,0.24,1,2
main,validation,1800,correct,libero_goal,100,42,0.42,1,2
main,validation,1800,correct,libero_object,100,61,0.61,2,2
main,validation,1800,correct,libero_spatial,100,33,0.33,1,2
main,validation,2100,correct,libero_10,100,19,0.19,1,2
main,validation,2100,correct,libero_goal,100,44,0.44,1,2
main,validation,2100,correct,libero_object,100,61,0.61,2,2
main,validation,2100,correct,libero_spatial,100,34,0.34,2,2
main,validation,2100,same_task_other,libero_10,100,16,0.16,1,2
main,validation,2100,same_task_other,libero_goal,100,46,0.46,1,2
main,validation,2100,same_task_other,libero_object,100,62,0.62,2,2
main,validation,2100,same_task_other,libero_spatial,100,32,0.32,1,2
shared_source,validation,1500,no_video,libero_10,100,7,0.07,2,2
shared_source,validation,1500,no_video,libero_goal,100,42,0.42,1,2
shared_source,validation,1500,no_video,libero_object,100,1,0.01,1,2
shared_source,validation,1500,no_video,libero_spatial,100,0,0.0,0,2
