model,panel,step,condition,suite,global_task_id,task_id,rows,successes,success_rate,breadth,tasks
ablation,train,900,correct,libero_10,34,4,4,3,0.75,1,1
ablation,train,900,correct,libero_10,35,5,4,2,0.5,1,1
ablation,train,900,correct,libero_10,36,6,4,2,0.5,1,1
ablation,train,900,correct,libero_10,37,7,4,0,0.0,0,1
ablation,train,900,correct,libero_10,38,8,4,1,0.25,1,1
ablation,train,900,correct,libero_10,39,9,4,0,0.0,0,1
ablation,train,900,correct,libero_goal,20,0,4,0,0.0,0,1
ablation,train,900,correct,libero_goal,21,1,4,4,1.0,1,1
ablation,train,900,correct,libero_goal,22,2,4,3,0.75,1,1
ablation,train,900,correct,libero_goal,25,5,4,0,0.0,0,1
ablation,train,900,correct,libero_goal,28,8,4,4,1.0,1,1
ablation,train,900,correct,libero_goal,29,9,4,0,0.0,0,1
ablation,train,900,correct,libero_object,12,2,4,4,1.0,1,1
ablation,train,900,correct,libero_object,14,4,4,4,1.0,1,1
ablation,train,900,correct,libero_object,15,5,4,3,0.75,1,1
ablation,train,900,correct,libero_object,16,6,4,4,1.0,1,1
ablation,train,900,correct,libero_object,18,8,4,4,1.0,1,1
ablation,train,900,correct,libero_object,19,9,4,4,1.0,1,1
ablation,train,900,correct,libero_spatial,0,0,4,3,0.75,1,1
ablation,train,900,correct,libero_spatial,2,2,4,4,1.0,1,1
ablation,train,900,correct,libero_spatial,4,4,4,3,0.75,1,1
ablation,train,900,correct,libero_spatial,5,5,4,2,0.5,1,1
ablation,train,900,correct,libero_spatial,7,7,4,4,1.0,1,1
ablation,train,900,correct,libero_spatial,9,9,4,1,0.25,1,1
ablation,train,1200,correct,libero_10,34,4,4,2,0.5,1,1
ablation,train,1200,correct,libero_10,35,5,4,2,0.5,1,1
ablation,train,1200,correct,libero_10,36,6,4,3,0.75,1,1
ablation,train,1200,correct,libero_10,37,7,4,2,0.5,1,1
ablation,train,1200,correct,libero_10,38,8,4,0,0.0,0,1
ablation,train,1200,correct,libero_10,39,9,4,0,0.0,0,1
ablation,train,1200,correct,libero_goal,20,0,4,2,0.5,1,1
ablation,train,1200,correct,libero_goal,21,1,4,4,1.0,1,1
ablation,train,1200,correct,libero_goal,22,2,4,4,1.0,1,1
ablation,train,1200,correct,libero_goal,25,5,4,0,0.0,0,1
ablation,train,1200,correct,libero_goal,28,8,4,4,1.0,1,1
ablation,train,1200,correct,libero_goal,29,9,4,0,0.0,0,1
ablation,train,1200,correct,libero_object,12,2,4,2,0.5,1,1
ablation,train,1200,correct,libero_object,14,4,4,3,0.75,1,1
ablation,train,1200,correct,libero_object,15,5,4,2,0.5,1,1
ablation,train,1200,correct,libero_object,16,6,4,4,1.0,1,1
ablation,train,1200,correct,libero_object,18,8,4,4,1.0,1,1
ablation,train,1200,correct,libero_object,19,9,4,3,0.75,1,1
ablation,train,1200,correct,libero_spatial,0,0,4,2,0.5,1,1
ablation,train,1200,correct,libero_spatial,2,2,4,4,1.0,1,1
ablation,train,1200,correct,libero_spatial,4,4,4,3,0.75,1,1
ablation,train,1200,correct,libero_spatial,5,5,4,2,0.5,1,1
ablation,train,1200,correct,libero_spatial,7,7,4,4,1.0,1,1
ablation,train,1200,correct,libero_spatial,9,9,4,4,1.0,1,1
ablation,train,1500,correct,libero_10,34,4,4,3,0.75,1,1
ablation,train,1500,correct,libero_10,35,5,4,2,0.5,1,1
ablation,train,1500,correct,libero_10,36,6,4,3,0.75,1,1
ablation,train,1500,correct,libero_10,37,7,4,1,0.25,1,1
ablation,train,1500,correct,libero_10,38,8,4,0,0.0,0,1
ablation,train,1500,correct,libero_10,39,9,4,0,0.0,0,1
ablation,train,1500,correct,libero_goal,20,0,4,1,0.25,1,1
ablation,train,1500,correct,libero_goal,21,1,4,4,1.0,1,1
ablation,train,1500,correct,libero_goal,22,2,4,3,0.75,1,1
ablation,train,1500,correct,libero_goal,25,5,4,0,0.0,0,1
ablation,train,1500,correct,libero_goal,28,8,4,4,1.0,1,1
ablation,train,1500,correct,libero_goal,29,9,4,1,0.25,1,1
ablation,train,1500,correct,libero_object,12,2,4,2,0.5,1,1
ablation,train,1500,correct,libero_object,14,4,4,4,1.0,1,1
ablation,train,1500,correct,libero_object,15,5,4,3,0.75,1,1
ablation,train,1500,correct,libero_object,16,6,4,4,1.0,1,1
ablation,train,1500,correct,libero_object,18,8,4,4,1.0,1,1
ablation,train,1500,correct,libero_object,19,9,4,4,1.0,1,1
ablation,train,1500,correct,libero_spatial,0,0,4,3,0.75,1,1
ablation,train,1500,correct,libero_spatial,2,2,4,4,1.0,1,1
ablation,train,1500,correct,libero_spatial,4,4,4,3,0.75,1,1
ablation,train,1500,correct,libero_spatial,5,5,4,3,0.75,1,1
ablation,train,1500,correct,libero_spatial,7,7,4,4,1.0,1,1
ablation,train,1500,correct,libero_spatial,9,9,4,2,0.5,1,1
ablation,train,1800,correct,libero_10,34,4,4,2,0.5,1,1
ablation,train,1800,correct,libero_10,35,5,4,2,0.5,1,1
ablation,train,1800,correct,libero_10,36,6,4,3,0.75,1,1
ablation,train,1800,correct,libero_10,37,7,4,1,0.25,1,1
ablation,train,1800,correct,libero_10,38,8,4,1,0.25,1,1
ablation,train,1800,correct,libero_10,39,9,4,1,0.25,1,1
ablation,train,1800,correct,libero_goal,20,0,4,1,0.25,1,1
ablation,train,1800,correct,libero_goal,21,1,4,4,1.0,1,1
ablation,train,1800,correct,libero_goal,22,2,4,4,1.0,1,1
ablation,train,1800,correct,libero_goal,25,5,4,1,0.25,1,1
ablation,train,1800,correct,libero_goal,28,8,4,4,1.0,1,1
ablation,train,1800,correct,libero_goal,29,9,4,0,0.0,0,1
ablation,train,1800,correct,libero_object,12,2,4,4,1.0,1,1
ablation,train,1800,correct,libero_object,14,4,4,4,1.0,1,1
ablation,train,1800,correct,libero_object,15,5,4,1,0.25,1,1
ablation,train,1800,correct,libero_object,16,6,4,4,1.0,1,1
ablation,train,1800,correct,libero_object,18,8,4,4,1.0,1,1
ablation,train,1800,correct,libero_object,19,9,4,4,1.0,1,1
ablation,train,1800,correct,libero_spatial,0,0,4,3,0.75,1,1
ablation,train,1800,correct,libero_spatial,2,2,4,4,1.0,1,1
ablation,train,1800,correct,libero_spatial,4,4,4,3,0.75,1,1
ablation,train,1800,correct,libero_spatial,5,5,4,3,0.75,1,1
ablation,train,1800,correct,libero_spatial,7,7,4,4,1.0,1,1
ablation,train,1800,correct,libero_spatial,9,9,4,3,0.75,1,1
ablation,train,2100,correct,libero_10,34,4,4,2,0.5,1,1
ablation,train,2100,correct,libero_10,35,5,4,2,0.5,1,1
ablation,train,2100,correct,libero_10,36,6,4,4,1.0,1,1
ablation,train,2100,correct,libero_10,37,7,4,1,0.25,1,1
ablation,train,2100,correct,libero_10,38,8,4,0,0.0,0,1
ablation,train,2100,correct,libero_10,39,9,4,1,0.25,1,1
ablation,train,2100,correct,libero_goal,20,0,4,2,0.5,1,1
ablation,train,2100,correct,libero_goal,21,1,4,4,1.0,1,1
ablation,train,2100,correct,libero_goal,22,2,4,4,1.0,1,1
ablation,train,2100,correct,libero_goal,25,5,4,0,0.0,0,1
ablation,train,2100,correct,libero_goal,28,8,4,4,1.0,1,1
ablation,train,2100,correct,libero_goal,29,9,4,1,0.25,1,1
ablation,train,2100,correct,libero_object,12,2,4,4,1.0,1,1
ablation,train,2100,correct,libero_object,14,4,4,4,1.0,1,1
ablation,train,2100,correct,libero_object,15,5,4,2,0.5,1,1
ablation,train,2100,correct,libero_object,16,6,4,4,1.0,1,1
ablation,train,2100,correct,libero_object,18,8,4,4,1.0,1,1
ablation,train,2100,correct,libero_object,19,9,4,4,1.0,1,1
ablation,train,2100,correct,libero_spatial,0,0,4,4,1.0,1,1
ablation,train,2100,correct,libero_spatial,2,2,4,4,1.0,1,1
ablation,train,2100,correct,libero_spatial,4,4,4,3,0.75,1,1
ablation,train,2100,correct,libero_spatial,5,5,4,3,0.75,1,1
ablation,train,2100,correct,libero_spatial,7,7,4,4,1.0,1,1
ablation,train,2100,correct,libero_spatial,9,9,4,2,0.5,1,1
ablation,validation,900,correct,libero_10,31,1,50,27,0.54,1,1
