optimizer_step,applied_lr,next_lr,mean_action_loss,gradient_norm_before_clip_max,global_action_queries,global_samples_per_task_this_step,global_task_count_this_step,step_seconds_max,max_cuda_reserved_bytes
1,1.986754966887417e-06,3.973509933774834e-06,0.132145838605033,0.014454314485192299,576,16,36,147.79864389495924,36115054592
2,3.973509933774834e-06,5.9602649006622515e-06,0.12984548095199797,0.01479185838252306,1152,16,36,148.9956592032686,36115054592
3,5.9602649006622515e-06,7.947019867549668e-06,0.1261248058742947,0.015535407699644566,1728,16,36,148.94372523901984,36115054592
4,7.947019867549668e-06,9.933774834437086e-06,0.1317950338125229,0.016132380813360214,2304,16,36,149.84365160483867,36115054592
5,9.933774834437086e-06,1.1920529801324503e-05,0.12601088401344088,0.015356075018644333,2880,16,36,149.12178427400067,36115054592
6,1.1920529801324503e-05,1.390728476821192e-05,0.12911680589119592,0.014600608497858047,3456,16,36,149.00451329071075,36115054592
7,1.390728476821192e-05,1.5894039735099336e-05,0.1299113937550121,0.01376454345881939,4032,16,36,148.88849394023418,36115054592
8,1.5894039735099336e-05,1.7880794701986755e-05,0.12803278780645794,0.01456722803413868,4608,16,36,149.1948013631627,36115054592
9,1.7880794701986755e-05,1.9867549668874173e-05,0.12402199622657564,0.014658312313258648,5184,16,36,149.0108221047558,36115054592
10,1.9867549668874173e-05,2.1854304635761588e-05,0.1275707880655924,0.0138523168861866,5760,16,36,149.3173823938705,36115054592
11,2.1854304635761588e-05,2.3841059602649006e-05,0.12730428328116733,0.013298711739480495,6336,16,36,148.73021561140195,36115054592
12,2.3841059602649006e-05,2.582781456953642e-05,0.1266727629635069,0.013667639344930649,6912,16,36,148.8123242110014,36115054592
13,2.582781456953642e-05,2.781456953642384e-05,0.12758593344026142,0.015106510370969772,7488,16,36,148.97674952680245,36115054592
14,2.781456953642384e-05,2.9801324503311254e-05,0.12643357780244616,0.0142432926222682,8064,16,36,149.14022835018113,36115054592
15,2.9801324503311254e-05,3.178807947019867e-05,0.12216021286116704,0.013509764336049557,8640,16,36,149.03734699590132,36115054592
16,3.178807947019867e-05,3.377483443708609e-05,0.12809453821844524,0.013986460864543915,9216,16,36,148.93289093161002,36115054592
17,3.377483443708609e-05,3.576158940397351e-05,0.1278300608197848,0.014783089980483055,9792,16,36,149.53515186859295,36115054592
18,3.576158940397351e-05,3.774834437086093e-05,0.12748379343085817,0.013271489180624485,10368,16,36,148.97431580210105,36115054592
19,3.774834437086093e-05,3.9735099337748346e-05,0.12392561717165841,0.015145781449973583,10944,16,36,149.7042914875783,36115054592
20,3.9735099337748346e-05,4.172185430463576e-05,0.1305929621060689,0.014295322820544243,11520,16,36,148.586936627049,36115054592
21,4.172185430463576e-05,4.3708609271523176e-05,0.12360665119356579,0.012698442675173283,12096,16,36,148.93273582216352,36115054592
22,4.3708609271523176e-05,4.5695364238410594e-05,0.12192450960477193,0.012781615369021893,12672,16,36,148.60986923705786,36115054592
23,4.5695364238410594e-05,4.768211920529801e-05,0.1248860458532969,0.013200381770730019,13248,16,36,148.6291017550975,36115054592
24,4.768211920529801e-05,4.966887417218543e-05,0.1244459839330779,0.01420445553958416,13824,16,36,148.96672983607277,36115054592
25,4.966887417218543e-05,5.165562913907284e-05,0.12729311900006401,0.011924983002245426,14400,16,36,149.00512152863666,36115054592
26,5.165562913907284e-05,5.364238410596026e-05,0.1250998361243142,0.01367694977670908,14976,16,36,149.00432773074135,36115054592
27,5.364238410596026e-05,5.562913907284768e-05,0.12399156805541779,0.013732829131186008,15552,16,36,148.85935589810833,36115054592
28,5.562913907284768e-05,5.76158940397351e-05,0.11975776238573921,0.012504853308200836,16128,16,36,148.76510311616585,36115054592
29,5.76158940397351e-05,5.960264900662251e-05,0.11989486548635694,0.01361186895519495,16704,16,36,148.8293615616858,36115054592
30,5.960264900662251e-05,6.158940397350993e-05,0.12411725603871876,0.012091271579265594,17280,16,36,149.41689292015508,36115054592
31,6.158940397350993e-05,6.357615894039734e-05,0.12477342287699383,0.012662508524954319,17856,16,36,148.75095587875694,36115054592
32,6.357615894039734e-05,6.556291390728476e-05,0.1269820291135046,0.01282364409416914,18432,16,36,148.8104493850842,36115054592
33,6.556291390728476e-05,6.754966887417218e-05,0.12350380586253272,0.012140688486397266,19008,16,36,148.84495745040476,36115054592
34,6.754966887417218e-05,6.95364238410596e-05,0.12419805841313467,0.010844485834240913,19584,16,36,148.63240971695632,36115054592
35,6.95364238410596e-05,7.152317880794702e-05,0.11928927650054294,0.013164549134671688,20160,16,36,148.6845746920444,36115054592
36,7.152317880794702e-05,7.350993377483444e-05,0.11734001172913443,0.010610464960336685,20736,16,36,148.54390523722395,36115054592
37,7.350993377483444e-05,7.549668874172185e-05,0.12695965501997206,0.011341080069541931,21312,16,36,148.74149158922955,36115054592
38,7.549668874172185e-05,7.748344370860926e-05,0.1176886972453859,0.011720583774149418,21888,16,36,148.63857359392568,36115054592
39,7.748344370860926e-05,7.947019867549669e-05,0.11692835059430863,0.010955879464745522,22464,16,36,148.64721215888858,36115054592
40,7.947019867549669e-05,8.14569536423841e-05,0.12004620747433768,0.011089869774878025,23040,16,36,148.581502197776,36115054592
41,8.14569536423841e-05,8.344370860927151e-05,0.12276156081093681,0.012457238510251045,23616,16,36,148.59253056393936,36115054592
42,8.344370860927151e-05,8.543046357615893e-05,0.11843215425809224,0.01250184141099453,24192,16,36,148.7290674811229,36115054592
43,8.543046357615893e-05,8.741721854304635e-05,0.1218582648370001,0.01097921933978796,24768,16,36,149.22131223976612,36115054592
44,8.741721854304635e-05,8.940397350993377e-05,0.12030903498331705,0.012044593691825867,25344,16,36,148.55953585822135,36115054592
45,8.940397350993377e-05,9.139072847682119e-05,0.1197222065594461,0.012490635737776756,25920,16,36,148.56460462976247,36115054592
46,9.139072847682119e-05,9.337748344370859e-05,0.12646384785572687,0.011788101866841316,26496,16,36,148.65074094804004,36115054592
47,9.337748344370859e-05,9.536423841059602e-05,0.1208260969983207,0.01190201286226511,27072,16,36,148.79293621331453,36115054592
48,9.536423841059602e-05,9.735099337748343e-05,0.1193161540561252,0.01118250098079443,27648,16,36,148.58464502496645,36115054592
49,9.735099337748343e-05,9.933774834437086e-05,0.12375628203153607,0.012216312810778618,28224,16,36,148.5963064758107,36115054592
50,9.933774834437086e-05,0.00010132450331125827,0.11986847387419806,0.012219587340950966,28800,16,36,150.34393746219575,36115054592
