study,task_group,start,end,exposures,flow_loss_mean,flow_loss_median,flow_loss_p95,teaching_loss_mean,teaching_loss_median,teaching_loss_p95,fm_lora_gradient_norm_mean,fm_lora_gradient_norm_median,fm_lora_gradient_norm_p95,teaching_lora_gradient_norm_mean,teaching_lora_gradient_norm_median,teaching_lora_gradient_norm_p95
old,common20,1,200,667,0.12620403590386248,0.12097453929129098,0.19088603485198247,0.07845214415604117,0.06708268821239471,0.16085284948349,0.015074590348807544,0.012257443740963936,0.0306381918489933,0.010001712500863336,0.008170955814421177,0.022536514326930046
old,common20,201,400,665,0.11693579085035175,0.11081220564388093,0.17590181742395672,0.06780594982402889,0.060311511158943176,0.13851633667945862,0.012693261444792712,0.011113816872239113,0.024123607203364372,0.008627616884396937,0.007227963302284479,0.017064262181520462
old,common20,401,600,668,0.11109337840512891,0.10751556268050558,0.1623626791295551,0.061994156538101725,0.05429212749004364,0.12538550794124603,0.011757346636247626,0.010751043912023306,0.01997009851038456,0.0078288247794175,0.006827676901593804,0.01580617018043995
old,common20,601,800,666,0.10827102079048878,0.10462368776400885,0.16154739828336806,0.05978551862884436,0.05337051674723625,0.12350121885538101,0.010840921015296882,0.010199511889368296,0.01673559658229351,0.007473671347197906,0.006579031003639102,0.013514183461666107
old,common20,801,1000,668,0.10599274451052756,0.10217328884062313,0.154202034785634,0.0565109791786237,0.05006079003214836,0.11716628819704056,0.01068454502989722,0.009915275499224663,0.01706581376492977,0.007201962680995051,0.0066961972042918205,0.012950330972671509
old,common20,1001,1200,666,0.10306141994297972,0.09996693386208444,0.15158217506749289,0.05469043236701293,0.04648529551923275,0.12235260754823685,0.01019639610075154,0.009807114955037832,0.01555150467902422,0.007215570446590448,0.0064035155810415745,0.013187161646783352
old,common20,1201,1400,665,0.09980904213267865,0.0950513868814423,0.14778797292993182,0.054965596112485665,0.04672282934188843,0.11944107711315155,0.009469291482372839,0.009049017913639545,0.014298079535365105,0.006900840115740447,0.006308467127382755,0.01298476755619049
old,common20,1401,1600,667,0.09814775454898654,0.09398748654694783,0.14989739993498438,0.0510667453979378,0.04346701130270958,0.11010395735502243,0.009099962235871015,0.008571344427764416,0.013974901288747787,0.006888484179476524,0.006329580210149288,0.012317913584411144
old,common20,1601,1800,668,0.0981189503314811,0.09526191864694868,0.14445958818708146,0.0500646511456667,0.04221995733678341,0.11661373823881149,0.008974282669801333,0.008490060456097126,0.013502856716513634,0.006933681472186501,0.006352149648591876,0.013048473745584488
old,common20,1801,2000,668,0.09816830301413533,0.09534335136413574,0.1455968256507601,0.05015661152327868,0.043178804218769073,0.10480011254549026,0.009091853384419294,0.00874787149950862,0.013405362144112587,0.007001498633574605,0.006248827092349529,0.012686568312346935
