study,task_group,step,suite,task,occurrence,condition_index,queries,frames,flow_loss,teaching_loss,fm_lora_gradient_norm,teaching_lora_gradient_norm,task_weight,seconds
old,common20,1,libero_spatial,5,0,0,21,27,0.18136352939265116,0.11897430568933487,0.00620992248877883,0.004716130439192057,0.25,6.110114241950214
old,common20,1,libero_10,38,0,0,21,80,0.1265660694667271,0.04092208668589592,0.0036823975387960672,0.002771772677078843,0.25,13.499430666677654
old,common20,1,libero_goal,22,0,0,21,24,0.25748759508132935,0.1298936903476715,0.012257443740963936,0.005630886182188988,0.25,5.8733552023768425
old,common20,1,libero_goal,29,0,0,21,33,0.16619124086130233,0.2230646163225174,0.006369087845087051,0.006997487507760525,0.25,6.985363682731986
old,common20,2,libero_object,19,0,0,21,26,0.08984801244168054,0.0665610134601593,0.0036094593815505505,0.002867672359570861,0.25,6.377768203616142
old,common20,2,libero_goal,25,0,0,21,30,0.17499510021436782,0.21149446070194244,0.009961847215890884,0.006809040904045105,0.25,6.627883547917008
old,common20,2,libero_spatial,0,0,0,21,20,0.22496619394847325,0.08523326367139816,0.007247693836688995,0.0033816182985901833,0.25,5.194856507703662
old,common20,2,libero_10,35,0,0,21,36,0.07646103770959944,0.02298247627913952,0.003615163965150714,0.002166589954867959,0.25,7.319270917214453
old,common20,3,libero_goal,28,0,0,21,17,0.16823160648345947,0.0670316070318222,0.006604875437915325,0.0028156177140772343,0.25,4.8911103485152125
old,common20,3,libero_10,37,0,0,21,55,0.1451379997389657,0.06318265944719315,0.004122462589293718,0.003273938549682498,0.25,9.948808102868497
old,common20,3,libero_spatial,4,0,0,21,31,0.15315472795849755,0.057552751153707504,0.0054493071511387825,0.0035962825641036034,0.25,6.805401933379471
old,common20,3,libero_object,15,0,0,21,29,0.12953452553067887,0.16336509585380554,0.00506572425365448,0.006732470355927944,0.25,6.5119915176182985
old,old_only4,4,libero_spatial,9,0,0,21,28,0.1664588749408722,0.15134719014167786,0.006677474360913038,0.004647897556424141,0.25,6.194669937714934
old,old_only4,4,libero_10,39,0,0,21,52,0.271751520889146,0.1926005780696869,0.007262462750077248,0.006300298497080803,0.25,9.755489410832524
old,common20,4,libero_spatial,7,0,0,21,29,0.1348556773293586,0.10360866785049438,0.00463648047298193,0.004175255540758371,0.25,6.328082425519824
old,common20,4,libero_spatial,2,0,0,21,25,0.1051450286592756,0.027777040377259254,0.005047476850450039,0.002393628703430295,0.25,5.994933512061834
old,old_only4,5,libero_object,16,0,0,21,32,0.14210406229609535,0.10052444785833359,0.005792294628918171,0.004225816577672958,0.25,6.6744499914348125
old,common20,5,libero_10,34,0,0,21,53,0.10066978952714375,0.03951000049710274,0.004448398482054472,0.002949388464912772,0.25,9.658659576438367
old,common20,5,libero_object,14,0,0,21,32,0.11428781279495784,0.0911356657743454,0.005907117854803801,0.003418129635974765,0.25,6.986993450671434
old,common20,5,libero_10,36,0,0,21,51,0.12241589845645995,0.08153988420963287,0.004462538752704859,0.003959793597459793,0.25,9.64122530259192
old,common20,6,libero_goal,21,0,0,21,22,0.14797204945768627,0.1078515574336052,0.006964204832911491,0.004972189199179411,0.25,5.4389069974422455
old,common20,6,libero_goal,20,0,0,21,29,0.14507305480185007,0.05930057913064957,0.010854696854948997,0.0040521081537008286,0.25,6.520470040850341
old,common20,6,libero_object,12,0,0,21,26,0.12997006873289743,0.0743517130613327,0.005965044256299734,0.004358227364718914,0.25,6.177386742085218
old,old_only4,6,libero_object,18,0,0,21,32,0.11822053222429185,0.1196461096405983,0.005942083895206451,0.006030340678989887,0.25,6.724682868458331
old,common20,7,libero_goal,22,1,0,21,27,0.21767966449260706,0.1472139209508896,0.013329112902283669,0.005587670486420393,0.25,6.348837001249194
old,common20,7,libero_10,35,1,0,21,38,0.07796732354022207,0.025089561939239502,0.004182265605777502,0.0018496121047064662,0.25,8.109990938566625
old,old_only4,7,libero_object,18,1,0,21,34,0.11682852215710138,0.09278977662324905,0.00486155366525054,0.003918899223208427,0.25,8.080133413895965
old,common20,7,libero_spatial,7,1,0,21,28,0.12651038595608302,0.07411044090986252,0.004887172486633062,0.003826718544587493,0.25,6.780322240665555
old,common20,8,libero_goal,21,1,0,21,21,0.1136785376639593,0.1076132282614708,0.006354072596877813,0.005528622306883335,0.25,5.633301010355353
old,common20,8,libero_10,36,1,0,21,46,0.12381319843587421,0.0693388506770134,0.004515695385634899,0.004164246842265129,0.25,9.010496120899916
old,common20,8,libero_spatial,0,1,0,21,35,0.21832879668190366,0.19472728669643402,0.008807850070297718,0.006531521677970886,0.25,7.6006280314177275
old,common20,8,libero_object,14,1,0,21,41,0.09200488775968552,0.12288213521242142,0.005149330012500286,0.006381072569638491,0.25,8.706325781531632
old,common20,9,libero_10,34,1,0,21,51,0.11239253623144967,0.0725334882736206,0.005029184743762016,0.004405333194881678,0.25,9.759821873158216
old,common20,9,libero_object,12,1,0,21,27,0.11681633655514036,0.06483921408653259,0.005262333899736404,0.004703005310148001,0.25,6.404609230346978
old,common20,9,libero_object,15,1,0,21,33,0.15901432718549455,0.2756578028202057,0.008219918236136436,0.010213381610810757,0.25,7.45629879552871
old,common20,9,libero_goal,25,1,0,21,30,0.17498553224972313,0.2057286947965622,0.022155137732625008,0.009873808361589909,0.25,6.898050791583955
old,old_only4,10,libero_spatial,9,1,0,21,29,0.1591892632700148,0.10091729462146759,0.007335045840591192,0.005047790706157684,0.25,6.812384809367359
old,common20,10,libero_goal,20,1,0,21,24,0.1707892126980282,0.156875878572464,0.012606081552803516,0.010628771036863327,0.25,6.01111922506243
old,common20,10,libero_object,19,1,0,21,40,0.08239174350386574,0.10827210545539856,0.005741700530052185,0.006203680764883757,0.25,8.517354435287416
old,common20,10,libero_10,37,1,0,21,57,0.1537914602529435,0.05496668443083763,0.007198673207312822,0.0040091099217534065,0.25,10.679332965053618
old,common20,11,libero_spatial,2,1,0,21,24,0.12097453929129098,0.06364046782255173,0.008063750341534615,0.004487811587750912,0.25,6.008376029320061
old,common20,11,libero_goal,28,1,0,21,20,0.11643028897898537,0.041058409959077835,0.008149594999849796,0.003820607904344797,0.25,5.629122533835471
old,common20,11,libero_goal,29,1,0,21,32,0.1792221828585579,0.1670609414577484,0.009924432262778282,0.009018855169415474,0.25,7.410053568892181
old,common20,11,libero_spatial,5,1,0,21,21,0.17978617194153013,0.1554759293794632,0.010747149586677551,0.008840137161314487,0.25,5.789922469295561
old,old_only4,12,libero_10,39,1,0,21,67,0.18083702169713517,0.13320526480674744,0.01175613235682249,0.007930750027298927,0.25,12.062419258058071
old,old_only4,12,libero_object,16,1,0,21,35,0.1237196574608485,0.10010799020528793,0.01072558294981718,0.008642949163913727,0.25,7.778262076899409
old,common20,12,libero_10,38,1,0,21,81,0.12557397321576164,0.060025814920663834,0.010776786133646965,0.0045301965437829494,0.25,14.170963124372065
old,common20,12,libero_spatial,4,1,0,21,39,0.1828255901734034,0.20673371851444244,0.009911641478538513,0.013657412491738796,0.25,8.280483824200928
old,common20,13,libero_spatial,7,2,0,21,30,0.16021693107627685,0.0669754296541214,0.010762260295450687,0.004940269980579615,0.25,6.923399958759546
