study,suite,global_task_id,task_group
old,libero_spatial,5,common20
old,libero_10,38,common20
old,libero_goal,22,common20
old,libero_goal,29,common20
old,libero_object,19,common20
old,libero_goal,25,common20
old,libero_spatial,0,common20
old,libero_10,35,common20
old,libero_goal,28,common20
old,libero_10,37,common20
old,libero_spatial,4,common20
old,libero_object,15,common20
old,libero_spatial,9,old_only4
old,libero_10,39,old_only4
old,libero_spatial,7,common20
old,libero_spatial,2,common20
old,libero_object,16,old_only4
old,libero_10,34,common20
old,libero_object,14,common20
old,libero_10,36,common20
old,libero_goal,21,common20
old,libero_goal,20,common20
old,libero_object,12,common20
old,libero_object,18,old_only4
new,libero_object,12,common20
new,libero_90,42,aux12
new,libero_goal,28,common20
new,libero_goal,29,common20
new,libero_10,35,common20
new,libero_90,96,aux12
new,libero_spatial,4,common20
new,libero_goal,25,common20
new,libero_goal,20,common20
new,libero_object,14,common20
new,libero_10,34,common20
new,libero_object,19,common20
new,libero_10,37,common20
new,libero_90,55,aux12
new,libero_90,101,aux12
new,libero_90,73,aux12
new,libero_goal,22,common20
new,libero_90,64,aux12
new,libero_spatial,0,common20
new,libero_spatial,2,common20
new,libero_90,97,aux12
new,libero_10,36,common20
new,libero_10,32,new_only4
new,libero_spatial,7,common20
new,libero_spatial,5,common20
new,libero_spatial,1,new_only4
new,libero_object,15,common20
new,libero_90,62,aux12
new,libero_90,51,aux12
new,libero_object,13,new_only4
new,libero_90,56,aux12
new,libero_90,95,aux12
new,libero_goal,21,common20
new,libero_90,43,aux12
new,libero_10,38,common20
new,libero_object,17,new_only4
