panel,global_step,suite,successes,episodes
original_n1000_correct,1000,libero_10,27,100
original_n1000_correct,1000,libero_goal,39,100
original_n1000_correct,1000,libero_object,43,100
original_n1000_correct,1000,libero_spatial,8,100
parent_n1800_correct,1800,libero_10,4,100
parent_n1800_correct,1800,libero_goal,40,100
parent_n1800_correct,1800,libero_object,42,100
parent_n1800_correct,1800,libero_spatial,6,100
phase_1900_correct,1900,libero_10,6,100
phase_1900_correct,1900,libero_goal,42,100
phase_1900_correct,1900,libero_object,43,100
phase_1900_correct,1900,libero_spatial,10,100
phase_2000_correct,2000,libero_10,6,100
phase_2000_correct,2000,libero_goal,38,100
phase_2000_correct,2000,libero_object,40,100
phase_2000_correct,2000,libero_spatial,8,100
phase_2100_correct,2100,libero_10,5,100
phase_2100_correct,2100,libero_goal,43,100
phase_2100_correct,2100,libero_object,40,100
phase_2100_correct,2100,libero_spatial,7,100
phase_2200_correct,2200,libero_10,4,100
phase_2200_correct,2200,libero_goal,45,100
phase_2200_correct,2200,libero_object,38,100
phase_2200_correct,2200,libero_spatial,11,100
phase_2300_correct,2300,libero_10,6,100
phase_2300_correct,2300,libero_goal,46,100
phase_2300_correct,2300,libero_object,41,100
phase_2300_correct,2300,libero_spatial,8,100
