panel,global_step,suite,task_id,successes,episodes
original_n1000_correct,1000,libero_10,1,27,50
original_n1000_correct,1000,libero_10,9,0,50
original_n1000_correct,1000,libero_goal,3,0,50
original_n1000_correct,1000,libero_goal,6,39,50
original_n1000_correct,1000,libero_object,1,43,50
original_n1000_correct,1000,libero_object,6,0,50
original_n1000_correct,1000,libero_spatial,3,8,50
original_n1000_correct,1000,libero_spatial,6,0,50
parent_n1800_correct,1800,libero_10,1,4,50
parent_n1800_correct,1800,libero_10,9,0,50
parent_n1800_correct,1800,libero_goal,3,1,50
parent_n1800_correct,1800,libero_goal,6,39,50
parent_n1800_correct,1800,libero_object,1,42,50
parent_n1800_correct,1800,libero_object,6,0,50
parent_n1800_correct,1800,libero_spatial,3,6,50
parent_n1800_correct,1800,libero_spatial,6,0,50
phase_1900_correct,1900,libero_10,1,6,50
phase_1900_correct,1900,libero_10,9,0,50
phase_1900_correct,1900,libero_goal,3,0,50
phase_1900_correct,1900,libero_goal,6,42,50
phase_1900_correct,1900,libero_object,1,42,50
phase_1900_correct,1900,libero_object,6,1,50
phase_1900_correct,1900,libero_spatial,3,8,50
phase_1900_correct,1900,libero_spatial,6,2,50
phase_2000_correct,2000,libero_10,1,6,50
phase_2000_correct,2000,libero_10,9,0,50
phase_2000_correct,2000,libero_goal,3,0,50
phase_2000_correct,2000,libero_goal,6,38,50
phase_2000_correct,2000,libero_object,1,40,50
phase_2000_correct,2000,libero_object,6,0,50
phase_2000_correct,2000,libero_spatial,3,7,50
phase_2000_correct,2000,libero_spatial,6,1,50
phase_2100_correct,2100,libero_10,1,5,50
phase_2100_correct,2100,libero_10,9,0,50
phase_2100_correct,2100,libero_goal,3,0,50
phase_2100_correct,2100,libero_goal,6,43,50
phase_2100_correct,2100,libero_object,1,40,50
phase_2100_correct,2100,libero_object,6,0,50
phase_2100_correct,2100,libero_spatial,3,6,50
phase_2100_correct,2100,libero_spatial,6,1,50
phase_2200_correct,2200,libero_10,1,4,50
phase_2200_correct,2200,libero_10,9,0,50
phase_2200_correct,2200,libero_goal,3,0,50
phase_2200_correct,2200,libero_goal,6,45,50
phase_2200_correct,2200,libero_object,1,38,50
phase_2200_correct,2200,libero_object,6,0,50
phase_2200_correct,2200,libero_spatial,3,10,50
phase_2200_correct,2200,libero_spatial,6,1,50
phase_2300_correct,2300,libero_10,1,6,50
phase_2300_correct,2300,libero_10,9,0,50
phase_2300_correct,2300,libero_goal,3,0,50
phase_2300_correct,2300,libero_goal,6,46,50
phase_2300_correct,2300,libero_object,1,41,50
phase_2300_correct,2300,libero_object,6,0,50
phase_2300_correct,2300,libero_spatial,3,7,50
phase_2300_correct,2300,libero_spatial,6,1,50
