arm,global_task_id,init_state_id,baseline_success,arm_success,transition,baseline_steps,arm_steps
O1200,3,0,True,True,retained,118,118
O1200,3,1,False,False,stable_failure,220,220
O1200,3,2,True,True,retained,104,104
O1200,3,3,False,False,stable_failure,220,220
O1200,11,0,False,False,stable_failure,280,280
O1200,11,1,True,True,retained,130,130
O1200,11,2,True,True,retained,154,154
O1200,11,3,True,True,retained,127,127
O1200,26,0,True,True,retained,100,100
O1200,26,1,True,True,retained,118,118
O1200,26,2,True,True,retained,106,106
O1200,26,3,True,True,retained,109,109
O1200,31,0,True,True,retained,463,463
O1200,31,1,True,True,retained,411,411
O1200,31,2,False,False,stable_failure,520,520
O1200,31,3,False,False,stable_failure,520,520
SELF,3,0,True,True,retained,118,117
SELF,3,1,False,False,stable_failure,220,220
SELF,3,2,True,True,retained,104,99
SELF,3,3,False,False,stable_failure,220,220
SELF,11,0,False,True,gained,280,185
SELF,11,1,True,True,retained,130,130
SELF,11,2,True,True,retained,154,208
SELF,11,3,True,True,retained,127,127
SELF,26,0,True,True,retained,100,102
SELF,26,1,True,True,retained,118,118
SELF,26,2,True,True,retained,106,106
SELF,26,3,True,True,retained,109,116
SELF,31,0,True,False,lost,463,520
SELF,31,1,True,True,retained,411,509
SELF,31,2,False,False,stable_failure,520,520
SELF,31,3,False,False,stable_failure,520,520
NEWSPACE,3,0,True,False,lost,118,220
NEWSPACE,3,1,False,True,gained,220,198
NEWSPACE,3,2,True,True,retained,104,105
NEWSPACE,3,3,False,True,gained,220,137
NEWSPACE,11,0,False,True,gained,280,122
NEWSPACE,11,1,True,True,retained,130,148
NEWSPACE,11,2,True,True,retained,154,132
NEWSPACE,11,3,True,True,retained,127,138
NEWSPACE,26,0,True,True,retained,100,98
NEWSPACE,26,1,True,True,retained,118,102
NEWSPACE,26,2,True,True,retained,106,98
NEWSPACE,26,3,True,True,retained,109,96
NEWSPACE,31,0,True,False,lost,463,520
NEWSPACE,31,1,True,False,lost,411,520
NEWSPACE,31,2,False,False,stable_failure,520,520
NEWSPACE,31,3,False,False,stable_failure,520,520
SHRINK,3,0,True,False,lost,118,220
SHRINK,3,1,False,False,stable_failure,220,220
SHRINK,3,2,True,True,retained,104,103
SHRINK,3,3,False,False,stable_failure,220,220
SHRINK,11,0,False,True,gained,280,157
SHRINK,11,1,True,True,retained,130,135
SHRINK,11,2,True,True,retained,154,132
SHRINK,11,3,True,True,retained,127,130
SHRINK,26,0,True,True,retained,100,101
SHRINK,26,1,True,True,retained,118,118
SHRINK,26,2,True,True,retained,106,115
SHRINK,26,3,True,True,retained,109,98
SHRINK,31,0,True,False,lost,463,520
SHRINK,31,1,True,False,lost,411,520
SHRINK,31,2,False,False,stable_failure,520,520
SHRINK,31,3,False,False,stable_failure,520,520
