asset,global_task_id,teacher_demo,family,total_energy,rank_centered_energy_ratio,layer_centered_energy_ratio,rank_gram,layer_gram
N1000,5,46,q_b,1095.9607667709352,0.006544573845801402,0.043689227192059414,"{""off_diagonal_max"":0.9998382168690365,""off_diagonal_mean"":0.9987882933112157,""off_diagonal_min"":0.995249023826265}","{""off_diagonal_max"":0.9993092457653276,""off_diagonal_mean"":0.9636201875533104,""off_diagonal_min"":0.8542727563904423}"
N1000,5,46,v_b,1153.8277176508586,0.00649557250289152,0.04262758449874841,"{""off_diagonal_max"":0.9998500331744595,""off_diagonal_mean"":0.9987074489750779,""off_diagonal_min"":0.9941466096421476}","{""off_diagonal_max"":0.9992000200147668,""off_diagonal_mean"":0.961283990560534,""off_diagonal_min"":0.8364277405142584}"
N1000,5,48,q_b,1150.8806525928273,0.00615126720761986,0.04028799942494118,"{""off_diagonal_max"":0.9998558237603352,""off_diagonal_mean"":0.9988427791727041,""off_diagonal_min"":0.9956036862670186}","{""off_diagonal_max"":0.9993469097192811,""off_diagonal_mean"":0.9667912695646833,""off_diagonal_min"":0.8711344191504429}"
N1000,5,48,v_b,1183.9716699445632,0.006378181483748613,0.042149253950792595,"{""off_diagonal_max"":0.9998611544053104,""off_diagonal_mean"":0.9987380166797135,""off_diagonal_min"":0.9940264602056477}","{""off_diagonal_max"":0.9992533090404208,""off_diagonal_mean"":0.9622638933947358,""off_diagonal_min"":0.841651896268441}"
N1000,7,46,q_b,959.9842434280542,0.0034283369208640076,0.028308136459557404,"{""off_diagonal_max"":0.9998863897489261,""off_diagonal_mean"":0.999030504785149,""off_diagonal_min"":0.9949250402874286}","{""off_diagonal_max"":0.9992842721329106,""off_diagonal_mean"":0.975218846361888,""off_diagonal_min"":0.9026566907590923}"
N1000,7,46,v_b,755.3440641943894,0.004093449063220183,0.03654115799564853,"{""off_diagonal_max"":0.9998600548427579,""off_diagonal_mean"":0.9987422527928065,""off_diagonal_min"":0.9931115338917827}","{""off_diagonal_max"":0.9988974088986023,""off_diagonal_mean"":0.9672465991694853,""off_diagonal_min"":0.8696510481097983}"
N1000,7,48,q_b,951.95016857452,0.015055566584861641,0.04657361197504974,"{""off_diagonal_max"":0.999768644890471,""off_diagonal_mean"":0.9974206250420402,""off_diagonal_min"":0.9893269420238588}","{""off_diagonal_max"":0.9985685113258115,""off_diagonal_mean"":0.9567412592395246,""off_diagonal_min"":0.8558219737093973}"
N1000,7,48,v_b,767.1991977880353,0.013235347334629617,0.05211818092159565,"{""off_diagonal_max"":0.9997614256965384,""off_diagonal_mean"":0.9974019941505635,""off_diagonal_min"":0.991787820498572}","{""off_diagonal_max"":0.998284516809048,""off_diagonal_mean"":0.9509213989978244,""off_diagonal_min"":0.8307793694917637}"
N1000,12,46,q_b,1010.0766082091986,0.01530257602822905,0.024697516666422753,"{""off_diagonal_max"":0.9998785007874104,""off_diagonal_mean"":0.9973620115469429,""off_diagonal_min"":0.9880397942039069}","{""off_diagonal_max"":0.9993283513738799,""off_diagonal_mean"":0.9761696519179688,""off_diagonal_min"":0.9062895136788682}"
N1000,12,46,v_b,748.5580696516715,0.009508889714346764,0.017370891275445992,"{""off_diagonal_max"":0.9998613564002958,""off_diagonal_mean"":0.9976537523789404,""off_diagonal_min"":0.9900706724764855}","{""off_diagonal_max"":0.9992556495158107,""off_diagonal_mean"":0.9830173471407633,""off_diagonal_min"":0.9323584860427678}"
N1000,12,48,q_b,1065.1572782516346,0.014897472659244028,0.027189021925441457,"{""off_diagonal_max"":0.9998934969910676,""off_diagonal_mean"":0.9976097960506375,""off_diagonal_min"":0.9898175570987697}","{""off_diagonal_max"":0.9993719536147653,""off_diagonal_mean"":0.9746040184275728,""off_diagonal_min"":0.9043900967288343}"
N1000,12,48,v_b,783.1835782573551,0.009661607746587574,0.02006094319903721,"{""off_diagonal_max"":0.9998620765181809,""off_diagonal_mean"":0.9977290435387454,""off_diagonal_min"":0.9910159316899068}","{""off_diagonal_max"":0.9993303355237715,""off_diagonal_mean"":0.980828984975793,""off_diagonal_min"":0.9276021881176599}"
N1000,37,46,q_b,871.4731164362067,0.007559183250551175,0.05780780343126297,"{""off_diagonal_max"":0.999742814426396,""off_diagonal_mean"":0.9979376866673417,""off_diagonal_min"":0.9892904606718664}","{""off_diagonal_max"":0.9989593467482945,""off_diagonal_mean"":0.9545031687600718,""off_diagonal_min"":0.8196801929753899}"
N1000,37,46,v_b,531.2501718166615,0.008206740557052198,0.05171127391426299,"{""off_diagonal_max"":0.9995239326636631,""off_diagonal_mean"":0.997088514272726,""off_diagonal_min"":0.9833559588099953}","{""off_diagonal_max"":0.9985192909566267,""off_diagonal_mean"":0.948853786461365,""off_diagonal_min"":0.8023767884519069}"
N1000,37,48,q_b,816.5627594432918,0.0067923028015128995,0.05718729472988775,"{""off_diagonal_max"":0.9996892656877134,""off_diagonal_mean"":0.9980226961359792,""off_diagonal_min"":0.9902762376633083}","{""off_diagonal_max"":0.9987918490461919,""off_diagonal_mean"":0.9552874456310115,""off_diagonal_min"":0.8285926556567803}"
N1000,37,48,v_b,511.008865553184,0.006732436444409839,0.047265155888267074,"{""off_diagonal_max"":0.9995242509866091,""off_diagonal_mean"":0.9974197878485991,""off_diagonal_min"":0.9863235243126254}","{""off_diagonal_max"":0.9984354511084153,""off_diagonal_mean"":0.9534589100099421,""off_diagonal_min"":0.827994471008892}"
