asset,global_task_id,teacher_demo,family,total_energy,rank_centered_energy_ratio,layer_centered_energy_ratio,rank_gram,layer_gram
O1200,5,46,q_b,870.4643171000431,0.05603536448908409,0.0820065738971169,"{""off_diagonal_max"":0.999091861809581,""off_diagonal_mean"":0.9876390294078905,""off_diagonal_min"":0.9575805143755725}","{""off_diagonal_max"":0.9986277762630635,""off_diagonal_mean"":0.9134051580089121,""off_diagonal_min"":0.6871684671419982}"
O1200,5,46,v_b,791.7250196613124,0.0587521033400601,0.09070720174240271,"{""off_diagonal_max"":0.9990840698689085,""off_diagonal_mean"":0.9853693292554214,""off_diagonal_min"":0.9477931641694786}","{""off_diagonal_max"":0.9980948461924226,""off_diagonal_mean"":0.903930465359557,""off_diagonal_min"":0.6733037488703582}"
O1200,5,48,q_b,874.2341395888839,0.05517390786306381,0.0807294605227973,"{""off_diagonal_max"":0.9991365469147637,""off_diagonal_mean"":0.9875044683704843,""off_diagonal_min"":0.9574140505813966}","{""off_diagonal_max"":0.9986799571955702,""off_diagonal_mean"":0.914960292893284,""off_diagonal_min"":0.6931506621006365}"
O1200,5,48,v_b,788.5953157051256,0.0581175619885986,0.08941698361485442,"{""off_diagonal_max"":0.999143549379391,""off_diagonal_mean"":0.9850891902640001,""off_diagonal_min"":0.9468974949930937}","{""off_diagonal_max"":0.9980989854669164,""off_diagonal_mean"":0.9054024893562802,""off_diagonal_min"":0.6807512720916878}"
O1200,7,46,q_b,1153.836248282209,0.07373000681761803,0.12075976761874767,"{""off_diagonal_max"":0.9996517868789858,""off_diagonal_mean"":0.9788787752069431,""off_diagonal_min"":0.9125410124763216}","{""off_diagonal_max"":0.9985654378548356,""off_diagonal_mean"":0.8795762728984694,""off_diagonal_min"":0.6628061101086786}"
O1200,7,46,v_b,1113.328127908881,0.06464123056034062,0.1159927693684631,"{""off_diagonal_max"":0.9995795621524661,""off_diagonal_mean"":0.9807879538770871,""off_diagonal_min"":0.9196671237691401}","{""off_diagonal_max"":0.9987106164476043,""off_diagonal_mean"":0.8873478967218467,""off_diagonal_min"":0.6797465545132453}"
O1200,7,48,q_b,1164.642238810307,0.07073586082848161,0.1308523430586497,"{""off_diagonal_max"":0.9998674640286286,""off_diagonal_mean"":0.9805359794526993,""off_diagonal_min"":0.9366455914200837}","{""off_diagonal_max"":0.9991516174762085,""off_diagonal_mean"":0.8725062941218815,""off_diagonal_min"":0.6694010389796078}"
O1200,7,48,v_b,1128.5372660476455,0.06375222558120897,0.12746569641011518,"{""off_diagonal_max"":0.9998258049610955,""off_diagonal_mean"":0.9822814309697828,""off_diagonal_min"":0.9457164900919262}","{""off_diagonal_max"":0.9991486530268272,""off_diagonal_mean"":0.8788106062615033,""off_diagonal_min"":0.6731876915136512}"
O1200,12,46,q_b,762.4621239662983,0.04890772591543779,0.08295638758857314,"{""off_diagonal_max"":0.9991831883880338,""off_diagonal_mean"":0.9841678404855877,""off_diagonal_min"":0.9545077931008183}","{""off_diagonal_max"":0.9984114221534333,""off_diagonal_mean"":0.9193362139237783,""off_diagonal_min"":0.7854815007837522}"
O1200,12,46,v_b,781.0916590524891,0.054516649322690194,0.09069466097335183,"{""off_diagonal_max"":0.9991478616703244,""off_diagonal_mean"":0.9820524457772453,""off_diagonal_min"":0.9493708259380835}","{""off_diagonal_max"":0.9982333222613117,""off_diagonal_mean"":0.9115720736567069,""off_diagonal_min"":0.7380722251046399}"
O1200,12,48,q_b,722.6589753890156,0.053917018303879,0.0884951149806271,"{""off_diagonal_max"":0.9990975242096682,""off_diagonal_mean"":0.9819695650219271,""off_diagonal_min"":0.9501823985466695}","{""off_diagonal_max"":0.9982187392224545,""off_diagonal_mean"":0.912700824605031,""off_diagonal_min"":0.762504017853358}"
O1200,12,48,v_b,746.3023307192658,0.06010424612925592,0.09765182726492365,"{""off_diagonal_max"":0.9990814571344748,""off_diagonal_mean"":0.9796549657271058,""off_diagonal_min"":0.9425950679580224}","{""off_diagonal_max"":0.9980148620693523,""off_diagonal_mean"":0.9037038786155938,""off_diagonal_min"":0.708641440127904}"
O1200,37,46,q_b,1016.4264123488763,0.03322613105987839,0.05709179015290324,"{""off_diagonal_max"":0.9998625822406684,""off_diagonal_mean"":0.9900033597897123,""off_diagonal_min"":0.9729693854356167}","{""off_diagonal_max"":0.9990930134986993,""off_diagonal_mean"":0.9456272646290137,""off_diagonal_min"":0.8305731225514312}"
O1200,37,46,v_b,760.0443276105468,0.03436698709914805,0.05590253802939539,"{""off_diagonal_max"":0.9998780436656265,""off_diagonal_mean"":0.9887917310140677,""off_diagonal_min"":0.9654881410807006}","{""off_diagonal_max"":0.99885944918608,""off_diagonal_mean"":0.9432434387070066,""off_diagonal_min"":0.8134664726781463}"
O1200,37,48,q_b,992.6292981119707,0.036215664249344526,0.059204395409356264,"{""off_diagonal_max"":0.9998445801823694,""off_diagonal_mean"":0.9888194033628139,""off_diagonal_min"":0.9651473518317985}","{""off_diagonal_max"":0.9989873768889184,""off_diagonal_mean"":0.9427691580241705,""off_diagonal_min"":0.8163258213357838}"
O1200,37,48,v_b,744.4452244176928,0.037070396443472944,0.0593823138644756,"{""off_diagonal_max"":0.9998722824657664,""off_diagonal_mean"":0.9875659388857365,""off_diagonal_min"":0.9612811140026332}","{""off_diagonal_max"":0.9986512443842014,""off_diagonal_mean"":0.939467469838365,""off_diagonal_min"":0.8091349158428667}"
