asset,global_task_id,teacher_demo,family,layer,b_frobenius_norm,b_singular_values,delta_frobenius_norm,delta_singular_values,reconstruction_max_abs,reconstruction_relative_l2
N1000,5,46,q_b,0,9.330839269017579,"[9.31697506280477,0.4847841744003117,0.115918615753548,0.0786473880347406,0.035547824928609424,0.030832112188491297,0.026598274032081343,0.019791104701000248,0.01342295386300042,0.0122915695914478,0.008438079681936621,0.007540342245969801,0.006660194857979145,0.005730354766245108,0.005305516016329874,0.004563710322835755]",40.45946909975042,"[40.45833188083989,0.29010726108695,0.06778034250343572,0.04478638378416532,0.019694997417584098,0.017595967920634698,0.015189495135604249,0.011725919093204628,0.007829998124115268,0.00690434072961808,0.0049181621066772,0.004252789803811844,0.0039795092618940256,0.0032341192192506525,0.002976625827538781,0.0026262009306456096]",0.0004875347949564457,0.0016669103341274347
N1000,5,46,q_b,1,8.545618777925661,"[8.53924711838449,0.29631020142985587,0.12020779096825417,0.06258224687199447,0.03262919970845348,0.023856954017993037,0.018096491827425672,0.016864704363252558,0.012347136309602491,0.00917204597299872,0.007764820597933973,0.006839755113193863,0.005850648768142852,0.005222890230805817,0.0048176747955253705,0.0043209883133742575]",38.426301199294265,"[38.42583205819434,0.17091299892440137,0.06851865675055462,0.03540428754143083,0.018610252471935054,0.01379280487192929,0.010513792319497514,0.009954199593783653,0.007108661986638221,0.005384220192717981,0.00429716220388785,0.004027400284331535,0.003444160542234799,0.002917609559187463,0.002771839923927609,0.0025487453342752397]",0.00048818456707522273,0.0016446186365463415
N1000,5,46,q_b,2,8.49049200502143,"[8.422515647785577,0.9824985144617664,0.38560524620689557,0.13719017650859133,0.11058127431561726,0.04744883542343608,0.030516230962611194,0.02241835903325381,0.019190891406351718,0.015595119085335351,0.011716923734753184,0.009052589193674087,0.007082216213789327,0.005461500623557222,0.005196651777318686,0.004196511760896623]",38.34825058968572,"[38.342266838559354,0.6295504163814828,0.22553995666059629,0.07757268715716183,0.0643774141993749,0.027198313791298206,0.01788024968163584,0.012740690753141397,0.010896997472664555,0.008822270925553571,0.00680795856673161,0.0050776399032865195,0.004238178167378832,0.003231186235258312,0.002943472781955746,0.002333811446061301]",0.00048235320718958974,0.0016660333039312304
N1000,5,46,q_b,3,8.548727817556086,"[8.519255964104717,0.6222602050704096,0.2694589045806222,0.17320561301780324,0.08561180481294647,0.05138781756829769,0.03756848859796825,0.03170461605695383,0.017633874065162734,0.01311969790287451,0.011604349241798893,0.00811567004316171,0.0071715884558443705,0.006167889743315509,0.005305429422876131,0.004601978107540897]",38.1567079355072,"[38.154354456141704,0.3744465494028368,0.15902624828122147,0.09846341503527176,0.04905762813593434,0.030002649246041183,0.022030729889762034,0.01852972305061096,0.009919237912904024,0.0076254575442717696,0.006614878646458265,0.004479716273237448,0.0041653366654298835,0.003487454678055046,0.0031102394188984275,0.002614907277400123]",0.00048792044981382787,0.0016470861390003658
N1000,5,46,q_b,4,9.093630312965058,"[9.072012134018397,0.6163298990161971,0.07689984861844781,0.0560744780981351,0.04296925127091488,0.02674365984584236,0.020242970865909024,0.016324100615051042,0.013538453467629129,0.011146592328958524,0.009075309212356093,0.00708595772403182,0.005925306828740014,0.00548900937568206,0.004947035669834994,0.0044695543576932]",39.856806846646414,"[39.85497742447194,0.3761269342687309,0.045579871771779135,0.032414933047936766,0.02410136514451815,0.01560508720018184,0.011338829209032368,0.009572296225598898,0.007752960081984641,0.006487207527196614,0.005220886931824025,0.004168964442609867,0.0032972399892435733,0.0032531911593839937,0.0027874983138321706,0.002476815825130244]",0.00048643435002304614,0.0016616631354548182
N1000,5,46,q_b,5,9.91236074459516,"[9.9094863556984,0.2210542411528787,0.06875139383265606,0.03299322281713807,0.02540815890227324,0.022968183095019055,0.01822384392719434,0.016780882624995132,0.013363622292134985,0.009912951289618808,0.007684633723585035,0.007427058488039627,0.0064158240963417545,0.005575115069649348,0.005129932723290803,0.00435494942016009]",41.7909471094559,"[41.79072587594002,0.1257502544604445,0.039221536279565525,0.019235745662230238,0.015232359138828944,0.012905004427161214,0.010463974610144328,0.009697699554311667,0.007737374004446346,0.005629980737578142,0.0044048882183955335,0.004273557265514974,0.0037256727993491587,0.0031322997432228594,0.002891768613072968,0.002491943347858886]",0.00048599211731925607,0.0016711805876701356
N1000,5,46,q_b,6,9.8259417574645,"[9.821211472919057,0.2791390354995495,0.09329537917898106,0.05223527960544618,0.037966034919165836,0.030695794796898428,0.021533148537512505,0.015173346836520815,0.01297092038367796,0.010097933892905161,0.008152597702497584,0.007094083056933017,0.005975710004859432,0.005707036284497674,0.005494440884216878,0.00473721526142457]",41.617819955536646,"[41.61743483115833,0.16484712034082427,0.05328349279487187,0.02953758788244822,0.021019723947287655,0.017954161151461735,0.012533320265013633,0.008924671698921062,0.0073297809569436495,0.005943620254738774,0.004703686706094117,0.004120683769547128,0.0034057945843867557,0.0033084218492558416,0.003193468070594976,0.0028174533293501562]",0.0004868411924690008,0.0016654374207158977
N1000,5,46,q_b,7,9.577408433188586,"[9.558193439237721,0.5007805479945346,0.32026525967644426,0.08139348998432495,0.06862626219749961,0.03642236767536072,0.030571838705409297,0.017045465422956565,0.011714009156243774,0.010036640332451056,0.007896522461914203,0.006826233779181318,0.005741469296614869,0.005333538485865092,0.004920641629563186,0.004551236456389724]",41.00215778285642,"[41.000581009959184,0.30159668172812265,0.18348920668455918,0.04640564030093137,0.03893204491005177,0.02100461732891327,0.01749230716150694,0.010275860778139015,0.006529241515275856,0.005764777797568467,0.004642114298599394,0.003950221054727559,0.00338857614488463,0.0031019993784636418,0.002801919010720282,0.0026306375521938786]",0.00048754748422652483,0.0016699310479536481
N1000,5,46,q_b,8,10.112106109044703,"[10.110760807067473,0.14533319409150589,0.04854468874195469,0.03758401314249936,0.032273466432694575,0.02038343066632815,0.01654459537517195,0.014254722130556218,0.01012888148054556,0.009637324109022835,0.007016635064038552,0.006178139041745091,0.005365006791161644,0.005033347763723376,0.00482037474419771,0.00455744964931929]",42.48541093873331,"[42.48530077545614,0.08559757518393254,0.02882409282848791,0.021447755388067098,0.017761486222280635,0.011702105195109789,0.009593837319836245,0.008558351917309021,0.005920898651221601,0.005484211413630238,0.004044359788150974,0.003458796597449156,0.0031302982189420256,0.0028182261318009955,0.0026975167825107815,0.0025892841838775047]",0.00048782492922327947,0.001644584829247643
N1000,5,46,q_b,9,10.10057694220705,"[10.096361141011613,0.26895528645499306,0.0812127335448873,0.052859885458075594,0.040314491764098376,0.02828080456320078,0.020481547053741167,0.012892712247171215,0.011513973186203608,0.00953713448135834,0.006917172801712966,0.006103991740850943,0.005708307474154133,0.004890766903990931,0.004785708665872623,0.004564447515699717]",42.5038627859123,"[42.50352841235677,0.15494480224033094,0.04852866676420017,0.030769104620466687,0.022530616972072193,0.016580111303140105,0.011836734084938611,0.007424818059412491,0.0065461103857536495,0.005579122424720211,0.004030536645793923,0.00353491515562706,0.00338978457132164,0.0029222067664474148,0.0026959431543783488,0.00260394954855302]",0.0004881842505710665,0.0016558650816253905
