asset,global_task_id,teacher_demo,family,layer,b_frobenius_norm,b_singular_values,delta_frobenius_norm,delta_singular_values,reconstruction_max_abs,reconstruction_relative_l2
O1200,5,46,q_b,0,9.511342961489751,"[9.49900167861019,0.40918141369624034,0.20367252547962084,0.11048753676938358,0.08628603642865504,0.046199147535795904,0.04080125384227214,0.02756365813350077,0.021551927828805616,0.018838141141722033,0.014160408773427705,0.012581916081589291,0.011048664233631392,0.009185099905986071,0.007555482280013145,0.006839000810330557]",37.2114896967455,"[37.21036913962702,0.246851953256549,0.11888658855535814,0.0629051423780231,0.04919506019060306,0.025833089270710104,0.02325997590467083,0.01558210991902862,0.01242607229236109,0.010851698486446173,0.008305463334600024,0.0072959945015959775,0.006176022901604966,0.0052253356691955395,0.004452735724925293,0.003999346575003598]",0.0004882289331362699,0.001667259641432563
O1200,5,46,q_b,1,9.153671197333566,"[9.069536385289325,1.1411472621906247,0.4548197964568896,0.09309031737000245,0.07139181575549985,0.060767483484667366,0.05313830446327223,0.03607122341753446,0.032961374737220696,0.023582451384485018,0.01896251443510036,0.014229129766075566,0.012266123106054284,0.009726270871631557,0.007671321743619013,0.006276047720871016]",35.73709365601749,"[35.727663442276814,0.7711311294779492,0.2668211143303726,0.05555460616473496,0.03989264773029508,0.03547337530334569,0.02988730444389049,0.020519955239203237,0.018618792096474306,0.013638703496268764,0.011403110652061054,0.00800236394800336,0.007078280784017191,0.005563952147428342,0.004345069166587679,0.003756235278892842]",0.00048506748862564564,0.0016555521405261634
O1200,5,46,q_b,2,8.93878518732943,"[8.68136278265154,1.8570453631081696,0.9230271441453466,0.41331374047873565,0.15897973779895577,0.156793806161389,0.075338623097493,0.06992613044971506,0.03762263024220016,0.027598965017314743,0.026136376760403267,0.0205187237016874,0.016739046219550087,0.01401321726025859,0.011381008107738348,0.00917662692552327]",33.262485724543566,"[33.225565381267344,1.430444874941541,0.5732546081721291,0.24172453113568979,0.09180982054083685,0.09035964958954207,0.04528075509904165,0.040039561279573484,0.021205504561716354,0.015830161239190274,0.015293901315716923,0.011668582918602432,0.009322124056077992,0.0077454210724622885,0.006627849289135643,0.00538185172517856]",0.00048798590432852507,0.0016563102036631226
O1200,5,46,q_b,3,9.353772191813936,"[9.327940726244904,0.646501329993094,0.2185169292442504,0.08612265703657344,0.058611401699604534,0.05116581091863452,0.035773630336511715,0.03020632729208749,0.020246880969968507,0.01547907772807734,0.014291205545213244,0.010112205005205495,0.009656499583436954,0.008338843716196486,0.006934376854759527,0.005742760109499048]",37.110436246582346,"[37.10807659181457,0.392202919914937,0.1245792594749724,0.05057792824757137,0.03388335637720266,0.03079667633266122,0.02082677735899901,0.017513374583210634,0.0116002713729516,0.008825888370646413,0.008137941028087228,0.005744275199267784,0.00554175447673244,0.004804351487786462,0.004044230323394688,0.003161406994065403]",0.00048771000001579523,0.0016689362413615527
O1200,5,46,q_b,4,8.811766832768129,"[8.338626598677058,2.764375863793587,0.450361086366608,0.40235855091850925,0.24705809421369004,0.17750330597609232,0.06739932202843897,0.06468902521825919,0.05442856455163738,0.040253631639573156,0.03167760424159204,0.026450737345436865,0.013944463933013325,0.011781623973921492,0.009299451471829678,0.008461718437128679]",33.04578320549538,"[32.93631843228264,2.6560738496091516,0.26634379116698637,0.24549741139551184,0.1455324963996265,0.10205005470314572,0.03960773774570454,0.037155792467705444,0.031272407242240376,0.023043295632471227,0.018006814663327524,0.01564408148060953,0.007716037787016817,0.00682041404237454,0.005355444355891915,0.004855983088290203]",0.00048818774666870013,0.0016614113825121634
O1200,5,46,q_b,5,9.53642218070589,"[9.512439513000077,0.6163001757328321,0.2029444747026965,0.1333111233230838,0.10609844449020356,0.04969065266125828,0.03516031265007995,0.032246981306129435,0.026203596561305036,0.021871870906688157,0.01931330083002641,0.013504214747467626,0.01224516862326674,0.008868671293642648,0.00808356100643601,0.006467288411236007]",37.54082226773465,"[37.53882426383779,0.35345280766187204,0.1154112621918549,0.07676308965015262,0.059908239951507514,0.029086768512809582,0.019629327160726445,0.019232336562144764,0.01509869418569162,0.012610749610888325,0.010739635931345554,0.007839192703419514,0.007244726796767073,0.005258208847583869,0.004511625130163363,0.003700442516868068]",0.00048741279169917107,0.0016776713253553856
O1200,5,46,q_b,6,9.85788534084902,"[9.838756769515205,0.5106646851071114,0.24477998754168626,0.16340538982760028,0.1224507197452923,0.08179077798906767,0.058052150768069646,0.040648121038192465,0.02944075908883627,0.027289752296831477,0.02147115333525408,0.01514828588917849,0.012132499522873624,0.010473081443259289,0.008153982107362423,0.00632984595293899]",38.35729288264605,"[38.35552702803656,0.30959453730915776,0.14552532813663155,0.09434535279854916,0.06919644702477169,0.04677190373586306,0.03332740835185951,0.023467755424082352,0.016959577999898806,0.015791232936497528,0.012633429034946566,0.008910764672203817,0.007022861525042958,0.006176850949240591,0.004831185245367249,0.0034959172621703014]",0.0004876547282037791,0.0016900921933402982
O1200,5,46,q_b,7,9.31728034561244,"[9.245590806214176,1.070699622120362,0.3708996951134883,0.1824376519307669,0.08171043967745781,0.052475528860961226,0.03784477479965155,0.02921234205205634,0.026149589267078253,0.01828187178691736,0.017008427534872923,0.013651425767745104,0.011695093450801676,0.008286246003868871,0.008073604655917357,0.00597998705177882]",36.247977629186835,"[36.24082371661602,0.6703451437975558,0.23094670442438303,0.1073261202714269,0.04596072415759415,0.03019201269847261,0.021327264378053688,0.01669292279214907,0.014958451674592936,0.01098282628954947,0.009821008983620946,0.0077107831255771265,0.0068523744900935765,0.004788736964632938,0.004646159340153897,0.003383393398159913]",0.0004871860146522522,0.001657278264381192
O1200,5,46,q_b,8,9.945708782079777,"[9.921665400144123,0.6107732860339052,0.2556504247542383,0.15650015571490802,0.07877749805352395,0.05295865280722367,0.04847481026260712,0.03958626071462706,0.022899428390833785,0.022304498986981853,0.017746287532074027,0.015081458482351736,0.010655644339455319,0.009866512591812579,0.006812452617581068,0.006039193218717711]",38.9692899014775,"[38.96715899939595,0.35940024505732426,0.15396948330037102,0.09184112370433849,0.04439583801113361,0.03015357080383961,0.027322342205643706,0.02274718079118989,0.013356429756095939,0.01272859785280394,0.010362339563698284,0.008822837540755708,0.006205587076309923,0.005471471299396947,0.0038200109098554427,0.0034882111508453993]",0.0004866635426878929,0.0016745512455787763
O1200,5,46,q_b,9,9.971193004499073,"[9.868544446533372,1.4044256511577309,0.1666608967887842,0.1404321280040105,0.09001655825033256,0.05514145249268451,0.04467416505517482,0.03674137960257623,0.027626776472320928,0.02261827411754335,0.019574436482802767,0.013058331155178444,0.011796458013384008,0.008011134840633205,0.0072826397826792864,0.006152014151847515]",37.73225588565712,"[37.72056334595271,0.9273185417923979,0.10094247105062425,0.08019203903742407,0.05289109498527093,0.03304998829928709,0.024914564995034146,0.021708842279540105,0.016228343446181202,0.012867247788295604,0.011275435688747034,0.007625253367517191,0.007037730318691684,0.0045251873100263015,0.004122614102160698,0.0035034336945820588]",0.0004878574691247195,0.0016693588873456944
