global_task_id,init_state_id,original_vs_stored_max_abs,original_vs_stored_relative_l2,self_vs_stored_max_abs,self_vs_stored_relative_l2,self_vs_original_max_abs,self_vs_original_relative_l2,finite
3,0,0.0,0.0,0.0028456449508666992,0.0011985480086877942,0.0028456449508666992,0.0011985480086877942,True
3,1,0.0,0.0,0.0029412508010864258,0.0012208878761157393,0.0029412508010864258,0.0012208878761157393,True
3,2,0.0,0.0,0.00366133451461792,0.0014347666874527931,0.00366133451461792,0.0014347666874527931,True
3,3,0.0,0.0,0.002575524151325226,0.001198943704366684,0.002575524151325226,0.001198943704366684,True
11,0,0.0,0.0,0.0023366808891296387,0.001426341594196856,0.0023366808891296387,0.001426341594196856,True
11,1,0.0,0.0,0.0021557360887527466,0.0013682881835848093,0.0021557360887527466,0.0013682881835848093,True
11,2,0.0,0.0,0.012110233306884766,0.0018430105410516262,0.012110233306884766,0.0018430105410516262,True
11,3,0.0,0.0,0.005241990089416504,0.0016988164279609919,0.005241990089416504,0.0016988164279609919,True
26,0,0.0,0.0,0.0020900964736938477,0.0011607981286942959,0.0020900964736938477,0.0011607981286942959,True
26,1,0.0,0.0,0.0031804442405700684,0.0014621232403442264,0.0031804442405700684,0.0014621232403442264,True
26,2,0.0,0.0,0.0027639567852020264,0.0013848586240783334,0.0027639567852020264,0.0013848586240783334,True
26,3,0.0,0.0,0.004462063312530518,0.00195898674428463,0.004462063312530518,0.00195898674428463,True
31,0,0.0,0.0,0.07795822620391846,0.008184471167623997,0.07795822620391846,0.008184471167623997,True
31,1,0.0,0.0,0.002284824848175049,0.0012683297973126173,0.002284824848175049,0.0012683297973126173,True
31,2,0.0,0.0,0.002413511276245117,0.001319168135523796,0.002413511276245117,0.001319168135523796,True
31,3,0.0,0.0,0.0028123855590820312,0.0013052180875092745,0.0028123855590820312,0.0013052180875092745,True
