branch,local_step,parent_step,global_task_id,occurrence,teacher_demo,query_seed
O-H,1,1200,1,200,30,5221158960481460466
O-H,1,1200,0,200,29,8719864679367702687
O-H,1,1200,97,200,14,3704791808781401526
O-H,1,1200,36,200,20,859974898066656797
O-H,2,1200,28,200,24,7112000325720607591
O-H,2,1200,42,200,2,3443426852830227935
O-H,2,1200,101,200,6,1359294215058115782
O-H,2,1200,19,200,31,1578900028421397112
O-H,3,1200,22,200,42,3133550402763335877
O-H,3,1200,43,200,5,7021695345414313731
O-H,3,1200,38,200,10,2508957366327886798
O-H,3,1200,4,200,1,2899126878696089260
O-H,4,1200,17,200,34,2642928426710358579
O-H,4,1200,95,200,11,360832516595618743
O-H,4,1200,20,200,24,2959169628055977601
O-H,4,1200,2,200,43,2531509945657323018
O-H,5,1200,56,200,28,1428326624071979361
O-H,5,1200,32,200,29,7104335543961103394
O-H,5,1200,12,200,16,1332787169905962563
O-H,5,1200,25,200,43,3919652834623458006
O-H,6,1200,51,200,18,7977306119191804608
O-H,6,1200,14,200,19,1394649614872907092
O-H,6,1200,5,200,24,4925083107386819588
O-H,6,1200,29,200,8,7739998737734436193
O-H,7,1200,55,200,29,3994376958318849224
O-H,7,1200,73,200,22,8518532817408481025
O-H,7,1200,13,200,35,5814445200136596700
O-H,7,1200,37,200,29,5699930726594305975
O-H,8,1200,64,200,7,8920424252565343978
O-H,8,1200,62,200,16,6113579945613594622
O-H,8,1200,15,200,19,4118025721482405019
O-H,8,1200,35,200,29,815466317164611496
O-H,9,1200,34,200,15,1336071120330498231
O-H,9,1200,96,200,32,8939574224401743319
O-H,9,1200,21,200,10,7828752785709740804
O-H,9,1200,7,200,37,191336467511826881
O-H,10,1200,28,201,3,4663935958242229391
O-H,10,1200,2,201,28,1996344789991697104
O-H,10,1200,0,201,40,2616227608259647003
O-H,10,1200,32,201,30,3194474300634544185
O-H,11,1200,43,201,19,8810757496357491140
O-H,11,1200,95,201,19,516324356325063778
O-H,11,1200,56,201,34,3638354250884036683
O-H,11,1200,35,201,37,6969510844202971263
O-H,12,1200,51,201,0,1450300464981768715
O-H,12,1200,4,201,25,4182556232971012439
O-H,12,1200,55,201,31,1442566556388872099
O-H,12,1200,13,201,41,9104858592803964316
O-H,13,1200,96,201,15,14554625201887416
O-H,13,1200,15,201,1,3491708980981852456
O-H,13,1200,25,201,14,5829261988776062857
O-H,13,1200,1,201,29,7960759851598675398
O-H,14,1200,38,201,19,782624943461857367
O-H,14,1200,97,201,4,7179725028048065796
O-H,14,1200,73,201,20,4002101718248033480
O-H,14,1200,17,201,45,7419085536147810144
O-H,15,1200,101,201,3,6642384811568684303
O-H,15,1200,19,201,6,8160329218714284847
O-H,15,1200,21,201,41,4131075575980654246
O-H,15,1200,36,201,3,4163896487909171117
O-H,16,1200,20,201,31,5613899999624125607
O-H,16,1200,37,201,39,7648500867529043831
O-H,16,1200,64,201,39,8269876140377189874
O-H,16,1200,22,201,5,6149210210041094728
O-H,17,1200,12,201,43,6101604222897152761
O-H,17,1200,5,201,13,290478548473878095
