branch,parent_asset,local_step,global_task_id,suite,suite_task_id,teacher_demo,query_demo,query_fraction,query_position,noise_seed,full_mse,first5_mse,first5_time_mse,first5_dimension_mse,tau1_first5_mse,tau1_first5_time_mse,tau1_first5_dimension_mse,inference_first5_mse,inference_first5_actions,target_first5_actions,inference_first5_time_mse,inference_first5_dimension_mse,parent_full_mse,parent_tau1_first5_mse,parent_inference_first5_mse,action_delta_mse_vs_parent
O-H,O1200,36,0,libero_spatial,0,46,47,0.25,22,2026092101,0.1115247905254364,0.14333276450634003,"[0.1398792564868927,0.1326492428779602,0.1039438545703888,0.11679329723119736,0.22339822351932526]","[0.34239909052848816,0.26562628149986267,0.0038972017355263233,0.09620263427495956,0.2515365481376648,0.043404001742601395,0.00026361248455941677]",0.06506384164094925,"[0.05771800875663757,0.04913358390331268,0.04460513964295387,0.05748032033443451,0.11638220399618149]","[0.2200719565153122,0.11140187829732895,0.0020139531698077917,0.027105186134576797,0.08802331238985062,0.006789793726056814,4.0849350625649095e-05]",0.09687596559524536,"[[[-0.3280982971191406,0.28664013743400574,-0.987898588180542,0.10231553763151169,-0.5252034664154053,-0.2635505795478821,-1.022560715675354],[-0.367758184671402,0.31514793634414673,-1.0056302547454834,0.09002984315156937,-0.5365259647369385,-0.25004711747169495,-1.000956654548645],[-0.4212661385536194,0.3139931261539459,-1.0087381601333618,0.08899692445993423,-0.5362774133682251,-0.2342907339334488,-0.9927881956100464],[-0.4341166019439697,0.29547661542892456,-0.9996816515922546,0.0985233336687088,-0.5343565940856934,-0.2455633282661438,-1.0026377439498901],[-0.5185204744338989,0.2865939140319824,-1.0027352571487427,0.07895352691411972,-0.5068368911743164,-0.2266846001148224,-1.002724528312683]]]","[[[-0.08928626775741577,0.8037372827529907,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.1535719633102417,0.7507778406143188,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.46428608894348145,0.6542047262191772,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.9071429371833801,0.33644795417785645,-1.034883737564087,-0.20538973808288574,-0.06991147994995117,-0.040709614753723145,-1.0],[-1.3249998092651367,0.06542003154754639,-1.034883737564087,-0.13131588697433472,-0.06991147994995117,-0.040709614753723145,-1.0]]]","[0.10281988978385925,0.08925874531269073,0.07133153825998306,0.0823880285024643,0.13858164846897125]","[0.19578410685062408,0.12470066547393799,0.0012039346620440483,0.10500066727399826,0.2098260372877121,0.041501134634017944,0.00011525838635861874]",0.12821900844573975,0.07472159713506699,0.10370836406946182,0.002691021654754877
O-H,O1200,36,1,libero_spatial,1,46,47,0.25,33,2026092101,0.1471657007932663,0.1903516799211502,"[0.3234216272830963,0.2073676884174347,0.12691444158554077,0.14982107281684875,0.1442335695028305]","[0.146615132689476,0.6032927632331848,0.0854828804731369,0.31395527720451355,0.0018175862496718764,0.181199312210083,9.880126890493557e-05]",0.10604353994131088,"[0.15283361077308655,0.10381100326776505,0.07730504125356674,0.09801115840673447,0.09825687855482101]","[0.06433933228254318,0.3085135519504547,0.044947605580091476,0.1545364260673523,0.009680983610451221,0.16025501489639282,3.183362423442304e-05]",0.09503953158855438,"[[[0.41571250557899475,0.09375885128974915,-0.7289456129074097,-0.11182302236557007,-0.10488830506801605,-0.2817155420780182,-1.011538028717041],[0.3949529826641083,0.0997425839304924,-0.7357158064842224,-0.1130254939198494,-0.10805477201938629,-0.29609033465385437,-0.998759925365448],[0.35890108346939087,0.08594722300767899,-0.7322131991386414,-0.10253513604402542,-0.10517260432243347,-0.29418933391571045,-0.9942505359649658],[0.3623942732810974,0.07790981978178024,-0.7308800220489502,-0.07959127426147461,-0.10862156003713608,-0.3165509104728699,-1.006000280380249],[0.29505959153175354,0.07357902824878693,-0.7411207556724548,-0.06770909577608109,-0.10286754369735718,-0.32125815749168396,-1.0087145566940308]]]","[[[0.007142186164855957,0.9345784187316895,-0.41569799184799194,-0.4882171154022217,-0.15501761436462402,-0.25663846731185913,-1.0],[0.1357135772705078,0.7632389068603516,-0.593023419380188,-0.5690249800682068,-0.06991147994995117,-0.34159404039382935,-1.0],[0.31071341037750244,0.4922109842300415,-0.7906978130340576,-0.5757589340209961,-0.06991147994995117,-0.4796469211578369,-1.0],[0.40714192390441895,0.3676004409790039,-0.9244186878204346,-0.6565667390823364,-0.06991147994995117,-0.5539830923080444,-1.0],[0.364284873008728,0.17756950855255127,-1.034883737564087,-0.6565667390823364,-0.06991147994995117,-0.5964608788490295,-1.0]]]","[0.1595684140920639,0.1056080237030983,0.06148635223507881,0.07345563173294067,0.07507925480604172]","[0.048650264739990234,0.2813979685306549,0.049131911247968674,0.2506406009197235,0.0015591556439176202,0.033840909600257874,5.59334184799809e-05]",0.1614782214164734,0.1160188689827919,0.12317976355552673,0.011373593471944332
O-H,O1200,36,2,libero_spatial,2,46,47,0.25,29,2026092101,0.06145975738763809,0.0063940430991351604,"[0.019601551815867424,0.0046364255249500275,0.001980452798306942,0.0033703751396387815,0.002381410915404558]","[0.007354275789111853,0.0009152503916993737,0.016821781173348427,0.0032087608706206083,0.008600231260061264,0.007019950542598963,0.0008380496874451637]",0.0042808265425264835,"[0.010452615097165108,0.003253311151638627,0.0024604962673038244,0.0027034725062549114,0.0025342381559312344]","[0.0019273437792435288,0.0023035993799567223,0.007601474411785603,0.010983716696500778,0.003315348643809557,0.003361133625730872,0.00047316914424300194]",0.008580101653933525,"[[[-0.11176304519176483,0.029698237776756287,-0.745162844657898,-0.2086697816848755,-0.25080299377441406,-0.19950644671916962,-1.0165520906448364],[-0.10574793815612793,0.054849594831466675,-0.7261910438537598,-0.21801762282848358,-0.25806325674057007,-0.1961212158203125,-1.0013909339904785],[-0.10524982213973999,0.06388852000236511,-0.6891847252845764,-0.22147727012634277,-0.2476557046175003,-0.191799595952034,-0.9955613017082214],[-0.06728586554527283,0.06677764654159546,-0.6524720191955566,-0.22093774378299713,-0.23511894047260284,-0.20531359314918518,-1.0071330070495605],[-0.08179827779531479,0.07865138351917267,-0.6179895401000977,-0.2314080446958542,-0.21137748658657074,-0.20530864596366882,-1.0027284622192383]]]","[[[0.07499933242797852,0.02180635929107666,-0.5494188666343689,-0.2659956216812134,-0.13070160150527954,-0.040709614753723145,-1.0],[-0.02500063180923462,0.02180635929107666,-0.6366281509399414,-0.2659956216812134,-0.17325466871261597,-0.040709614753723145,-1.0],[-0.060714900493621826,0.02180635929107666,-0.668604850769043,-0.2659956216812134,-0.20972871780395508,-0.0300900936126709,-1.0],[-0.06428635120391846,0.024921536445617676,-0.6831396818161011,-0.2659956216812134,-0.15501761436462402,-0.008851230144500732,-1.0],[-0.06785768270492554,0.02180635929107666,-0.6802327036857605,-0.2659956216812134,-0.14893865585327148,-0.008851230144500732,-1.0]]]","[0.016637025400996208,0.0070403688587248325,0.004823972471058369,0.007113744970411062,0.007285396568477154]","[0.008717401884496212,0.0015816673403605819,0.010315093211829662,0.0021593074779957533,0.00667402520775795,0.03054242767393589,7.078654743963853e-05]",0.0691605806350708,0.00360120739787817,0.005246886983513832,0.0024180025793612003
O-H,O1200,36,4,libero_spatial,4,46,47,0.25,37,2026092101,0.11354409158229828,0.03531086817383766,"[0.01942574232816696,0.029877522960305214,0.031667083501815796,0.043858032673597336,0.05172596871852875]","[0.018363500013947487,0.00269030942581594,0.035716742277145386,0.01785462163388729,0.13635030388832092,0.03607172518968582,0.00012888982018921524]",0.017784468829631805,"[0.009427276439964771,0.01313147135078907,0.015532007440924644,0.0226645115762949,0.028167078271508217]","[0.0030571469105780125,0.004096510354429483,0.013554194942116737,0.010426792316138744,0.05830574780702591,0.029060980305075645,0.005989909637719393]",0.03062230907380581,"[[[-0.7830595970153809,0.03889700770378113,-0.8848608136177063,-0.22267422080039978,-0.8771042227745056,-0.055277012288570404,-1.0175892114639282],[-0.7943911552429199,0.06776197999715805,-0.8968732953071594,-0.23719821870326996,-0.9109195470809937,-0.05028529837727547,-0.997049868106842],[-0.797843337059021,0.08125172555446625,-0.8905434608459473,-0.24602776765823364,-0.9252762794494629,-0.03577323257923126,-0.9961673021316528],[-0.7534974813461304,0.08366350084543228,-0.8719688653945923,-0.2433822751045227,-0.9163611531257629,-0.04875396564602852,-1.0062636137008667],[-0.7585487365722656,0.09862417727708817,-0.875685453414917,-0.2630166709423065,-0.8987190127372742,-0.036845315247774124,-1.0049724578857422]]]","[[[-0.7678573131561279,0.02180635929107666,-1.034883737564087,-0.2659956216812134,-0.598785400390625,0.13628125190734863,-1.0],[-0.7857143878936768,0.06853532791137695,-1.034883737564087,-0.2659956216812134,-0.5562323331832886,0.11504232883453369,-1.0],[-0.8142858743667603,0.0872267484664917,-1.034883737564087,-0.2659956216812134,-0.525837242603302,0.11504232883453369,-1.0],[-0.9142857789993286,0.133955717086792,-1.034883737564087,-0.2659956216812134,-0.4832841753959656,0.10442280769348145,-1.0],[-0.9964285492897034,0.10591840744018555,-1.034883737564087,-0.2659956216812134,-0.4589681029319763,0.07964420318603516,-1.0]]]","[0.019910305738449097,0.024728143587708473,0.02912149578332901,0.038070403039455414,0.04128119349479675]","[0.016603287309408188,0.0005821803933940828,0.022854646667838097,0.0007249973714351654,0.14875049889087677,0.02476121298968792,7.934628229122609e-05]",0.11658652126789093,0.018874110653996468,0.021991277113556862,0.0013156278291717172
O-H,O1200,36,5,libero_spatial,5,46,47,0.25,27,2026092101,0.06707494705915451,0.11363498121500015,"[0.16593356430530548,0.175102099776268,0.08731723576784134,0.07767746597528458,0.06214457005262375]","[0.1713249385356903,0.11106570810079575,0.08672178536653519,0.0028175406623631716,0.25998467206954956,0.06467077881097794,0.098859503865242]",0.09395083785057068,"[0.23329515755176544,0.1024293377995491,0.04987628385424614,0.04889153689146042,0.035261865705251694]","[0.07377495616674423,0.04000754654407501,0.029885603114962578,0.0021870105993002653,0.17691992223262787,0.01879183016717434,0.316089004278183]",0.04682840779423714,"[[[-0.5491059422492981,0.10550287365913391,-0.4706546664237976,-0.23289474844932556,-0.07193298637866974,-0.42842528223991394,-1.0099358558654785],[-0.4282713532447815,0.13585211336612701,-0.36074671149253845,-0.25008678436279297,-0.07987593859434128,-0.43962591886520386,1.0077210664749146],[-0.30015331506729126,0.15246884524822235,-0.2283398061990738,-0.25884488224983215,-0.06753749400377274,-0.4574311375617981,1.0225905179977417],[-0.18453776836395264,0.14920851588249207,-0.09849553555250168,-0.26119107007980347,-0.07072038948535919,-0.5122370719909668,1.0110840797424316],[-0.16867835819721222,0.15548855066299438,-0.05357380211353302,-0.27374762296676636,-0.06978540122509003,-0.5334212183952332,1.0171552896499634]]]","[[[-0.26428622007369995,0.42056000232696533,-0.2790701985359192,-0.27946358919143677,-0.46504712104797363,-0.08318740129470825,-1.0],[-0.1285719871520996,0.40186846256256104,-0.10755860805511475,-0.2659956216812134,-0.44073110818862915,-0.15398377180099487,0.9999990463256836],[-0.12142914533615112,0.3676004409790039,-0.03197723627090454,-0.27272963523864746,-0.3799409866333008,-0.20354115962982178,0.9999990463256836],[-0.1285719871520996,0.3676004409790039,-0.017442405223846436,-0.30639952421188354,-0.3981780409812927,-0.2318597435951233,0.9999990463256836],[-0.1285719871520996,0.32398688793182373,-0.017442405223846436,-0.3131335377693176,-0.3495458960533142,-0.2637180685997009,0.9999990463256836]]]","[0.07044045627117157,0.06240132451057434,0.03993448615074158,0.035057637840509415,0.02630814164876938]","[0.04152500256896019,0.05847880244255066,0.029448434710502625,0.0012419179547578096,0.11356911808252335,0.08331840485334396,0.000217188018723391]",0.06424614042043686,0.143708273768425,0.05128766596317291,0.0032123085111379623
O-H,O1200,36,7,libero_spatial,7,46,47,0.25,30,2026092101,0.07192988693714142,0.07880223542451859,"[0.12072531133890152,0.0730748102068901,0.07785969227552414,0.07085999101400375,0.05149133875966072]","[0.12952357530593872,0.09130165725946426,0.03589009493589401,0.07132928818464279,0.11171380430459976,0.03619542345404625,0.07566175609827042]",0.030671222135424614,"[0.03928917646408081,0.03311891853809357,0.02827276661992073,0.02899940311908722,0.023675857111811638]","[0.025658035650849342,0.05103716999292374,0.006042569410055876,0.027394121512770653,0.06445197016000748,0.0037195016629993916,0.036395203322172165]",0.16933108866214752,"[[[-0.27533239126205444,-0.06682473421096802,-0.2943078279495239,-0.25124552845954895,0.2761864960193634,-0.19733953475952148,-1.0189208984375],[-0.22050915658473969,-0.045389723032712936,-0.2469584196805954,-0.23635385930538177,0.3424559533596039,-0.20629020035266876,0.9970470070838928],[-0.1751282662153244,-0.04473436623811722,-0.15840651094913483,-0.2258578985929489,0.3752073645591736,-0.2244645655155182,1.018679141998291],[-0.12989407777786255,-0.0592617392539978,-0.09209884703159332,-0.2112119197845459,0.41207754611968994,-0.2562638521194458,1.0098228454589844],[-0.1234615296125412,-0.06218727305531502,-0.057884082198143005,-0.1993902325630188,0.43777996301651,-0.27023395895957947,1.0182218551635742]]]","[[[-0.5750002861022949,0.02180635929107666,-0.4447677731513977,-0.4814831614494324,0.641332745552063,-0.040709614753723145,0.9999990463256836],[-0.5142860412597656,0.02180635929107666,-0.36627936363220215,-0.49495112895965576,0.7568339109420776,-0.040709614753723145,0.9999990463256836],[-0.45357179641723633,0.02180635929107666,-0.29651206731796265,-0.5016851425170898,0.8237029314041138,-0.040709614753723145,0.9999990463256836],[-0.38571470975875854,0.02180635929107666,-0.2412794828414917,-0.47474920749664307,0.8601770401000977,-0.07610780000686646,0.9999990463256836],[-0.2857147455215454,-0.03738367557525635,-0.15988421440124512,-0.39394134283065796,0.9392043352127075,-0.16106337308883667,0.9999990463256836]]]","[0.6296009421348572,0.0530092753469944,0.05891076847910881,0.056724123656749725,0.048410315066576004]","[0.06908135861158371,0.004797141533344984,0.017721543088555336,0.06065291911363602,0.19168174266815186,0.026018032804131508,0.8153647780418396]",0.08013109117746353,0.029985152184963226,0.15955430269241333,0.008180380798876286
O-H,O1200,36,12,libero_object,2,46,47,0.25,32,2026092101,0.07339093089103699,0.049519553780555725,"[0.057298872619867325,0.06260432302951813,0.04721729829907417,0.03424611687660217,0.04623115435242653]","[0.030355233699083328,0.0033286463003605604,0.0005528986221179366,0.01102951169013977,0.3006230890750885,0.00036695829476229846,0.00038050534203648567]",0.025471828877925873,"[0.027991877868771553,0.032580483704805374,0.02566073089838028,0.01777370646595955,0.023352352902293205]","[0.03455332666635513,0.0008062178385443985,0.0015394709771499038,0.007606429047882557,0.1333446502685547,0.0001114767073886469,0.00034123784280382097]",0.027776092290878296,"[[[-0.27037638425827026,0.011531300842761993,-0.6803617477416992,-0.1076890081167221,-0.1581839770078659,-0.11230109632015228,-1.0094399452209473],[-0.2616882920265198,0.02646331489086151,-0.6634923219680786,-0.11207732558250427,-0.16250216960906982,-0.11058883368968964,-0.9924575090408325],[-0.25402140617370605,0.026414819061756134,-0.6483076810836792,-0.1126880869269371,-0.1533481478691101,-0.10425490885972977,-0.9896970987319946],[-0.2226235568523407,0.0215054452419281,-0.62224942445755,-0.1048370972275734,-0.14606115221977234,-0.11396364867687225,-0.9987112283706665],[-0.23546016216278076,0.027613740414381027,-0.6123287081718445,-0.1227049008011818,-0.13376902043819427,-0.11049409210681915,-0.9913378953933716]]]","[[[-0.1285719871520996,0.04361319541931152,-0.6831396818161011,-0.2659956216812134,-0.5927063226699829,-0.03363001346588135,-1.0],[-0.1285719871520996,0.02180635929107666,-0.7005815505981445,-0.2659956216812134,-0.5927063226699829,-0.040709614753723145,-1.0],[-0.16071486473083496,0.02180635929107666,-0.7034885287284851,-0.2659956216812134,-0.525837242603302,-0.040709614753723145,-1.0],[-0.22857189178466797,0.02180635929107666,-0.6831396818161011,-0.2659956216812134,-0.47112613916397095,-0.037169814109802246,-1.0],[-0.2785719037055969,0.049843668937683105,-0.6395350694656372,-0.2659956216812134,-0.5197582244873047,-0.03363001346588135,-1.0]]]","[0.03447062522172928,0.0332605317234993,0.02545253559947014,0.020183052867650986,0.02551371231675148]","[0.00968571100383997,0.0003132866695523262,0.001775212585926056,0.023751867935061455,0.1534576565027237,0.005383125972002745,6.576890154974535e-05]",0.0823013111948967,0.025787411257624626,0.02605096437036991,0.00024554762057960033
O-H,O1200,36,13,libero_object,3,46,47,0.25,37,2026092101,0.14793211221694946,0.11374563723802567,"[0.10920825600624084,0.14058786630630493,0.12935343384742737,0.11798055469989777,0.0715981274843216]","[0.22619138658046722,0.362978458404541,0.01448357105255127,0.008379063569009304,0.10335216671228409,0.08058535307645798,0.0002494668879080564]",0.05751679465174675,"[0.051660314202308655,0.06910178065299988,0.07097555696964264,0.057894330471754074,0.037952013313770294]","[0.06996724754571915,0.2643110156059265,0.005780805833637714,0.004038406070321798,0.03958568722009659,0.018611466512084007,0.0003229175927117467]",0.050415970385074615,"[[[0.23611165583133698,-0.07447996735572815,-0.5030044317245483,-0.12849649786949158,-0.22140425443649292,-0.3279434144496918,-1.016372561454773],[0.2376118004322052,-0.029773160815238953,-0.5146791934967041,-0.13362543284893036,-0.24118418991565704,-0.3237600326538086,-1.00324285030365],[0.2312932014465332,-0.006020538508892059,-0.5255702137947083,-0.12743809819221497,-0.2500469386577606,-0.31697410345077515,-1.0002590417861938],[0.24725288152694702,0.00715300440788269,-0.5291516184806824,-0.11104165762662888,-0.2533608376979828,-0.3247084319591522,-1.007375955581665],[0.20971980690956116,0.0220646895468235,-0.5467906594276428,-0.10946845263242722,-0.24590224027633667,-0.31970709562301636,-1.0049681663513184]]]","[[[-0.0750005841255188,0.21495270729064941,-0.6133723258972168,-0.2659956216812134,-0.3252299427986145,-0.040709614753723145,-1.0],[-0.1285719871520996,0.2866036891937256,-0.6569769382476807,-0.2659956216812134,-0.4528891444206238,-0.040709614753723145,-1.0],[-0.1285719871520996,0.33021724224090576,-0.6395350694656372,-0.2659956216812134,-0.47112613916397095,-0.040709614753723145,-1.0],[-0.1285719871520996,0.32087159156799316,-0.6162792444229126,-0.2659956216812134,-0.4285730719566345,-0.040709614753723145,-1.0],[-0.08928626775741577,0.2897188663482666,-0.6017444133758545,-0.2659956216812134,-0.3617039918899536,-0.040709614753723145,-1.0]]]","[0.043600041419267654,0.05670035257935524,0.05713473632931709,0.05466781556606293,0.03997691348195076]","[0.11820667237043381,0.0933959111571312,0.011205770075321198,0.020827507600188255,0.02971682883799076,0.07948755472898483,7.15462738298811e-05]",0.14167772233486176,0.05117218941450119,0.047572843730449677,0.00041057239286601543
O-H,O1200,36,14,libero_object,4,46,47,0.25,40,2026092101,0.061491839587688446,0.017828434705734253,"[0.013767840340733528,0.014654763042926788,0.015081771649420261,0.014477555640041828,0.03116024099290371]","[0.021802455186843872,0.035706352442502975,0.029124507680535316,0.006485011428594589,0.030278844758868217,0.0009005176252685487,0.0005013474728912115]",0.010364841669797897,"[0.014860358089208603,0.010307795368134975,0.009852967225015163,0.0055585880763828754,0.011244500987231731]","[0.029335349798202515,0.01066508237272501,0.004870790522545576,0.00047467878903262317,0.026749668642878532,0.00043247570283710957,2.584604953881353e-05]",0.009609914384782314,"[[[-0.26271045207977295,-0.06990662962198257,-0.5796061754226685,-0.17118382453918457,-0.1958680897951126,-0.13271908462047577,-1.0208961963653564],[-0.2611306309700012,-0.040823809802532196,-0.5767329335212708,-0.1746499389410019,-0.20465627312660217,-0.1253303438425064,-1.0030149221420288],[-0.2640880346298218,-0.029827281832695007,-0.5735317468643188,-0.16880907118320465,-0.20182135701179504,-0.1133345365524292,-0.9999329447746277],[-0.23533517122268677,-0.026756666600704193,-0.5622426271438599,-0.1605912744998932,-0.19846871495246887,-0.12200497835874557,-1.0078697204589844],[-0.2594904899597168,-0.017428621649742126,-0.564399778842926,-0.16912060976028442,-0.18679596483707428,-0.11457148939371109,-1.0064884424209595]]]","[[[-0.1285719871520996,-0.16199421882629395,-0.5523258447647095,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.17142915725708008,-0.08099734783172607,-0.6162792444229126,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.22857189178466797,0.0031147003173828125,-0.668604850769043,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.3357146978378296,0.02180635929107666,-0.738372266292572,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.3642861247062683,0.1277252435684204,-0.7848838567733765,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0]]]","[0.00871060136705637,0.006413447204977274,0.006215041968971491,0.011109139770269394,0.01560134720057249]","[0.009671811014413834,0.006921444088220596,0.018196379765868187,0.009454676881432533,0.016322080045938492,0.006593060679733753,0.00010995553020620719]",0.06862560659646988,0.009034358896315098,0.009056317619979382,0.0011204549809917808
O-H,O1200,36,15,libero_object,5,46,47,0.25,31,2026092101,0.09721322357654572,0.10905087739229202,"[0.09889285266399384,0.10531023144721985,0.11077012121677399,0.11366768181324005,0.11661351472139359]","[0.03266868740320206,0.0012609048280864954,0.014015557244420052,0.0011898130178451538,0.0017035125056281686,0.7121977210044861,0.0003199682105332613]",0.07243278622627258,"[0.06732404232025146,0.07403592020273209,0.07225354760885239,0.07554235309362411,0.07300805300474167]","[0.001917184330523014,0.002021375810727477,0.006495197769254446,0.0022811684757471085,0.008710830472409725,0.4850377142429352,0.0005659954622387886]",0.046333253383636475,"[[[-0.17840296030044556,0.01734745502471924,-0.6045758128166199,-0.07456552237272263,-0.276534765958786,-0.587918221950531,-1.0224136114120483],[-0.17839652299880981,0.032464977353811264,-0.6113938093185425,-0.07621316611766815,-0.2901829481124878,-0.5781275629997253,-1.008608341217041],[-0.1857200264930725,0.03085898607969284,-0.6208945512771606,-0.06479718536138535,-0.29642748832702637,-0.5687204599380493,-1.0042387247085571],[-0.16346877813339233,0.02293350175023079,-0.6169215440750122,-0.04642702639102936,-0.29807087779045105,-0.5721017718315125,-1.0116972923278809],[-0.19006116688251495,0.025678087025880814,-0.6337469816207886,-0.04410860687494278,-0.2916499972343445,-0.5622056722640991,-1.0126914978027344]]]","[[[-0.1285719871520996,-0.07788211107254028,-0.6075583696365356,-0.2121238112449646,-0.2218867540359497,-1.109734296798706,-1.0],[-0.1285719871520996,-0.07476687431335449,-0.6453490257263184,-0.20538973808288574,-0.20972871780395508,-1.1274334192276,-1.0],[-0.1285719871520996,-0.09345841407775879,-0.6569769382476807,-0.18518781661987305,-0.20364969968795776,-1.1168140172958374,-1.0],[-0.16071486473083496,-0.1059194803237915,-0.668604850769043,-0.15825188159942627,-0.17325466871261597,-1.0955750942230225,-1.0],[-0.23571473360061646,-0.1059194803237915,-0.6860466599464417,-0.15825188159942627,-0.1793336272239685,-1.0743361711502075,-1.0]]]","[0.04375196620821953,0.04858637601137161,0.04907840117812157,0.045932404696941376,0.04431711882352829]","[0.0020646683406084776,0.013988633640110493,0.0015740424860268831,0.015127251856029034,0.009252212010324001,0.28214749693870544,0.00017846820992417634]",0.08717510849237442,0.07593822479248047,0.04968113824725151,0.0012081243330612779
