branch,global_task_id,suite,task_id,init_state_id,success,steps,capture_level,has_images,replans,local_payload_bytes,local_payload
O-H,31,libero_10,1,0,False,520,full,True,104,164099607,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_10_task_01_state_000.pt
O-H,31,libero_10,1,1,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_10_task_01_state_001.pt
O-H,31,libero_10,1,2,True,495,compact,False,99,198115,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_10_task_01_state_002.pt
O-H,31,libero_10,1,3,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_10_task_01_state_003.pt
O-H,26,libero_goal,6,0,True,89,compact,False,18,36947,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_goal_task_06_state_000.pt
O-H,26,libero_goal,6,1,True,91,compact,False,19,38969,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_goal_task_06_state_001.pt
O-H,26,libero_goal,6,2,True,86,compact,False,18,36947,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_goal_task_06_state_002.pt
O-H,26,libero_goal,6,3,True,88,compact,False,18,36947,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_goal_task_06_state_003.pt
O-H,11,libero_object,1,0,True,226,compact,False,46,92927,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_object_task_01_state_000.pt
O-H,11,libero_object,1,1,False,280,compact,False,56,112943,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_object_task_01_state_001.pt
O-H,11,libero_object,1,2,True,153,compact,False,31,62985,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_object_task_01_state_002.pt
O-H,11,libero_object,1,3,True,139,compact,False,28,57035,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_object_task_01_state_003.pt
O-H,3,libero_spatial,3,0,True,138,full,True,28,44182317,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_spatial_task_03_state_000.pt
O-H,3,libero_spatial,3,1,True,113,compact,False,23,47085,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_spatial_task_03_state_001.pt
O-H,3,libero_spatial,3,2,True,143,compact,False,29,59061,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_spatial_task_03_state_002.pt
O-H,3,libero_spatial,3,3,False,220,compact,False,44,89033,<STUDY>/rollouts/e3/O-H/local_036/trajectories/libero_spatial_task_03_state_003.pt
O-L,31,libero_10,1,0,False,520,full,True,104,164099607,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_10_task_01_state_000.pt
O-L,31,libero_10,1,1,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_10_task_01_state_001.pt
O-L,31,libero_10,1,2,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_10_task_01_state_002.pt
O-L,31,libero_10,1,3,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_10_task_01_state_003.pt
O-L,26,libero_goal,6,0,True,97,compact,False,20,40927,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_goal_task_06_state_000.pt
O-L,26,libero_goal,6,1,True,111,compact,False,23,46929,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_goal_task_06_state_001.pt
O-L,26,libero_goal,6,2,True,106,compact,False,22,44907,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_goal_task_06_state_002.pt
O-L,26,libero_goal,6,3,True,97,compact,False,20,40927,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_goal_task_06_state_003.pt
O-L,11,libero_object,1,0,False,280,compact,False,56,112943,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_object_task_01_state_000.pt
O-L,11,libero_object,1,1,True,146,compact,False,30,61023,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_object_task_01_state_001.pt
O-L,11,libero_object,1,2,True,142,compact,False,29,58997,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_object_task_01_state_002.pt
O-L,11,libero_object,1,3,True,139,compact,False,28,57035,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_object_task_01_state_003.pt
O-L,3,libero_spatial,3,0,True,130,full,True,26,41026521,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_spatial_task_03_state_000.pt
O-L,3,libero_spatial,3,1,True,192,compact,False,39,79021,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_spatial_task_03_state_001.pt
O-L,3,libero_spatial,3,2,True,110,compact,False,22,45057,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_spatial_task_03_state_002.pt
O-L,3,libero_spatial,3,3,False,220,compact,False,44,89033,<STUDY>/rollouts/e3/O-L/local_036/trajectories/libero_spatial_task_03_state_003.pt
N-H,31,libero_10,1,0,False,520,full,True,104,164099607,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_10_task_01_state_000.pt
N-H,31,libero_10,1,1,False,520,compact,False,104,208087,<STUDY>/rollouts/e3/N-H/local_036/trajectories/libero_10_task_01_state_001.pt
