branch,parent_asset,local_step,parent_step,optimizer_step,lr,seconds,mean_main_loss,mean_teaching_loss,preclip_grad_norm,parameter_displacement_norm
O-H,O1200,1,1200,1201,0.00016279650115,36.33152906689793,0.12011409630732876,0.10138336475938559,0.19560426473617554,0.14065925408378688
O-H,O1200,2,1200,1202,0.00016279650115,27.555079555604607,0.08473855616258723,0.05321672745049,0.14858771860599518,0.149351676196132
O-H,O1200,3,1200,1203,0.00016279650115,40.08543192455545,0.10464558812479177,0.0680193891748786,0.16021741926670074,0.1488753149072064
O-H,O1200,4,1200,1204,0.00016279650115,28.47393855592236,0.10994233208752813,0.05729004926979542,0.15000313520431519,0.14282829821434584
O-H,O1200,5,1200,1205,0.00016279650115,34.52737612463534,0.10460880895455678,0.07583993580192327,0.20489062368869781,0.16102142076461215
O-H,O1200,6,1200,1206,0.00016279650115,29.15367922792211,0.11498098784968966,0.05738636804744601,0.16184747219085693,0.15269326115096715
O-H,O1200,7,1200,1207,0.00016279650115,36.703190966974944,0.09953689451018968,0.05863567441701889,0.150896355509758,0.16654460841906157
O-H,O1200,8,1200,1208,0.00016279650115,31.244742203038186,0.09546558860512006,0.052137251012027264,0.1237892210483551,0.16044575692970478
O-H,O1200,9,1200,1209,0.00016279650115,30.803670971654356,0.10356059661578564,0.06000381521880627,0.12832628190517426,0.15436911053698252
O-H,O1200,10,1200,1210,0.00016279650115,32.2225428391248,0.15716300283869106,0.05514719896018505,0.1960238218307495,0.14530281325881897
O-H,O1200,11,1200,1211,0.00016279650115,33.49101170524955,0.09765315676728883,0.05254379566758871,0.10520453006029129,0.1456995869012398
O-H,O1200,12,1200,1212,0.00016279650115,27.953396643977612,0.09449829813092947,0.04035838507115841,0.10783300548791885,0.1405208625859192
O-H,O1200,13,1200,1213,0.00016279650115,30.922004867345095,0.10853111646359875,0.06620645429939032,0.18026861548423767,0.1370243219426404
O-H,O1200,14,1200,1214,0.00016279650115,43.8184937001206,0.09896532907372428,0.08643801882863045,0.10350269824266434,0.12939411600867984
O-H,O1200,15,1200,1215,0.00016279650115,34.649263199884444,0.088853578393658,0.05052068969234824,0.10964777320623398,0.12059137217771393
O-H,O1200,16,1200,1216,0.00016279650115,35.68638071976602,0.1040691938251257,0.07257768977433443,0.16961701214313507,0.11651296418773535
O-H,O1200,17,1200,1217,0.00016279650115,29.061896202154458,0.10198081355719338,0.06920959055423737,0.1571737676858902,0.11254721023418773
O-H,O1200,18,1200,1218,0.00016279650115,37.17006541416049,0.10952517993393399,0.06025914195924997,0.18842266499996185,0.11576649726237477
O-H,O1200,19,1200,1219,0.00016279650115,34.18902997998521,0.11049379585754303,0.06743862293660641,0.15964113175868988,0.12090953239320204
O-H,O1200,20,1200,1220,0.00016279650115,39.47619755519554,0.0965879571047567,0.04121631057932973,0.10471441596746445,0.11496277912691572
O-H,O1200,21,1200,1221,0.00016279650115,39.53379226010293,0.10407319345644542,0.055875866673886776,0.09353998303413391,0.11019189382780728
O-H,O1200,22,1200,1222,0.00016279650115,47.577618611976504,0.08400393898288408,0.052887530997395515,0.15354110300540924,0.1086562542212716
O-H,O1200,23,1200,1223,0.00016279650115,29.406619330402464,0.08164403729495548,0.04617832135409117,0.11807382851839066,0.10925213113902722
O-H,O1200,24,1200,1224,0.00016279650115,27.810408890247345,0.09298913411441304,0.03229618351906538,0.18427401781082153,0.10655363032983317
O-H,O1200,25,1200,1225,0.00016279650115,34.43208516621962,0.125373449886129,0.06386638805270195,0.13436302542686462,0.114697541420614
O-H,O1200,26,1200,1226,0.00016279650115,29.336301411967725,0.09227401772070498,0.06808129139244556,0.1334289014339447,0.1141545666909331
