asset,panel,global_task_id,episodes,successes,success_rate,mean_control_steps
M300,common_held,11,4,2,0.5,223.5
M300,common_held,23,4,0,0.0,300.0
M300,common_held,26,4,4,1.0,103.25
M300,common_held,3,4,3,0.75,145.0
M300,common_held,31,4,1,0.25,478.5
M300,common_held,all,20,10,0.5,250.05
M300,train,12,4,0,0.0,280.0
M300,train,37,4,2,0.5,398.0
M300,train,43,4,2,0.5,286.75
M300,train,5,4,2,0.5,164.25
M300,train,51,4,4,1.0,104.0
M300,train,7,4,2,0.5,188.75
M300,train,73,4,3,0.75,241.75
M300,train,96,4,4,1.0,85.5
M300,train,all,32,19,0.59375,218.625
N1000,common_held,11,4,3,0.75,226.75
N1000,common_held,23,4,0,0.0,300.0
N1000,common_held,26,4,4,1.0,89.5
N1000,common_held,3,4,1,0.25,200.5
N1000,common_held,31,4,0,0.0,520.0
N1000,common_held,all,20,8,0.4,267.35
N1000,train,12,4,1,0.25,239.25
N1000,train,37,4,0,0.0,520.0
N1000,train,43,4,2,0.5,285.75
N1000,train,5,4,2,0.5,151.5
N1000,train,51,4,4,1.0,67.75
N1000,train,7,4,3,0.75,144.25
N1000,train,73,4,3,0.75,250.75
N1000,train,96,4,4,1.0,79.0
N1000,train,all,32,19,0.59375,217.28125
N1800,common_held,11,4,4,1.0,164.0
N1800,common_held,23,4,0,0.0,300.0
N1800,common_held,26,4,4,1.0,113.25
N1800,common_held,3,4,0,0.0,220.0
N1800,common_held,31,4,0,0.0,520.0
N1800,common_held,all,20,8,0.4,263.45
N1800,train,12,4,0,0.0,280.0
N1800,train,37,4,2,0.5,398.25
N1800,train,43,4,2,0.5,286.25
N1800,train,5,4,3,0.75,149.0
N1800,train,51,4,4,1.0,78.5
N1800,train,7,4,4,1.0,145.0
N1800,train,73,4,3,0.75,275.5
N1800,train,96,4,4,1.0,85.5
N1800,train,all,32,22,0.6875,212.25
O1200,common_held,11,4,3,0.75,172.75
O1200,common_held,23,4,0,0.0,300.0
O1200,common_held,26,4,4,1.0,108.25
O1200,common_held,3,4,2,0.5,165.5
O1200,common_held,31,4,2,0.5,478.5
O1200,common_held,all,20,11,0.55,245.0
O1500,common_held,11,4,2,0.5,239.5
O1500,common_held,23,4,0,0.0,300.0
O1500,common_held,26,4,4,1.0,98.5
O1500,common_held,3,4,2,0.5,167.25
O1500,common_held,31,4,2,0.5,461.25
O1500,common_held,all,20,10,0.5,253.3
O1500,train,12,4,2,0.5,207.0
O1500,train,37,4,3,0.75,349.0
O1500,train,43,4,1,0.25,354.0
O1500,train,5,4,2,0.5,160.5
O1500,train,51,4,4,1.0,82.25
O1500,train,7,4,4,1.0,123.0
O1500,train,73,4,2,0.5,320.25
O1500,train,96,4,3,0.75,150.25
O1500,train,all,32,21,0.65625,218.28125
S1000,common_held,11,4,0,0.0,280.0
S1000,common_held,23,4,0,0.0,300.0
S1000,common_held,26,4,3,0.75,167.25
S1000,common_held,3,4,0,0.0,220.0
S1000,common_held,31,4,0,0.0,520.0
S1000,common_held,all,20,3,0.15,297.45
S1000,train,12,4,0,0.0,280.0
S1000,train,37,4,0,0.0,520.0
S1000,train,43,4,2,0.5,289.25
S1000,train,5,4,0,0.0,220.0
S1000,train,51,4,3,0.75,196.5
S1000,train,7,4,0,0.0,220.0
S1000,train,73,4,1,0.25,347.0
S1000,train,96,4,4,1.0,86.75
S1000,train,all,32,10,0.3125,269.9375
