asset,global_task_id,suite,suite_task_id,teacher_demo,query_demo,query_fraction,query_position,noise_seed,full_mse,first5_mse,first5_time_mse,first5_dimension_mse,tau1_first5_mse,tau1_first5_time_mse,tau1_first5_dimension_mse,inference_first5_mse,inference_first5_actions,target_first5_actions,inference_first5_time_mse,inference_first5_dimension_mse,action_delta_mse_vs_source,action_delta_time_mse_vs_source,action_delta_dimension_mse_vs_source
O1200,0,libero_spatial,0,46,47,0.25,22,2026092101,0.12821900844573975,0.15780629217624664,"[0.17335708439350128,0.16549448668956757,0.12843315303325653,0.11607703566551208,0.20566968619823456]","[0.30812501907348633,0.3329150080680847,0.004859275184571743,0.1696382313966751,0.2729126214981079,0.015194348059594631,0.0009994498686864972]",0.07472159713506699,"[0.08286827802658081,0.07112251967191696,0.06094120070338249,0.0560818687081337,0.10259411484003067]","[0.17323246598243713,0.17096662521362305,0.002686504740267992,0.04758494719862938,0.12834042310714722,3.2098210795084015e-05,0.000208127181394957]",0.10370836406946182,"[[[-0.3586982488632202,0.22902606427669525,-1.0262573957443237,0.17623105645179749,-0.5437677502632141,-0.18219125270843506,-1.038647174835205],[-0.41303834319114685,0.2635773718357086,-1.0426077842712402,0.16031402349472046,-0.5612378120422363,-0.1664058268070221,-1.0105267763137817],[-0.4778572618961334,0.2719568610191345,-1.0450178384780884,0.1579648107290268,-0.5642035603523254,-0.14384764432907104,-1.0002002716064453],[-0.49254363775253296,0.2624232769012451,-1.0311532020568848,0.16699936985969543,-0.5613118410110474,-0.15608948469161987,-1.0108450651168823],[-0.583306074142456,0.2689080238342285,-1.0339359045028687,0.13493657112121582,-0.5368918776512146,-0.13464637100696564,-1.0075207948684692]]]","[[[-0.08928626775741577,0.8037372827529907,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.1535719633102417,0.7507778406143188,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.46428608894348145,0.6542047262191772,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.9071429371833801,0.33644795417785645,-1.034883737564087,-0.20538973808288574,-0.06991147994995117,-0.040709614753723145,-1.0],[-1.3249998092651367,0.06542003154754639,-1.034883737564087,-0.13131588697433472,-0.06991147994995117,-0.040709614753723145,-1.0]]]","[0.12065216153860092,0.10625694692134857,0.08301498740911484,0.08156631886959076,0.12705138325691223]","[0.17241840064525604,0.15213154256343842,5.031799082644284e-05,0.15332217514514923,0.23396217823028564,0.013718134723603725,0.00035572703927755356]",0.04466769173470759,"[0.042416094831860915,0.04276535380511269,0.04474248509366362,0.04505026756880061,0.04836425737410011]","[0.05483276952286058,0.003947370898098557,0.2442848670480487,0.007737127465260843,0.0007063222973201277,0.0011053965199821826,5.998839138214862e-05]"
O1200,0,libero_spatial,0,46,47,0.25,22,2026092102,0.09404312074184418,0.08370846509933472,"[0.10310409963130951,0.08533903956413269,0.06653165817260742,0.05858489125967026,0.1049826517701149]","[0.1679241955280304,0.21084025502204895,0.002104689134284854,0.06527828425168991,0.1391514092683792,0.00044272394734434783,0.00021775175991933793]",0.07316268980503082,"[0.08617965877056122,0.07017527520656586,0.058058273047208786,0.05387226492166519,0.09752802550792694]","[0.1641489863395691,0.17841005325317383,0.0024696369655430317,0.04725703224539757,0.11934218555688858,0.0002838236978277564,0.0002271574776386842]",0.14018598198890686,"[[[-0.19598165154457092,0.15561959147453308,-1.1144394874572754,0.2677971124649048,-0.544669508934021,0.10751226544380188,-1.0282917022705078],[-0.28626009821891785,0.16821226477622986,-1.1664960384368896,0.21539483964443207,-0.5931171178817749,0.1438775360584259,-1.0058579444885254],[-0.37985745072364807,0.14687059819698334,-1.1860793828964233,0.22730278968811035,-0.613736629486084,0.15963619947433472,-1.0210424661636353],[-0.40504008531570435,0.12194768339395523,-1.18789541721344,0.2713693082332611,-0.5768855214118958,0.1469336599111557,-1.0120238065719604],[-0.40256643295288086,0.10123395174741745,-1.1825460195541382,0.3402785658836365,-0.504917562007904,0.12419791519641876,-1.0263047218322754]]]","[[[-0.08928626775741577,0.8037372827529907,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.1535719633102417,0.7507778406143188,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.46428608894348145,0.6542047262191772,-1.034883737564087,-0.2659956216812134,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.9071429371833801,0.33644795417785645,-1.034883737564087,-0.20538973808288574,-0.06991147994995117,-0.040709614753723145,-1.0],[-1.3249998092651367,0.06542003154754639,-1.034883737564087,-0.13131588697433472,-0.06991147994995117,-0.040709614753723145,-1.0]]]","[0.13869565725326538,0.1305568963289261,0.12386380136013031,0.12017238140106201,0.1876411736011505]","[0.22782175242900848,0.2128240168094635,0.018345553427934647,0.24194307625293732,0.24822762608528137,0.03171701356768608,0.00042280633351765573]",0.03172248611515696,"[0.027403388426510744,0.03137489936987906,0.03372496054799577,0.03321858282859433,0.032890599402804914]","[0.015375416790035023,0.00018179451585519367,0.17508305796961493,0.012948797911850829,0.0022423258761598676,0.016193041472722297,3.296826986058932e-05]"
O1200,0,libero_spatial,0,46,47,0.75,68,2026092101,0.09099413454532623,0.08499642461538315,"[0.10754986852407455,0.09173639863729477,0.07966736704111099,0.05743441730737686,0.08859410136938095]","[0.16678230464458466,0.0006546354852616787,0.0309684406965971,0.05117921158671379,0.26696068048477173,0.07813534885644913,0.00029439147328957915]",0.018749283626675606,"[0.02590816840529442,0.019298192113637924,0.02113296650350094,0.01274863164871931,0.014658462256193161]","[0.02507694996893406,0.00017723058408591896,0.006139013916254044,0.025539899244904518,0.064349465072155,0.009624562226235867,0.00033787154825404286]",0.0761263445019722,"[[[0.7750084400177002,0.07228246331214905,-0.26037466526031494,0.05388770252466202,-0.5742439031600952,-0.4864223599433899,1.0002269744873047],[0.7332439422607422,0.09189426153898239,-0.3404286205768585,0.06289254128932953,-0.6428403258323669,-0.46559104323387146,1.0087840557098389],[0.6685645580291748,0.09474606812000275,-0.4369780421257019,0.10355052351951599,-0.7083624601364136,-0.4510514736175537,1.0039440393447876],[0.5978991389274597,0.09173718094825745,-0.533684492111206,0.14688873291015625,-0.7580526471138,-0.44663310050964355,0.9988431930541992],[0.39634671807289124,0.09431177377700806,-0.6830628514289856,0.20613577961921692,-0.8066180348396301,-0.41833260655403137,1.0043736696243286]]]","[[[1.121427059173584,0.02180635929107666,-0.18313992023468018,-0.19865578413009644,0.00911569595336914,-0.0938069224357605,0.9999990463256836],[1.121427059173584,0.02180635929107666,-0.3720933198928833,-0.11111396551132202,-0.06991147994995117,-0.12212538719177246,0.9999990463256836],[0.8714272975921631,0.012460470199584961,-0.5959304571151733,0.0572357177734375,-0.0820695161819458,-0.11858558654785156,0.9999990463256836],[0.4535706043243408,-0.012461602687835693,-0.7906978130340576,0.252521276473999,-0.40425705909729004,-0.08318740129470825,0.9999990463256836],[-0.014286339282989502,0.02180635929107666,-0.9040698409080505,0.1717134714126587,-0.6231013536453247,-0.040709614753723145,0.9999990463256836]]]","[0.09810749441385269,0.09045323729515076,0.08258958905935287,0.052309658378362656,0.057171739637851715]","[0.10025910288095474,0.006069098599255085,0.029426736757159233,0.021708933636546135,0.2439296990633011,0.13146820664405823,2.26529264182318e-05]",0.04436742125436792,"[0.05785230873727915,0.04903008276121391,0.041718069885294015,0.03707369800058874,0.036162946887463805]","[0.2219019386885072,0.015422141050612936,0.02420556361986943,0.014602377221504797,0.029594405807545597,0.004801493702238346,4.402869029718204e-05]"
O1200,0,libero_spatial,0,46,47,0.75,68,2026092102,0.08169498294591904,0.023054273799061775,"[0.03460560739040375,0.02654804103076458,0.02770652063190937,0.012549740262329578,0.013861455954611301]","[0.030899781733751297,0.0008311353740282357,0.009378181770443916,0.025931525975465775,0.08722545951604843,0.00701200682669878,0.00010181485413340852]",0.016960525885224342,"[0.02527245134115219,0.017697853967547417,0.018525436520576477,0.010776376351714134,0.012530514039099216]","[0.02208351343870163,0.00037852601963095367,0.006880247499793768,0.024395523592829704,0.057841647416353226,0.006376562174409628,0.0007676613749936223]",0.05679796263575554,"[[[1.0268709659576416,0.09390000253915787,-0.5359476804733276,0.01648499071598053,-0.39193883538246155,-0.054688647389411926,1.004172444343567],[0.8337723016738892,0.11236271262168884,-0.7053073048591614,-0.010441616177558899,-0.6121351718902588,-0.017106153070926666,1.0143133401870728],[0.5935170650482178,0.07305498421192169,-0.8626426458358765,0.05983433872461319,-0.7976437211036682,0.00616377592086792,1.0004884004592896],[0.40399712324142456,0.04080658033490181,-0.9800529479980469,0.14841312170028687,-0.8724477887153625,0.013564785942435265,1.0071723461151123],[0.22170387208461761,0.010973714292049408,-1.0841386318206787,0.27594825625419617,-0.8705397248268127,0.0112219899892807,1.0021162033081055]]]","[[[1.121427059173584,0.02180635929107666,-0.18313992023468018,-0.19865578413009644,0.00911569595336914,-0.0938069224357605,0.9999990463256836],[1.121427059173584,0.02180635929107666,-0.3720933198928833,-0.11111396551132202,-0.06991147994995117,-0.12212538719177246,0.9999990463256836],[0.8714272975921631,0.012460470199584961,-0.5959304571151733,0.0572357177734375,-0.0820695161819458,-0.11858558654785156,0.9999990463256836],[0.4535706043243408,-0.012461602687835693,-0.7906978130340576,0.252521276473999,-0.40425705909729004,-0.08318740129470825,0.9999990463256836],[-0.014286339282989502,0.02180635929107666,-0.9040698409080505,0.1717134714126587,-0.6231013536453247,-0.040709614753723145,0.9999990463256836]]]","[0.04961280897259712,0.0739075243473053,0.097093865275383,0.040086276829242706,0.023289360105991364]","[0.045413821935653687,0.004004897084087133,0.07498408854007721,0.015626125037670135,0.249465212225914,0.008035912178456783,5.569886343437247e-05]",0.07389285349743248,"[0.1176682866132717,0.08135634971553495,0.05732364149565381,0.05302928493415985,0.06008670472854206]","[0.3460972482886694,0.002193253399435116,0.05793291712220068,0.01786325233394479,0.08570030678794076,0.007431569072716615,3.142747711990523e-05]"
O1200,0,libero_spatial,0,48,49,0.25,22,2026092101,0.09821977466344833,0.07784941047430038,"[0.057182520627975464,0.0622231550514698,0.0957653820514679,0.10216231644153595,0.07191368192434311]","[0.19295285642147064,0.04934421926736832,0.00445563206449151,0.04441075772047043,0.1968531459569931,0.05585239455103874,0.0010768690844997764]",0.04356412962079048,"[0.03084547072649002,0.04112156853079796,0.057070694863796234,0.05421232059597969,0.0345705971121788]","[0.17389190196990967,0.021326379850506783,0.004211461637169123,0.00785984005779028,0.08637236803770065,0.010748893022537231,0.0005380654474720359]",0.06058267876505852,"[[[-0.2569364607334137,0.29783856868743896,-0.9936255216598511,0.15180499851703644,-0.4963071346282959,-0.16870999336242676,-1.0372612476348877],[-0.3090464472770691,0.3204565942287445,-1.0120491981506348,0.14263559877872467,-0.5150377154350281,-0.15622343122959137,-1.0097732543945312],[-0.37474897503852844,0.3151446282863617,-1.0252840518951416,0.14683179557323456,-0.5205551981925964,-0.13669511675834656,-1.0015363693237305],[-0.39350900053977966,0.2936239242553711,-1.0180643796920776,0.16311664879322052,-0.5200155377388,-0.15274465084075928,-1.0111479759216309],[-0.4982767403125763,0.2871529161930084,-1.030487298965454,0.14114788174629211,-0.49935123324394226,-0.1368556022644043,-1.0074968338012695]]]","[[[-0.1285719871520996,0.0965726375579834,-1.034883737564087,-0.06397610902786255,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.4678574800491333,0.12149477005004883,-1.034883737564087,-0.05724203586578369,-0.06991147994995117,-0.015930891036987305,-1.0],[-0.7821429967880249,0.21806788444519043,-1.034883737564087,-0.08417803049087524,-0.06991147994995117,0.06194508075714111,-1.0],[-0.8535715341567993,0.33956313133239746,-1.034883737564087,-0.13804996013641357,-0.06991147994995117,0.10442280769348145,-1.0],[-0.8500000834465027,0.3831768035888672,-1.034883737564087,-0.16498583555221558,-0.09422749280929565,0.10088300704956055,-1.0]]]","[0.043547846376895905,0.04617059603333473,0.067341648042202,0.08194360136985779,0.06390973925590515]","[0.10860703140497208,0.020169736817479134,0.0005236060242168605,0.06485945731401443,0.1899498552083969,0.039635755121707916,0.000333351461449638]",0.03949561725980615,"[0.0364823496441629,0.03680995029738481,0.03945939004888864,0.0399457256583824,0.04478067065021202]","[0.03590965049549828,0.0025522731760634796,0.2299297809330163,0.005231066460606021,0.0018141912488134793,0.0009656633721339736,6.669513251154058e-05]"
O1200,0,libero_spatial,0,48,49,0.25,22,2026092102,0.054550204426050186,0.03923480957746506,"[0.02637205831706524,0.03711181506514549,0.048041991889476776,0.049384187906980515,0.03526400774717331]","[0.13590393960475922,0.02175149880349636,0.0029662323649972677,0.01389289926737547,0.09000492841005325,0.009663663804531097,0.00046050106175243855]",0.04010690376162529,"[0.025130875408649445,0.038293637335300446,0.053902219980955124,0.048729170113801956,0.03447863459587097]","[0.15802882611751556,0.019671710208058357,0.0037012610118836164,0.009092049673199654,0.07949969917535782,0.009792129509150982,0.0009626893443055451]",0.0768476203083992,"[[[-0.16363303363323212,0.23966774344444275,-1.0802024602890015,0.22277045249938965,-0.5044113993644714,0.1026630774140358,-1.0306967496871948],[-0.24179881811141968,0.2370072603225708,-1.1347898244857788,0.17324918508529663,-0.5545093417167664,0.13749852776527405,-1.0057657957077026],[-0.3290758728981018,0.19639937579631805,-1.1652247905731201,0.2016880214214325,-0.5758357048034668,0.15124589204788208,-1.026120662689209],[-0.34967976808547974,0.15565399825572968,-1.1741136312484741,0.257742702960968,-0.536663830280304,0.13579075038433075,-1.0150684118270874],[-0.34747743606567383,0.11997388303279877,-1.1727828979492188,0.3412328064441681,-0.46519893407821655,0.10982364416122437,-1.0275099277496338]]]","[[[-0.1285719871520996,0.0965726375579834,-1.034883737564087,-0.06397610902786255,-0.06991147994995117,-0.040709614753723145,-1.0],[-0.4678574800491333,0.12149477005004883,-1.034883737564087,-0.05724203586578369,-0.06991147994995117,-0.015930891036987305,-1.0],[-0.7821429967880249,0.21806788444519043,-1.034883737564087,-0.08417803049087524,-0.06991147994995117,0.06194508075714111,-1.0],[-0.8535715341567993,0.33956313133239746,-1.034883737564087,-0.13804996013641357,-0.06991147994995117,0.10442280769348145,-1.0],[-0.8500000834465027,0.3831768035888672,-1.034883737564087,-0.16498583555221558,-0.09422749280929565,0.10088300704956055,-1.0]]]","[0.04518158361315727,0.05513743311166763,0.08129482716321945,0.09754786640405655,0.10507640987634659]","[0.15280751883983612,0.027477441355586052,0.013484989292919636,0.1259956806898117,0.20701244473457336,0.010626967065036297,0.0005283354548737407]",0.029054901094029795,"[0.024499318161485935,0.02803165809269014,0.03107544506969687,0.03079340269970651,0.0308746814465695]","[0.010808613426162239,0.00020219445711516792,0.1667900173324334,0.008213885725493286,0.001289252332119517,0.016025773796509726,5.457058837521345e-05]"
O1200,0,libero_spatial,0,48,49,0.75,68,2026092101,0.08649508655071259,0.09144662320613861,"[0.10150168836116791,0.08699718117713928,0.06904064118862152,0.06852184981107712,0.13117177784442902]","[0.23171734809875488,0.028248000890016556,0.10513194650411606,0.03438689187169075,0.17278730869293213,0.06527474522590637,0.002580123022198677]",0.11475125700235367,"[0.07807731628417969,0.07540563493967056,0.08514780551195145,0.11138308048248291,0.22374248504638672]","[0.09770834445953369,0.015448519960045815,0.13410066068172455,0.0021682034712284803,0.019521594047546387,0.047759804874658585,0.4865516722202301]",0.07280789315700531,"[[[-0.654607355594635,0.11904855817556381,-0.8865909576416016,0.13990849256515503,-0.5076536536216736,-0.10757529735565186,0.9885190725326538],[-0.5970902442932129,0.13589736819267273,-0.8352990746498108,0.11474017798900604,-0.5318954586982727,-0.09840677678585052,1.0045150518417358],[-0.5282597541809082,0.138985276222229,-0.7597227096557617,0.11658114194869995,-0.5406969785690308,-0.10099393874406815,1.0060467720031738],[-0.40139976143836975,0.13413497805595398,-0.6278064250946045,0.11667921394109726,-0.5192118883132935,-0.1337292492389679,0.9947951436042786],[-0.32774117588996887,0.14344821870326996,-0.4989960491657257,0.09514918178319931,-0.46351611614227295,-0.15671823918819427,1.0026895999908447]]]","[[[-0.11428624391555786,0.006229996681213379,-0.9593023657798767,-0.08417803049087524,-0.4589681029319763,-0.3168153762817383,0.9999990463256836],[-0.21071475744247437,0.02180635929107666,-1.0029069185256958,-0.13131588697433472,-0.27051883935928345,-0.2283199429512024,0.9999990463256836],[-0.5178574323654175,0.02180635929107666,-1.034883737564087,-0.10438001155853271,-0.06991147994995117,-0.12920498847961426,0.9999990463256836],[-0.7214287519454956,0.10591840744018555,-1.034883737564087,-0.15825188159942627,-0.06991147994995117,-0.040709614753723145,0.9999990463256836],[-0.8678572177886963,0.283488392829895,-1.0261627435684204,-0.2659956216812134,-0.06991147994995117,-0.03363001346588135,0.9999990463256836]]]","[0.058065734803676605,0.04802204668521881,0.05154971033334732,0.07929490506649017,0.12710706889629364]","[0.16709701716899872,0.01197662204504013,0.110541932284832,0.07311897724866867,0.12982450425624847,0.017051612958312035,4.461575736058876e-05]",0.06469376551424569,"[0.08085234202369254,0.07893179555772258,0.07195533241773422,0.05425609346268463,0.0374732641093945]","[0.056489589615012825,0.003967573882134226,0.1441644585621665,0.04889743504144717,0.18745843658470723,0.011818896588453776,5.9968325798109844e-05]"
O1200,0,libero_spatial,0,48,49,0.75,68,2026092102,0.1522248536348343,0.12449830025434494,"[0.09603878110647202,0.07337769120931625,0.08158617466688156,0.12015242874622345,0.2513364851474762]","[0.13340400159358978,0.01898469217121601,0.13725654780864716,0.0023034007754176855,0.030905133113265038,0.06268753111362457,0.48594680428504944]",0.10950648039579391,"[0.08450794965028763,0.0773206353187561,0.07901515811681747,0.10834551602602005,0.19834314286708832]","[0.10441908985376358,0.016741007566452026,0.12871475517749786,0.00233354396186769,0.020668400451540947,0.048828400671482086,0.4448401629924774]",0.19898943603038788,"[[[-0.5706499218940735,0.09996400773525238,-1.1274298429489136,0.08604241162538528,-0.45345252752304077,0.2164817601442337,1.0022468566894531],[-0.6451599597930908,0.11280954629182816,-1.1094770431518555,-0.00382397323846817,-0.5645352602005005,0.2557530105113983,1.0137510299682617],[-0.6796507239341736,0.09139011055231094,-1.0558137893676758,-0.030168240889906883,-0.6571303009986877,0.2789127826690674,0.9888186454772949],[-0.56027752161026,0.0544000044465065,-0.8900624513626099,-0.0243575107306242,-0.665340006351471,0.2249780297279358,0.8840240240097046],[-0.3963695168495178,0.040007781237363815,-0.6766223907470703,-0.006753116846084595,-0.579425036907196,0.13044148683547974,-1.0120220184326172]]]","[[[-0.11428624391555786,0.006229996681213379,-0.9593023657798767,-0.08417803049087524,-0.4589681029319763,-0.3168153762817383,0.9999990463256836],[-0.21071475744247437,0.02180635929107666,-1.0029069185256958,-0.13131588697433472,-0.27051883935928345,-0.2283199429512024,0.9999990463256836],[-0.5178574323654175,0.02180635929107666,-1.034883737564087,-0.10438001155853271,-0.06991147994995117,-0.12920498847961426,0.9999990463256836],[-0.7214287519454956,0.10591840744018555,-1.034883737564087,-0.15825188159942627,-0.06991147994995117,-0.040709614753723145,0.9999990463256836],[-0.8678572177886963,0.283488392829895,-1.0261627435684204,-0.2659956216812134,-0.06991147994995117,-0.03363001346588135,0.9999990463256836]]]","[0.07981958240270615,0.07794243097305298,0.0783536434173584,0.0723000094294548,0.6865316033363342]","[0.13429157435894012,0.016769299283623695,0.036642756313085556,0.027174189686775208,0.2090882509946823,0.15656039118766785,0.812399685382843]",0.313685083903899,"[0.0817904239139163,0.10146756062974427,0.6920412230400951,0.6225153648723155,0.0706108470634238]","[0.04635246830503892,0.0032403152058849472,0.23978453463741634,0.042034118442973334,0.2694245287114287,0.05909741808818394,1.5358622039363667]"
O1200,1,libero_spatial,1,46,47,0.25,33,2026092101,0.1614782214164734,0.24713952839374542,"[0.4511336088180542,0.29693397879600525,0.1606668084859848,0.17855341732501984,0.1484098732471466]","[0.2455780953168869,0.8707126975059509,0.07411070913076401,0.49794062972068787,0.003005821257829666,0.03844745084643364,0.00018129641830455512]",0.1160188689827919,"[0.17858724296092987,0.12415680289268494,0.08391959965229034,0.10071448236703873,0.0927162617444992]","[0.0785069391131401,0.39553725719451904,0.047754570841789246,0.21665285527706146,0.0056435163132846355,0.06783289462327957,0.00020408105046954006]",0.12317976355552673,"[[[0.4814337193965912,0.02396164834499359,-0.799481213092804,-0.02934866026043892,-0.11291052401065826,-0.5026946663856506,-1.0198866128921509],[0.43025699257850647,0.03045523166656494,-0.8088836073875427,-0.021531354635953903,-0.12413342297077179,-0.5151406526565552,-1.0048854351043701],[0.37089693546295166,0.021472785621881485,-0.8152255415916443,0.006755038630217314,-0.12255004048347473,-0.5248664021492004,-0.9985560178756714],[0.33228254318237305,0.009052634239196777,-0.8139362335205078,0.03946922719478607,-0.12107615172863007,-0.5521093010902405,-1.008636474609375],[0.20369961857795715,0.004579653963446617,-0.831489086151123,0.07134674489498138,-0.11339856684207916,-0.5668167471885681,-1.0142053365707397]]]","[[[0.007142186164855957,0.9345784187316895,-0.41569799184799194,-0.4882171154022217,-0.15501761436462402,-0.25663846731185913,-1.0],[0.1357135772705078,0.7632389068603516,-0.593023419380188,-0.5690249800682068,-0.06991147994995117,-0.34159404039382935,-1.0],[0.31071341037750244,0.4922109842300415,-0.7906978130340576,-0.5757589340209961,-0.06991147994995117,-0.4796469211578369,-1.0],[0.40714192390441895,0.3676004409790039,-0.9244186878204346,-0.6565667390823364,-0.06991147994995117,-0.5539830923080444,-1.0],[0.364284873008728,0.17756950855255127,-1.034883737564087,-0.6565667390823364,-0.06991147994995117,-0.5964608788490295,-1.0]]]","[0.21067675948143005,0.1433078646659851,0.08142262697219849,0.09050412476062775,0.08998747169971466]","[0.06934438645839691,0.3492542505264282,0.049612510949373245,0.37279126048088074,0.0023985588923096657,0.01871783286333084,0.00013956203474663198]",0.035303559207021995,"[0.04091669292840028,0.03781110268291692,0.03521973476457694,0.03278384599792906,0.0297864196612868]","[0.07634630637599395,0.00019999658813445246,0.047598781127394574,0.0016441289641023946,0.0006430495006888859,0.12065453787933071,3.811401350901633e-05]"
O1200,1,libero_spatial,1,46,47,0.25,33,2026092102,0.10940586775541306,0.14443358778953552,"[0.21087771654129028,0.15293247997760773,0.1081646978855133,0.13192765414714813,0.1182653084397316]","[0.10361026972532272,0.4974382519721985,0.06202402710914612,0.2719394862651825,0.0038030517753213644,0.07218488305807114,3.504270353005268e-05]",0.12058517336845398,"[0.1818884015083313,0.12274056673049927,0.08882831037044525,0.10959812253713608,0.09987041354179382]","[0.09141042083501816,0.40552201867103577,0.05669200047850609,0.21792660653591156,0.0057971361093223095,0.0666818618774414,6.61003214190714e-05]",0.19069544970989227,"[[[0.6248253583908081,-0.04007573425769806,-0.9930654168128967,0.03141707181930542,-0.10391058027744293,-0.06399164348840714,-1.0164037942886353],[0.5102342963218689,-0.04365856945514679,-1.029953956604004,0.01162721961736679,-0.13642047345638275,-0.04859194904565811,-1.0034427642822266],[0.39534157514572144,-0.08267789334058762,-1.062915563583374,0.05430727079510689,-0.16086776554584503,-0.046933501958847046,-1.0126893520355225],[0.3100895285606384,-0.12677469849586487,-1.0840402841567993,0.12327005714178085,-0.15762561559677124,-0.06413128226995468,-1.0057568550109863],[0.25798332691192627,-0.1685241460800171,-1.0942531824111938,0.20831483602523804,-0.13031049072742462,-0.08289732038974762,-1.014746069908142]]]","[[[0.007142186164855957,0.9345784187316895,-0.41569799184799194,-0.4882171154022217,-0.15501761436462402,-0.25663846731185913,-1.0],[0.1357135772705078,0.7632389068603516,-0.593023419380188,-0.5690249800682068,-0.06991147994995117,-0.34159404039382935,-1.0],[0.31071341037750244,0.4922109842300415,-0.7906978130340576,-0.5757589340209961,-0.06991147994995117,-0.4796469211578369,-1.0],[0.40714192390441895,0.3676004409790039,-0.9244186878204346,-0.6565667390823364,-0.06991147994995117,-0.5539830923080444,-1.0],[0.364284873008728,0.17756950855255127,-1.034883737564087,-0.6565667390823364,-0.06991147994995117,-0.5964608788490295,-1.0]]]","[0.2821214199066162,0.2013857215642929,0.1434885859489441,0.16216175258159637,0.16431981325149536]","[0.10993587225675583,0.4591437876224518,0.12547354400157928,0.47206512093544006,0.00533004617318511,0.1627812534570694,0.00013850895629730076]",0.026763288745189743,"[0.03954140301440095,0.032006155503105815,0.02489562900796161,0.01977005175695159,0.017603204443528746]","[0.10094171778207257,0.00372389494398912,0.07233520228344688,0.002474989400931396,0.003250948796647124,0.004560683571205304,5.558443803579394e-05]"
