step,global_step,lr_applied,lr_next,mean_flow_loss,mean_teaching_loss,mean_total_loss,writer_grad_norm,text_meta_grad_norm,vl_meta_grad_norm,meta_grad_norm,total_grad_norm,seconds,gradient_sync_seconds,optimizer_seconds,peak_allocated_gib,peak_reserved_gib,condition_exposures,task_exposures,supervised_queries,teaching_queries,total_queries,optimizer_updates,rank_peak_allocated_gib_max,rank_peak_reserved_gib_max
1,1,1.986754966887417e-06,3.973509933774834e-06,0.1416894891077564,0.09923343919217587,0.174767302171815,0.06699075549840927,0.0,0.0,0.0,0.06699075549840927,8.439954034984112,0.034832616336643696,0.03314627707004547,20.573788166046143,21.16796875,4,4,84,28,112,1,20.573788166046143,21.16796875
2,2,3.973509933774834e-06,5.9602649006622515e-06,0.1321623386549098,0.10729445703327656,0.167927157666002,0.08604734390974045,3.09437275802793e-08,6.826686558270012e-07,0.0,0.08604734390974045,8.136974869295955,0.03359121456742287,0.006238242611289024,20.65933895111084,21.271484375,8,8,168,56,224,2,20.65933895111084,21.271484375
3,3,5.9602649006622515e-06,7.947019867549668e-06,0.11256006572927746,0.0913777993991971,0.1430193321956765,0.1355186402797699,1.0797892713299007e-07,1.805866645554488e-06,2.4491153549632827e-10,0.1355186402797699,10.46704430039972,0.03252837620675564,0.006257776170969009,20.66601324081421,21.271484375,12,12,252,84,336,3,20.66601324081421,21.271484375
4,4,7.947019867549668e-06,9.933774834437086e-06,0.09739417086044946,0.058550212532281876,0.1169109083712101,0.054869189858436584,1.9890356384166807e-07,2.385917696301476e-06,7.855972539161371e-10,0.054869189858436584,10.848700153641403,0.03335673455148935,0.006188896484673023,20.66601324081421,21.271484375,16,16,336,112,448,4,20.66601324081421,21.271484375
5,5,9.933774834437086e-06,1.1920529801324503e-05,0.16919770162729988,0.09610375948250294,0.2012322881214675,0.10741007328033447,4.4094250029047544e-07,1.185004111903254e-05,1.0577317688387211e-08,0.10741007328033447,7.01939410995692,0.030687793157994747,0.006819833070039749,20.66601324081421,21.271484375,20,20,420,140,560,5,20.66601324081421,21.271484375
6,6,1.1920529801324503e-05,1.390728476821192e-05,0.11883871004517589,0.09917520917952061,0.15189711310501608,0.09614589065313339,3.2484234679941437e-07,4.238795554556418e-06,8.47806180814814e-09,0.09614589065313339,10.538073401898146,0.03251396957784891,0.006545685231685638,20.66601324081421,21.271484375,24,24,504,168,672,6,20.66601324081421,21.271484375
7,7,1.390728476821192e-05,1.5894039735099336e-05,0.1366010643541813,0.10099186562001705,0.17026501956085363,0.17548663914203644,6.848997600172879e-07,1.137644358095713e-05,2.6751774129252226e-08,0.17548663914203644,7.389350036159158,0.03100609965622425,0.006566883064806461,20.66601324081421,21.271484375,28,28,588,196,784,7,20.66601324081421,21.271484375
8,8,1.5894039735099336e-05,1.7880794701986755e-05,0.09643162299124966,0.047728731762617826,0.1123412002454556,0.16979116201400757,1.4386365592145012e-06,3.472033131401986e-05,1.4754647281733924e-07,0.16979116201400757,7.232772934250534,0.03066348098218441,0.00648043118417263,20.66601324081421,21.271484375,32,32,672,224,896,8,20.66601324081421,21.271484375
9,9,1.7880794701986755e-05,1.9867549668874173e-05,0.12261853668661343,0.06570384139195085,0.14451981715059703,0.17719241976737976,2.889672487071948e-06,3.3437612728448585e-05,1.9171014287167054e-07,0.17719241976737976,14.359411682002246,0.03327227756381035,0.0062250252813100815,20.668067455291748,21.271484375,36,36,756,252,1008,9,20.668067455291748,21.271484375
10,10,1.9867549668874173e-05,2.1854304635761588e-05,0.0989811039928879,0.09222984639927745,0.1297243861259804,0.3283785879611969,6.481413493020227e-06,0.0001582861295901239,7.465793601113546e-07,0.3283785879611969,11.914665387943387,0.030888277105987072,0.006696770898997784,20.668067455291748,21.271484375,40,40,840,280,1120,10,20.668067455291748,21.271484375
11,11,2.1854304635761588e-05,2.3841059602649006e-05,0.13643923047043027,0.061376821249723434,0.15689817088700475,0.2334691435098648,4.207659458188573e-06,9.800858242670074e-05,8.459064702037722e-07,0.2334691435098648,11.321596532128751,0.030414248816668987,0.006296435371041298,20.668067455291748,21.271484375,44,44,924,308,1232,11,20.668067455291748,21.271484375
12,12,2.3841059602649006e-05,2.582781456953642e-05,0.16907090081700257,0.14706477336585522,0.2180924919389543,0.6197860836982727,1.567148501635529e-05,0.00024163378111552447,9.99942699309031e-07,0.6197860836982727,6.88636748213321,0.030451669357717037,0.006263911724090576,20.668067455291748,21.271484375,48,48,1008,336,1344,12,20.668067455291748,21.271484375
13,13,2.582781456953642e-05,2.781456953642384e-05,0.10808254388116655,0.09689096082001925,0.14037953082117297,0.5453125238418579,1.0502959412406199e-05,0.00020079425303265452,9.196073733619414e-06,0.5453125238418579,9.147472651675344,0.033278707414865494,0.006232552230358124,20.668067455291748,21.271484375,52,52,1092,364,1456,13,20.668067455291748,21.271484375
14,14,2.781456953642384e-05,2.9801324503311254e-05,0.1018422810981671,0.06970158219337463,0.12507614182929197,0.4725922644138336,2.392186434008181e-05,0.00043013819959014654,9.674020475358702e-06,0.4725922644138336,14.777175048366189,0.037376709282398224,0.006708315573632717,20.668067455291748,21.271484375,56,56,1176,392,1568,14,20.668067455291748,21.271484375
15,15,2.9801324503311254e-05,3.178807947019867e-05,0.12012952512928418,0.053412098437547684,0.13793355794180007,0.4943923354148865,1.65990277309902e-05,0.0003135797451250255,2.9321529382286826e-06,0.49439236521720886,9.931826561689377,0.03069813083857298,0.006895227357745171,20.668067455291748,21.271484375,60,60,1260,420,1680,15,20.668067455291748,21.271484375
16,16,3.178807947019867e-05,3.377483443708609e-05,0.12220694222265766,0.11161314696073532,0.15941132454290274,0.8501293063163757,4.2649484385037795e-05,0.0007473670411854982,3.876373739331029e-06,0.8501293063163757,7.415677160024643,0.03385527245700359,0.006421851925551891,20.668067455291748,21.271484375,64,64,1344,448,1792,16,20.668067455291748,21.271484375
17,17,3.377483443708609e-05,3.576158940397351e-05,0.11433089737381252,0.07472746120765805,0.13924005110969856,0.49012213945388794,2.3204023818834685e-05,0.00045885160216130316,3.403170467208838e-06,0.49012210965156555,7.42299753241241,0.030584773048758507,0.006424211896955967,20.668067455291748,21.271484375,68,68,1428,476,1904,17,20.668067455291748,21.271484375
18,18,3.576158940397351e-05,3.774834437086093e-05,0.12299233107339767,0.070196483284235,0.14639115883480935,0.4160708487033844,1.9693068679771386e-05,0.0003148075193166733,1.8403068224870367e-06,0.4160708487033844,8.597261631861329,0.03366062603890896,0.006285082548856735,20.668067455291748,21.271484375,72,72,1512,504,2016,18,20.668067455291748,21.271484375
