asset,control_step,pair_id,satisfied
O1200,0,libero_spatial_task_05_state_001,[false]
O1200,143,libero_spatial_task_05_state_001,[true]
C600,0,libero_spatial_task_05_state_001,[false]
O1200,0,libero_object_task_02_state_000,[false]
O1200,202,libero_object_task_02_state_000,[true]
C600,0,libero_object_task_02_state_000,[false]
O1200,0,libero_goal_task_00_state_001,[false]
O1200,116,libero_goal_task_00_state_001,[true]
C600,0,libero_goal_task_00_state_001,[false]
O1200,0,libero_10_task_04_state_001,"[false,false]"
O1200,106,libero_10_task_04_state_001,"[true,false]"
O1200,107,libero_10_task_04_state_001,"[false,false]"
O1200,108,libero_10_task_04_state_001,"[true,false]"
O1200,113,libero_10_task_04_state_001,"[false,false]"
O1200,114,libero_10_task_04_state_001,"[true,false]"
O1200,116,libero_10_task_04_state_001,"[false,false]"
O1200,117,libero_10_task_04_state_001,"[true,false]"
O1200,124,libero_10_task_04_state_001,"[false,false]"
O1200,127,libero_10_task_04_state_001,"[true,false]"
O1200,133,libero_10_task_04_state_001,"[false,false]"
O1200,139,libero_10_task_04_state_001,"[true,false]"
O1200,254,libero_10_task_04_state_001,"[true,true]"
C600,0,libero_10_task_04_state_001,"[false,false]"
C600,94,libero_10_task_04_state_001,"[true,false]"
C600,111,libero_10_task_04_state_001,"[false,false]"
C600,121,libero_10_task_04_state_001,"[true,false]"
C600,122,libero_10_task_04_state_001,"[false,false]"
C600,156,libero_10_task_04_state_001,"[true,false]"
C600,206,libero_10_task_04_state_001,"[false,false]"
C600,223,libero_10_task_04_state_001,"[true,false]"
C600,226,libero_10_task_04_state_001,"[false,false]"
C600,244,libero_10_task_04_state_001,"[true,false]"
C600,266,libero_10_task_04_state_001,"[false,false]"
C600,280,libero_10_task_04_state_001,"[true,false]"
C600,281,libero_10_task_04_state_001,"[false,false]"
