action_delta_mse_vs_cc,arm,asset,branch,cc_reconstruction_max_abs,cohort,core_norm,core_reference_norm,core_reference_shape,core_relative_l2,core_shape,core_shape_match,donor_global_task_id,e_norm,e_reference_norm,e_reference_shape,e_relative_l2,e_shape,e_shape_match,first5_dimension_mse,first5_mse,first5_time_mse,full_mse,fused_norm,fused_reference_norm,fused_reference_shape,fused_relative_l2,fused_shape,fused_shape_match,global_task_id,h_norm,h_reference_norm,h_reference_shape,h_relative_l2,h_shape,h_shape_match,inference_first5_actions,inference_first5_dimension_mse,inference_first5_mse,inference_first5_time_mse,lora_a_norm,lora_a_relative_l2,lora_b_norm,lora_b_relative_l2,noise_seed,other_demo,procedure_norm,procedure_reference_norm,procedure_reference_shape,procedure_relative_l2,procedure_shape,procedure_shape_match,query_demo,query_fraction,query_position,suite,suite_task_id,target_first5_actions,tau1_first5_dimension_mse,tau1_first5_mse,tau1_first5_time_mse,teacher_demo
0.0,CC,C600,J,,A,170.5513458251953,170.5513458251953,"[1,15,256]",0.0,"[1,15,256]",True,7,526.5380859375,526.5380859375,"[23,15,256]",0.0,"[23,15,256]",True,"[0.11998548358678818,0.08322779834270477,0.2226768583059311,0.00034902634797617793,0.1452336609363556,0.024088263511657715,0.507448136806488]",0.15757274627685547,"[0.2026582658290863,0.2561054229736328,0.1555877923965454,0.10440001636743546,0.06911222636699677]",0.06667626649141312,281.8726806640625,281.8726806640625,[81920],0.0,[81920],True,5,420.3991394042969,420.3991394042969,"[23,50,1024]",0.0,"[23,50,1024]",True,"[[[-0.20575714111328125,0.11285950243473053,-0.6103572249412537,-0.10678408294916153,-0.075736403465271,-0.004515770822763443,-0.9813108444213867],[-0.15460574626922607,0.13047148287296295,-0.5368039608001709,-0.11490773409605026,-0.10286812484264374,-0.018629252910614014,-0.8167527914047241],[-0.10323571413755417,0.12668044865131378,-0.49294576048851013,-0.10614240914583206,-0.08587203174829483,-0.03962080925703049,-0.6320831179618835],[-0.053516123443841934,0.10381408035755157,-0.3956525921821594,-0.12979978322982788,-0.06309625506401062,-0.06597177684307098,1.0012727975845337],[0.02286878228187561,0.1027349978685379,-0.2569199800491333,-0.16713780164718628,-0.03931225463747978,-0.14761985838413239,1.005424976348877]]]","[0.006600420456379652,0.0689828023314476,0.14137743413448334,0.026579856872558594,0.11214311420917511,0.01847551204264164,1.1929320096969604]",0.2238701730966568,"[0.056539420038461685,0.5306389331817627,0.43937936425209045,0.05560676008462906,0.03718630596995354]",32.02564755454356,0.0,40.97772125690287,0.0,5898604950164596219,48,940.4970092773438,940.4970092773438,"[1,23,256]",0.0,"[1,23,256]",True,47,0.25,27,libero_spatial,5,"[[[-0.26428622007369995,0.42056000232696533,-0.2790701985359192,-0.27946358919143677,-0.46504712104797363,-0.08318740129470825,-1.0],[-0.1285719871520996,0.40186846256256104,-0.10755860805511475,-0.2659956216812134,-0.44073110818862915,-0.15398377180099487,0.9999990463256836],[-0.12142914533615112,0.3676004409790039,-0.03197723627090454,-0.27272963523864746,-0.3799409866333008,-0.20354115962982178,0.9999990463256836],[-0.1285719871520996,0.3676004409790039,-0.017442405223846436,-0.30639952421188354,-0.3981780409812927,-0.2318597435951233,0.9999990463256836],[-0.1285719871520996,0.32398688793182373,-0.017442405223846436,-0.3131335377693176,-0.3495458960533142,-0.2637180685997009,0.9999990463256836]]]","[0.12215907871723175,0.05730722099542618,0.17642447352409363,0.00030923105077818036,0.12020666897296906,0.019233684986829758,0.4652455449104309]",0.13726940751075745,"[0.13980108499526978,0.23201525211334229,0.1517220288515091,0.10042601078748703,0.06238268315792084]",46
0.00437642727047205,WW,C600,J,,A,174.0607452392578,170.5513458251953,"[1,15,256]",0.1536969393491745,"[1,15,256]",True,7,661.8447875976562,526.5380859375,"[23,15,256]",,"[37,15,256]",False,"[0.11330703645944595,0.06360271573066711,0.19257192313671112,0.000903962820302695,0.1440529078245163,0.015972375869750977,0.5279450416564941]",0.15119370818138123,"[0.21243637800216675,0.23984023928642273,0.1424034982919693,0.09675796329975128,0.06453050673007965]",0.06075102463364601,281.8822326660156,281.8726806640625,[81920],0.1424633264541626,[81920],True,5,533.6607055664062,420.3991394042969,"[23,50,1024]",,"[37,50,1024]",False,"[[[-0.19323839247226715,0.15893220901489258,-0.5955706238746643,-0.13625964522361755,-0.09076441824436188,-0.023616580292582512,-0.9878403544425964],[-0.14203235507011414,0.1794818490743637,-0.5364203453063965,-0.14680682122707367,-0.11374141275882721,-0.033955156803131104,-0.9761275053024292],[-0.08824338018894196,0.17741882801055908,-0.4954099953174591,-0.13653068244457245,-0.09413020312786102,-0.051661357283592224,-0.9573411345481873],[-0.0318966880440712,0.15839621424674988,-0.4010457992553711,-0.154210165143013,-0.0739540308713913,-0.08298404514789581,1.0025538206100464],[0.060682304203510284,0.15642261505126953,-0.25807666778564453,-0.19438709318637848,-0.0515889972448349,-0.16813816130161285,1.0062158107757568]]]","[0.0102987140417099,0.04518362879753113,0.14078424870967865,0.018105164170265198,0.10451942682266235,0.014464504085481167,1.5472900867462158]",0.2686636745929718,"[0.048280131071805954,0.6105958819389343,0.6009323596954346,0.050102487206459045,0.03340757638216019]",31.948291717075794,0.09084287484859543,40.77044772842108,0.18490787524621446,5898604950164596219,48,1179.5274658203125,940.4970092773438,"[1,23,256]",,"[1,37,256]",False,47,0.25,27,libero_spatial,5,"[[[-0.26428622007369995,0.42056000232696533,-0.2790701985359192,-0.27946358919143677,-0.46504712104797363,-0.08318740129470825,-1.0],[-0.1285719871520996,0.40186846256256104,-0.10755860805511475,-0.2659956216812134,-0.44073110818862915,-0.15398377180099487,0.9999990463256836],[-0.12142914533615112,0.3676004409790039,-0.03197723627090454,-0.27272963523864746,-0.3799409866333008,-0.20354115962982178,0.9999990463256836],[-0.1285719871520996,0.3676004409790039,-0.017442405223846436,-0.30639952421188354,-0.3981780409812927,-0.2318597435951233,0.9999990463256836],[-0.1285719871520996,0.32398688793182373,-0.017442405223846436,-0.3131335377693176,-0.3495458960533142,-0.2637180685997009,0.9999990463256836]]]","[0.13529084622859955,0.04355667158961296,0.1750507354736328,0.000907616806216538,0.11451872438192368,0.013716978020966053,0.5228474736213684]",0.14369843900203705,"[0.13553862273693085,0.24634380638599396,0.16574808955192566,0.10376039892435074,0.06710128486156464]",46
0.0,CC,C600,J,,A,170.5513458251953,170.5513458251953,"[1,15,256]",0.0,"[1,15,256]",True,7,526.5380859375,526.5380859375,"[23,15,256]",0.0,"[23,15,256]",True,"[0.4677186906337738,0.019610047340393066,0.19661812484264374,0.1390896886587143,0.22267726063728333,0.17925524711608887,0.0012930124066770077]",0.17518030107021332,"[0.1717657893896103,0.21687331795692444,0.19134846329689026,0.17379264533519745,0.12212131917476654]",0.15852802991867065,281.8726806640625,281.8726806640625,[81920],0.0,[81920],True,5,420.3991394042969,420.3991394042969,"[23,50,1024]",0.0,"[23,50,1024]",True,"[[[-0.5047694444656372,0.18357545137405396,-0.497599720954895,0.03536929190158844,-0.026874566450715065,-0.23095828294754028,1.0156705379486084],[-0.5908874869346619,0.16201086342334747,-0.5376794338226318,0.050350889563560486,-0.14269386231899261,-0.18205544352531433,1.0039639472961426],[-0.6961829662322998,0.14517542719841003,-0.5862308740615845,0.0883273184299469,-0.3487432599067688,-0.1421300172805786,0.998685896396637],[-0.8405277729034424,0.11363229900598526,-0.6463845372200012,0.13715983927249908,-0.691136360168457,-0.10134005546569824,1.0036416053771973],[-0.964182436466217,0.09116452187299728,-0.6731390357017517,0.16932879388332367,-0.9522459506988525,-0.06174545735120773,0.9959527850151062]]]","[0.34908565878868103,0.002001697663217783,0.19100895524024963,0.13369646668434143,0.2158806324005127,0.10803677886724472,5.853618495166302e-05]",0.14282409846782684,"[0.1848209947347641,0.17734068632125854,0.13667570054531097,0.10560403764247894,0.10967911034822464]",32.02564755454356,0.0,40.97772125690287,0.0,1908307486257974580,48,940.4970092773438,940.4970092773438,"[1,23,256]",0.0,"[1,23,256]",True,47,0.75,81,libero_spatial,5,"[[[-1.1464284658432007,0.11837947368621826,-1.034883737564087,-0.2659956216812134,-0.6656544208526611,0.06902480125427246,0.9999990463256836],[-1.2999998331069946,0.10591840744018555,-1.034883737564087,-0.2659956216812134,-0.6717334985733032,0.14690065383911133,0.9999990463256836],[-1.3642854690551758,0.09968781471252441,-1.034883737564087,-0.2659956216812134,-0.5927063226699829,0.20707762241363525,0.9999990463256836],[-1.374999761581421,0.09345734119415283,-1.0058139562606812,-0.2659956216812134,-0.4954422116279602,0.24955546855926514,0.9999990463256836],[-1.2785712480545044,0.10280311107635498,-0.970930278301239,-0.2659956216812134,-0.41033607721328735,0.24955546855926514,0.9999990463256836]]]","[0.15851080417633057,0.005780566018074751,0.1339397132396698,0.011374100111424923,0.013796917162835598,0.043682761490345,0.005117233842611313]",0.05317172780632973,"[0.03480781987309456,0.048313744366168976,0.06137527897953987,0.06445612013339996,0.05690569803118706]",46
0.0013532867887988687,WW,C600,J,,A,174.0607452392578,170.5513458251953,"[1,15,256]",0.1536969393491745,"[1,15,256]",True,7,661.8447875976562,526.5380859375,"[23,15,256]",,"[37,15,256]",False,"[0.47534728050231934,0.033058736473321915,0.17321059107780457,0.10811609029769897,0.2220456898212433,0.22389478981494904,0.00284500396810472]",0.17693115770816803,"[0.16601113975048065,0.21399958431720734,0.20137320458889008,0.18088380992412567,0.12238813191652298]",0.16709811985492706,281.8822326660156,281.8726806640625,[81920],0.1424633264541626,[81920],True,5,533.6607055664062,420.3991394042969,"[23,50,1024]",,"[37,50,1024]",False,"[[[-0.4616383910179138,0.2275470644235611,-0.5335572957992554,0.003558523952960968,-0.006583262234926224,-0.2976703345775604,1.0146762132644653],[-0.5435294508934021,0.20511431992053986,-0.573422908782959,0.01748758554458618,-0.10817783325910568,-0.2523348033428192,1.0040557384490967],[-0.6501669883728027,0.18164950609207153,-0.6139044761657715,0.057463426142930984,-0.31898853182792664,-0.2032194435596466,0.9992840886116028],[-0.7908845543861389,0.14573226869106293,-0.6627546548843384,0.09973981231451035,-0.670887291431427,-0.14987093210220337,1.0010578632354736],[-0.9145132303237915,0.11604775488376617,-0.6772390007972717,0.13194361329078674,-0.936532199382782,-0.098386749625206,0.9936641454696655]]]","[0.4049758017063141,0.006276640575379133,0.1690884232521057,0.10995318740606308,0.22691093385219574,0.14856062829494476,5.47278395970352e-05]",0.15226005017757416,"[0.1962711662054062,0.19319948554039001,0.14882826805114746,0.11224270612001419,0.11075860261917114]",31.948291717075794,0.09084287484859543,40.77044772842108,0.18490787524621446,1908307486257974580,48,1179.5274658203125,940.4970092773438,"[1,23,256]",,"[1,37,256]",False,47,0.75,81,libero_spatial,5,"[[[-1.1464284658432007,0.11837947368621826,-1.034883737564087,-0.2659956216812134,-0.6656544208526611,0.06902480125427246,0.9999990463256836],[-1.2999998331069946,0.10591840744018555,-1.034883737564087,-0.2659956216812134,-0.6717334985733032,0.14690065383911133,0.9999990463256836],[-1.3642854690551758,0.09968781471252441,-1.034883737564087,-0.2659956216812134,-0.5927063226699829,0.20707762241363525,0.9999990463256836],[-1.374999761581421,0.09345734119415283,-1.0058139562606812,-0.2659956216812134,-0.4954422116279602,0.24955546855926514,0.9999990463256836],[-1.2785712480545044,0.10280311107635498,-0.970930278301239,-0.2659956216812134,-0.41033607721328735,0.24955546855926514,0.9999990463256836]]]","[0.2112506926059723,0.0036114752292633057,0.16021466255187988,0.010051405988633633,0.019921697676181793,0.06246308237314224,0.007410378661006689]",0.06784619390964508,"[0.04374208301305771,0.06397334486246109,0.07668939232826233,0.08142641186714172,0.07339975982904434]",46
0.0,CC,C600,J,,B,170.3351287841797,170.3351287841797,"[1,15,256]",0.0,"[1,15,256]",True,7,525.9408569335938,525.9408569335938,"[23,15,256]",0.0,"[23,15,256]",True,"[0.0764617994427681,0.017888715490698814,0.0532829575240612,0.05105040594935417,2.452341318130493,0.3896048665046692,0.006998583674430847]",0.43537548184394836,"[0.5202499628067017,0.5555400848388672,0.49928969144821167,0.35637548565864563,0.24542245268821716]",0.1652483493089676,281.878662109375,281.878662109375,[81920],0.0,[81920],True,5,420.9164733886719,420.9164733886719,"[23,50,1024]",0.0,"[23,50,1024]",True,"[[[-0.50864577293396,0.04999984800815582,-1.1008886098861694,-0.2698374390602112,-0.023798707872629166,-0.13195249438285828,-0.9985162019729614],[-0.5311309099197388,0.06869964301586151,-1.106795072555542,-0.27368760108947754,-0.03388646990060806,-0.1164315715432167,-1.001532793045044],[-0.5541858077049255,0.08284817636013031,-1.1006238460540771,-0.28961843252182007,-0.053562067449092865,-0.11422573029994965,-0.9913113713264465],[-0.5700021386146545,0.0882531926035881,-1.0706989765167236,-0.2797376811504364,-0.05701889470219612,-0.1113930344581604,-0.9916148781776428],[-0.5959129333496094,0.10436214506626129,-1.0370160341262817,-0.2720353603363037,-0.043475210666656494,-0.1069888323545456,-0.9891619682312012]]]","[0.01187849510461092,0.0035901188384741545,0.12866152822971344,0.03957922384142876,1.608789086341858,0.20416055619716644,5.3563318942906335e-05]",0.2852446734905243,"[0.3512377142906189,0.35508662462234497,0.3182898163795471,0.2320118546485901,0.16959743201732635]",32.080753306072616,0.0,40.851470164811126,0.0,4644491651927860461,46,941.5966186523438,941.5966186523438,"[1,23,256]",0.0,"[1,23,256]",True,49,0.25,27,libero_spatial,5,"[[[-0.3571432828903198,0.02180635929107666,-0.6802327036857605,-0.07071006298065186,-1.4255306720733643,-0.6353988647460938,-1.0],[-0.3964289426803589,0.02180635929107666,-0.6744188070297241,-0.050508081912994385,-1.443767786026001,-0.607080340385437,-1.0],[-0.4500003457069397,0.02180635929107666,-0.7005815505981445,-0.05724203586578369,-1.38905668258667,-0.5787618160247803,-1.0],[-0.5678573846817017,0.02180635929107666,-0.7790699005126953,-0.08417803049087524,-1.2066863775253296,-0.5292043685913086,-1.0],[-0.6821430921554565,0.02180635929107666,-0.8517442941665649,-0.14478391408920288,-1.0364739894866943,-0.476107120513916,-1.0]]]","[0.10559263080358505,0.02088736556470394,0.031150082126259804,0.0341268889605999,1.3026522397994995,0.1996719390153885,0.00011696074216160923]",0.24202829599380493,"[0.2996128499507904,0.3192290663719177,0.2739660143852234,0.1899222433567047,0.12741132080554962]",48
9.652217704569921e-05,WW,C600,J,,B,175.49334716796875,170.3351287841797,"[1,15,256]",0.16225174069404602,"[1,15,256]",True,7,583.7994384765625,525.9408569335938,"[23,15,256]",,"[28,15,256]",False,"[0.07091061025857925,0.023029467090964317,0.053141992539167404,0.06035357713699341,2.4594616889953613,0.3747326135635376,0.005255224648863077]",0.435269296169281,"[0.52044278383255,0.5596722364425659,0.4965423047542572,0.3531300127506256,0.246559277176857]",0.1643597036600113,281.8785705566406,281.878662109375,[81920],0.08132266998291016,[81920],True,5,465.4881591796875,420.9164733886719,"[23,50,1024]",,"[28,50,1024]",False,"[[[-0.49684956669807434,0.05411086231470108,-1.0882829427719116,-0.282623827457428,-0.026841532438993454,-0.151632159948349,-1.0001912117004395],[-0.5194152593612671,0.07355888932943344,-1.097690224647522,-0.2848166227340698,-0.03614754229784012,-0.1331997811794281,-1.0044059753417969],[-0.5396069288253784,0.09089811146259308,-1.0972048044204712,-0.30009716749191284,-0.05519271641969681,-0.13071666657924652,-0.9939253330230713],[-0.5562230944633484,0.0953354686498642,-1.0689808130264282,-0.28589749336242676,-0.05824904516339302,-0.12875303626060486,-0.9924421906471252],[-0.5813858509063721,0.11179672926664352,-1.0378267765045166,-0.2783116400241852,-0.04273860156536102,-0.12316381931304932,-0.9914021492004395]]]","[0.010592039674520493,0.004400074481964111,0.12432974576950073,0.0434613898396492,1.6046675443649292,0.18885354697704315,3.747885784832761e-05]",0.2823345363140106,"[0.346047967672348,0.3511200249195099,0.31558090448379517,0.22994399070739746,0.1689799278974533]",31.82189799591435,0.0467724605182507,40.2766724762594,0.11665788739864487,4644491651927860461,46,1031.9345703125,941.5966186523438,"[1,23,256]",,"[1,28,256]",False,49,0.25,27,libero_spatial,5,"[[[-0.3571432828903198,0.02180635929107666,-0.6802327036857605,-0.07071006298065186,-1.4255306720733643,-0.6353988647460938,-1.0],[-0.3964289426803589,0.02180635929107666,-0.6744188070297241,-0.050508081912994385,-1.443767786026001,-0.607080340385437,-1.0],[-0.4500003457069397,0.02180635929107666,-0.7005815505981445,-0.05724203586578369,-1.38905668258667,-0.5787618160247803,-1.0],[-0.5678573846817017,0.02180635929107666,-0.7790699005126953,-0.08417803049087524,-1.2066863775253296,-0.5292043685913086,-1.0],[-0.6821430921554565,0.02180635929107666,-0.8517442941665649,-0.14478391408920288,-1.0364739894866943,-0.476107120513916,-1.0]]]","[0.10231786221265793,0.02486742101609707,0.03330499678850174,0.036351870745420456,1.3137545585632324,0.19033728539943695,9.306387801188976e-05]",0.24300384521484375,"[0.30097270011901855,0.3202347457408905,0.2750098407268524,0.19125805795192719,0.12754397094249725]",48
0.0,CC,C600,J,,B,170.3351287841797,170.3351287841797,"[1,15,256]",0.0,"[1,15,256]",True,7,525.9408569335938,525.9408569335938,"[23,15,256]",0.0,"[23,15,256]",True,"[0.5758578181266785,0.37127137184143066,0.1319597214460373,0.0914657786488533,0.006556415464729071,0.0201929472386837,0.0039774882607162]",0.17161165177822113,"[0.1394316852092743,0.09745598584413528,0.12262819707393646,0.20850162208080292,0.29004085063934326]",0.16215257346630096,281.878662109375,281.878662109375,[81920],0.0,[81920],True,5,420.9164733886719,420.9164733886719,"[23,50,1024]",0.0,"[23,50,1024]",True,"[[[0.7804616689682007,-0.18675243854522705,-0.45704013109207153,-0.0235801562666893,-0.6490186452865601,-0.07009492814540863,1.00974702835083],[0.7641046047210693,-0.27739351987838745,-0.638504147529602,-0.05975174158811569,-0.6129911541938782,-0.06745623052120209,1.011721134185791],[0.7208860516548157,-0.3177854120731354,-0.7822311520576477,-0.10019032657146454,-0.5836124420166016,-0.06929383426904678,1.016934871673584],[0.66082763671875,-0.31652137637138367,-0.901701033115387,-0.13818195462226868,-0.6025477647781372,-0.06745236366987228,1.0191186666488647],[0.5729252696037292,-0.27188920974731445,-1.0339847803115845,-0.18246611952781677,-0.6681801080703735,-0.061503052711486816,1.0136195421218872]]]","[0.12726381421089172,0.03325091674923897,0.10836924612522125,0.03634299337863922,0.15490883588790894,0.0007086955010890961,0.00021406607993412763]",0.06586550921201706,"[0.045320477336645126,0.06003374978899956,0.06769462674856186,0.0703270360827446,0.08595167845487595]",32.080753306072616,0.0,40.851470164811126,0.0,4698308146476797737,46,941.5966186523438,941.5966186523438,"[1,23,256]",0.0,"[1,23,256]",True,49,0.75,80,libero_spatial,5,"[[[1.064284324645996,-0.11215001344680786,-0.3488374948501587,-0.2659956216812134,-1.0486321449279785,-0.040709614753723145,0.9999990463256836],[1.042855978012085,-0.13707208633422852,-0.3575584888458252,-0.2659956216812134,-1.0607901811599731,-0.040709614753723145,0.9999990463256836],[1.0499987602233887,-0.14330261945724487,-0.42441892623901367,-0.2659956216812134,-1.006079077720642,-0.040709614753723145,0.9999990463256836],[1.071427345275879,-0.07476687431335449,-0.5465118885040283,-0.2659956216812134,-0.9513679146766663,-0.040709614753723145,0.9999990463256836],[1.0214273929595947,-0.043614208698272705,-0.5901165008544922,-0.3737393617630005,-1.006079077720642,-0.040709614753723145,0.9999990463256836]]]","[0.0024709170684218407,0.002842361107468605,0.006989096291363239,0.05210893228650093,0.4388132691383362,0.00465832045301795,0.002157671842724085]",0.07286293059587479,"[0.09527398645877838,0.08569185435771942,0.06479077786207199,0.051292870193719864,0.06726522743701935]",48
0.0014013563049957156,WW,C600,J,,B,175.49334716796875,170.3351287841797,"[1,15,256]",0.16225174069404602,"[1,15,256]",True,7,583.7994384765625,525.9408569335938,"[23,15,256]",,"[28,15,256]",False,"[0.6412366032600403,0.3873201012611389,0.13052895665168762,0.08084757626056671,0.006914782803505659,0.023937715217471123,0.004546475131064653]",0.18219031393527985,"[0.14662900567054749,0.10588213801383972,0.13471011817455292,0.22209008038043976,0.30164024233818054]",0.16231635212898254,281.8785705566406,281.878662109375,[81920],0.08132266998291016,[81920],True,5,465.4881591796875,420.9164733886719,"[23,50,1024]",,"[28,50,1024]",False,"[[[0.7380787134170532,-0.17827208340168,-0.5364211201667786,-0.041502878069877625,-0.7117635011672974,-0.07048211991786957,1.0089613199234009],[0.711733341217041,-0.2590145170688629,-0.701927661895752,-0.07579746097326279,-0.6755584478378296,-0.06814952194690704,1.013230562210083],[0.6606756448745728,-0.29703518748283386,-0.832943320274353,-0.11050921678543091,-0.6454306840896606,-0.07012306153774261,1.0169730186462402],[0.5985687375068665,-0.29656901955604553,-0.9384393692016602,-0.14197935163974762,-0.6564427018165588,-0.06884515285491943,1.0192888975143433],[0.5130045413970947,-0.254558801651001,-1.0579496622085571,-0.1841064840555191,-0.7100099921226501,-0.06569181382656097,1.0114716291427612]]]","[0.16994276642799377,0.027313917875289917,0.1386289894580841,0.03241780400276184,0.11331780254840851,0.0007840439793653786,0.00020944593416061252]",0.06894496828317642,"[0.04440201446413994,0.061229877173900604,0.07107070833444595,0.07570331543684006,0.09231893718242645]",31.82189799591435,0.0467724605182507,40.2766724762594,0.11665788739864487,4698308146476797737,46,1031.9345703125,941.5966186523438,"[1,23,256]",,"[1,28,256]",False,49,0.75,80,libero_spatial,5,"[[[1.064284324645996,-0.11215001344680786,-0.3488374948501587,-0.2659956216812134,-1.0486321449279785,-0.040709614753723145,0.9999990463256836],[1.042855978012085,-0.13707208633422852,-0.3575584888458252,-0.2659956216812134,-1.0607901811599731,-0.040709614753723145,0.9999990463256836],[1.0499987602233887,-0.14330261945724487,-0.42441892623901367,-0.2659956216812134,-1.006079077720642,-0.040709614753723145,0.9999990463256836],[1.071427345275879,-0.07476687431335449,-0.5465118885040283,-0.2659956216812134,-0.9513679146766663,-0.040709614753723145,0.9999990463256836],[1.0214273929595947,-0.043614208698272705,-0.5901165008544922,-0.3737393617630005,-1.006079077720642,-0.040709614753723145,0.9999990463256836]]]","[0.0028171453159302473,0.002986108884215355,0.01708458922803402,0.054840147495269775,0.40266352891921997,0.0055925846099853516,0.00254087895154953]",0.06978929042816162,"[0.0892997607588768,0.08087340742349625,0.0626833513379097,0.049193885177373886,0.06689603626728058]",48
0.0,CC,C600,J,,A,173.46246337890625,173.46246337890625,"[1,14,256]",0.0,"[1,14,256]",True,5,563.7135009765625,563.7135009765625,"[37,14,256]",0.0,"[37,14,256]",True,"[0.1850666105747223,0.0009957094443961978,0.14362651109695435,0.05845264717936516,0.9568198323249817,0.0056967162527143955,0.0008261628681793809]",0.19306915998458862,"[0.17008131742477417,0.1981017291545868,0.20285682380199432,0.19802342355251312,0.19628256559371948]",0.11253225058317184,281.7885437011719,281.7885437011719,[81920],0.0,[81920],True,7,533.5066528320312,533.5066528320312,"[37,50,1024]",0.0,"[37,50,1024]",True,"[[[-0.15905237197875977,0.0061653717420995235,0.02455531246960163,-0.2703869044780731,-0.06438794732093811,-0.07855147868394852,0.992440938949585],[-0.1426180750131607,0.005138479173183441,0.04219912737607956,-0.26251211762428284,-0.0722566768527031,-0.08192422986030579,0.9963508248329163],[-0.14664383232593536,0.007615506649017334,0.06536389887332916,-0.2580135464668274,-0.07408696413040161,-0.08252571523189545,1.0049201250076294],[-0.12405474483966827,0.008789993822574615,0.094966821372509,-0.2569447457790375,-0.04296405613422394,-0.07267189025878906,0.9998838901519775],[-0.11436029523611069,0.006132557988166809,0.12985758483409882,-0.25417792797088623,-0.027219228446483612,-0.06893159449100494,1.0009429454803467]]]","[0.1006365641951561,0.0005573855014517903,0.1430169939994812,0.04498759284615517,0.7482196092605591,0.0026758615858852863,1.9111146684736013e-05]",0.14858759939670563,"[0.13394485414028168,0.1497715264558792,0.15607653558254242,0.1492587774991989,0.15388625860214233]",27.293513099196115,0.0,34.54463421814203,0.0,3060169894559326343,48,1172.9580078125,1172.9580078125,"[1,37,256]",0.0,"[1,37,256]",True,47,0.25,30,libero_spatial,7,"[[[-0.5750002861022949,0.02180635929107666,-0.4447677731513977,-0.4814831614494324,0.641332745552063,-0.040709614753723145,0.9999990463256836],[-0.5142860412597656,0.02180635929107666,-0.36627936363220215,-0.49495112895965576,0.7568339109420776,-0.040709614753723145,0.9999990463256836],[-0.45357179641723633,0.02180635929107666,-0.29651206731796265,-0.5016851425170898,0.8237029314041138,-0.040709614753723145,0.9999990463256836],[-0.38571470975875854,0.02180635929107666,-0.2412794828414917,-0.47474920749664307,0.8601770401000977,-0.07610780000686646,0.9999990463256836],[-0.2857147455215454,-0.03738367557525635,-0.15988421440124512,-0.39394134283065796,0.9392043352127075,-0.16106337308883667,0.9999990463256836]]]","[0.053497057408094406,0.0004935694742016494,0.03405315801501274,0.0175011083483696,0.541505753993988,0.007363311480730772,0.013029341585934162]",0.09534904360771179,"[0.07871627807617188,0.09230552613735199,0.09566925466060638,0.09965281933546066,0.11040134727954865]",46
2.632325777085498e-05,WW,C600,J,,A,172.5128936767578,173.46246337890625,"[1,14,256]",0.1363307237625122,"[1,14,256]",True,5,441.4973449707031,563.7135009765625,"[37,14,256]",,"[23,14,256]",False,"[0.18138758838176727,0.0009546596556901932,0.11848784983158112,0.05436402186751366,0.928523063659668,0.005141690839082003,0.0012550331884995103]",0.18430198729038239,"[0.1619596928358078,0.18757352232933044,0.1899394541978836,0.19053395092487335,0.19150333106517792]",0.12363298237323761,281.8152160644531,281.7885437011719,[81920],0.14437969028949738,[81920],True,7,420.1005554199219,533.5066528320312,"[37,50,1024]",,"[23,50,1024]",False,"[[[-0.15801507234573364,0.011491779237985611,0.02004416659474373,-0.2758459150791168,-0.059544939547777176,-0.07862086594104767,0.9954381585121155],[-0.14335879683494568,0.010138340294361115,0.03910635784268379,-0.26936212182044983,-0.06895428895950317,-0.08071386814117432,1.0011851787567139],[-0.14608970284461975,0.013133861124515533,0.06299886852502823,-0.26731330156326294,-0.07035049796104431,-0.0823928639292717,1.008097767829895],[-0.12108497321605682,0.014176879078149796,0.09937349706888199,-0.26492929458618164,-0.03574506938457489,-0.0702621266245842,1.0025312900543213],[-0.1072540432214737,0.010935619473457336,0.13946941494941711,-0.26313966512680054,-0.017018504440784454,-0.06824224442243576,1.0037437677383423]]]","[0.10157721489667892,0.000542141729965806,0.14305858314037323,0.04184814170002937,0.7379052042961121,0.002685006009414792,2.164661964343395e-05]",0.14680540561676025,"[0.13214392960071564,0.14806842803955078,0.15427620708942413,0.14755327999591827,0.15198524296283722]",29.27050215962541,0.1823965796527364,35.140657833726,0.26602101979703524,3060169894559326343,48,942.2269287109375,1172.9580078125,"[1,37,256]",,"[1,23,256]",False,47,0.25,30,libero_spatial,7,"[[[-0.5750002861022949,0.02180635929107666,-0.4447677731513977,-0.4814831614494324,0.641332745552063,-0.040709614753723145,0.9999990463256836],[-0.5142860412597656,0.02180635929107666,-0.36627936363220215,-0.49495112895965576,0.7568339109420776,-0.040709614753723145,0.9999990463256836],[-0.45357179641723633,0.02180635929107666,-0.29651206731796265,-0.5016851425170898,0.8237029314041138,-0.040709614753723145,0.9999990463256836],[-0.38571470975875854,0.02180635929107666,-0.2412794828414917,-0.47474920749664307,0.8601770401000977,-0.07610780000686646,0.9999990463256836],[-0.2857147455215454,-0.03738367557525635,-0.15988421440124512,-0.39394134283065796,0.9392043352127075,-0.16106337308883667,0.9999990463256836]]]","[0.05631148815155029,0.0008703283383511007,0.027674579992890358,0.014835971407592297,0.5254392623901367,0.006621039938181639,0.010568230412900448]",0.09176012873649597,"[0.07726629078388214,0.08784201741218567,0.09003783017396927,0.09717308729887009,0.10648145526647568]",46
