asset,branch,env_seed,finished_at,global_task_id,horizon_writer_lora,init_state_id,language,occupancy_trajectory,old_writer_unseen_auxiliary,panel,policy_noise_seeds,policy_seed_root,split_role,stage_predicates,steps,success,suite,task_id,wall_seconds
C600-J,J,7,32.0870016021654,5,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":7,""global_task_id"":5,""init_state_id"":0,""other_demo"":48,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_spatial"",""task_id"":5,""teacher_demo"":46,""test_use"":false}",0,pick up the black bowl on the ramekin and place it on the plate,"{""bytes"":69428749,""capture_level"":""full"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_spatial_task_05_state_000.pt"",""replans"":44}",False,terminal_held,"[2332885929743906144,78210733290086199,3376592463069148898,7762815535033294232,625510416208986258,3274933733165795718,7831323212908477482,5876748357668257882,1219742529252700978,3198280787423874558,6249066565456398768,1170866556549183009,7172139499213454659,8781504831879024928,8202668504019271104,4242518137201564467,6074743199953778731,3572416567353859243,3948101554073552467,2456074848484716406,2515480201758908000,6752103479293961129,7215025446226185204,419867315998950590,529320435660180835,7318853563378627806,5517754333899680037,6263360992849926639,1720047318602775534,7777319485478269766,6557906389465072226,3711320029471490300,4250064725652837133,2969554618847881582,4307727544405268719,1372467830875306444,8510528787558831859,2838534541106559188,1685529326513934597,2183662958967784552,7146994113559057928,62888092219564004,9166618968524224175,6180584448943975133]",7,train,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}",220,False,libero_spatial,5,30.919517086818814
C600-J,J,7,33.19797550328076,5,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":7,""global_task_id"":5,""init_state_id"":1,""other_demo"":46,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_spatial"",""task_id"":5,""teacher_demo"":48,""test_use"":false}",1,pick up the black bowl on the ramekin and place it on the plate,"{""bytes"":89033,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_spatial_task_05_state_001.pt"",""replans"":44}",False,terminal_held,"[2108315156300481109,6305114771558722149,6669850385748815919,1597813286460548712,7256603962091698256,6162984425250244553,7024547178120253095,1894120186701069329,8416214940848459239,6776971739970383916,2003017125639076934,8282448937498330936,3625812035987816419,7680878236674968614,9102634027979643941,2770263705301515055,282655066547685318,1470109964666606529,4854768729180947533,4124903719737178652,1700448181180929760,4490158752597238344,7905743133996349620,6821285366889719649,2461765285564524775,3584534081273812974,188984236913247951,4039841045981433938,2845525868517977756,3677176578402272213,6861732279648739580,3359910513694036377,6167678410791689653,4185223177886247438,2036281037065285179,2016443097241237873,1379107715750054549,8044249536166331236,8717044275078694480,734642186917274412,4094049157160968099,7775164576814330987,944204938559355685,2852116055750718005]",7,train,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}",220,False,libero_spatial,5,30.90978752495721
C600-J,J,7,28.238730115815997,7,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":5,""global_task_id"":7,""init_state_id"":0,""other_demo"":48,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_spatial"",""task_id"":7,""teacher_demo"":46,""test_use"":false}",0,pick up the black bowl on the stove and place it on the plate,"{""bytes"":89033,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_spatial_task_07_state_000.pt"",""replans"":44}",False,terminal_held,"[8860512939643002952,7305892915116313584,6600149728612776307,8752014322555712292,9159443665344864132,3748566440965895194,673031707609208575,4382847811375432032,3183953177240202152,4827959849555365684,8027860632661586452,523990053016017450,9085873970308404896,8932401287869707718,3414090784665512976,7516448465408070827,1406352271980649565,7521697099492649814,4462510421249513874,3876035414895575679,5299465691909999882,8781439129847774454,6686528434166226194,972450351795151281,8501228768998065543,6570497713169987822,8926319604569092948,7467137384336142156,8715989747040334637,7553794064450203750,1867090488174328185,8713623752085903967,2018399233084375032,7697234974128612340,3373861830450754595,7023870070807581062,7232008765895980829,1319191758015803273,8824393410243941484,1821644571536674057,9211699686423089978,8015531214313154594,166769444770474591,788725106577255312]",7,train,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}",220,False,libero_spatial,7,27.158399953041226
C600-J,J,7,21.226897732820362,7,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":5,""global_task_id"":7,""init_state_id"":1,""other_demo"":46,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_spatial"",""task_id"":7,""teacher_demo"":48,""test_use"":false}",1,pick up the black bowl on the stove and place it on the plate,"{""bytes"":59061,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_spatial_task_07_state_001.pt"",""replans"":29}",False,terminal_held,"[4534021060883521833,9026905912977082461,4808555720481214932,8503670798955834384,5972345743408122066,8838525188849991096,2856101562254632339,4482595906452315814,3434188169977942467,7985418067034188883,9097367675132806926,2058352380433547633,3431551927526130333,8808354954499189918,557616745451118471,7019629026487755929,5921363881277097403,8825026556377032831,2264481834634252451,457293413597673605,3581166459691132976,6043476433407198372,8252721951464966321,5977862060771975128,1996687696070853151,9209232472459138575,7622663028896655265,4255038315152990171,366551764046136265]",7,train,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""on"",""akita_black_bowl_1"",""plate_1""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":145}]}",145,True,libero_spatial,7,19.085621821694076
C600-J,J,7,34.85202712006867,12,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":14,""global_task_id"":12,""init_state_id"":0,""other_demo"":48,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_object"",""task_id"":2,""teacher_demo"":46,""test_use"":false}",0,pick up the salad dressing and place it in the basket,"{""bytes"":112943,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_object_task_02_state_000.pt"",""replans"":56}",False,terminal_held,"[926971204240776524,8852970192180508234,7594642915430612756,6949624471219738414,8678418478545596585,7955862672732622887,3105327838272853580,6211554433824911803,6656189574454732066,5578928989321598728,5992228228138252069,1563889852935576123,2143145904404040586,166840200037075020,8136154808220516449,8394378735983203648,6806365180665921169,3588972006584734615,8041013076229572720,3899524213718088049,1060033558408845916,1474019411076631326,4030917986631749338,1920393417184737037,6555893101066362251,4074366801348485076,9103703520426295733,5289540875458414095,3365390134638702452,4761972337007149352,4642007772747823066,7595541929468217684,4074130817975153093,687947983413259556,7625823318009818227,4355837874647858810,378510985675781992,6861483343885848967,5544443133397653846,8504945874298111846,3936471725185063664,3184698899490369770,6133121317896143374,8124899137362954845,1421680698983409170,414897024173015815,4965105652593542295,4028466195025967238,1747304219119290569,3384761602727740980,1822677422629841440,5752688090852102310,947607838593085681,6410966819665196468,4119011256166479593,7651148439807336995]",7,train,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""in"",""salad_dressing_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}",280,False,libero_object,2,33.83405042020604
C600-J,J,7,34.891651909798384,12,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":14,""global_task_id"":12,""init_state_id"":1,""other_demo"":46,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_object"",""task_id"":2,""teacher_demo"":48,""test_use"":false}",1,pick up the salad dressing and place it in the basket,"{""bytes"":112943,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_object_task_02_state_001.pt"",""replans"":56}",False,terminal_held,"[1901561695000682192,2003766107740913469,8755200202034928571,3133797423555193730,8435314461711372540,5267886066226551003,695848683296115357,2713319643480232557,9188174131248631266,1362528486973096986,6839078978808543802,220334253274724613,73283253109529949,4947001090250361269,632322592973956895,1917767870106579780,4306378780912509961,7511429792504407578,8536027760756004605,2182079769965389270,3975142908658168401,2565459673285321056,3189876221184975315,6453834132575965793,1774322765775069461,2843693022487972725,7373677649854649301,3086439080011965080,8152262382344389222,5717011585812009083,4119944326188867785,1323441598191467120,1889714953393603785,5191220327495673327,7694156533531543963,7495959713903553051,6783463270577461664,8756921786846037510,8112098236217851224,8200168533135899433,2028940080133672165,2024310360713863999,3994415375352535725,6664617973221683548,6655741272199419378,907258625021504820,8948112858356337270,8644386923918930220,7481039100869315351,3011156613347040234,1582254911761359315,5472288417531588728,4781665992265395053,6631220592358479453,4037821958267693051,3636440491695181790]",7,train,"{""ever_satisfied"":[false],""final_satisfied"":[false],""peak_satisfied_count"":0,""predicates"":[[""in"",""salad_dressing_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0}]}",280,False,libero_object,2,32.858896067831665
C600-J,J,7,29.512505523860455,14,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":12,""global_task_id"":14,""init_state_id"":0,""other_demo"":48,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_object"",""task_id"":4,""teacher_demo"":46,""test_use"":false}",0,pick up the ketchup and place it in the basket,"{""bytes"":98941,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_object_task_04_state_000.pt"",""replans"":49}",False,terminal_held,"[3332498998130036837,2131935796988233826,6625690906446479365,4746107507508522676,6958557583429964825,9090843114674041484,294653925268790330,6013490274531335619,1711558122927493844,8185731680741803582,3343022596119252148,5018305776152044283,5735952045939661479,7830302679278865720,2476181096373730819,8638426205153501101,8486315096287036876,4870609406483279694,7909774337934410202,2556134652559267469,4951989952624709537,7877932654669117444,4355433488939933854,4802701152703528522,438726256751869794,220512675219873235,7865138324986236023,3783647996431021280,3724308823452641618,4274106959235836262,8162495375862611752,41440284575106493,4710104471060405076,6346400981352194381,3224674386976778887,7180266273022330137,8674057555750309560,3191196512175868500,6127358233165197765,8893521965762582560,4509445577588669133,4650538337525296577,3499680253595730300,8818058536908847702,4000818099904511451,7513006280264523518,3136394552890142536,9088895608920781053,9069087924619292312]",7,train,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""ketchup_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":241}]}",241,True,libero_object,4,28.505477373022586
C600-J,J,7,26.81136995414272,14,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":12,""global_task_id"":14,""init_state_id"":1,""other_demo"":46,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_object"",""task_id"":4,""teacher_demo"":48,""test_use"":false}",1,pick up the ketchup and place it in the basket,"{""bytes"":86977,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_object_task_04_state_001.pt"",""replans"":43}",False,terminal_held,"[1026272201053155741,3586976026447935821,2898221077400102067,1907601828676694575,7036915181568525208,112185357637947103,1507768972651691028,8563348426434422941,3970596794490395262,4132865209241473633,5162510289478532675,8882289494145283794,2471169987376823155,3040281865711581972,856120256264358801,8258916430775779892,2872561023608443277,907594564837024653,4584776942124156119,39042957474472243,5522866628317784784,3265746450939359738,8600963181902391528,2667110238762274657,3469223891393719349,6993348163967170907,7996172945447234097,380574325701889551,6090636347785599784,4674399210923393325,5708716798845046726,5984883617033423472,1713330554725136233,3479590097743134101,5167011085998941706,3754317941552568884,6649498960330577515,6532226172162225383,1699104429896365094,8338284183091630384,908188208637822160,8758147288471437502,1691752866339532703]",7,train,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""in"",""ketchup_1"",""basket_1_contain_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":211}]}",211,True,libero_object,4,24.86234608804807
C600-J,J,7,12.66404972691089,20,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":25,""global_task_id"":20,""init_state_id"":0,""other_demo"":48,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_goal"",""task_id"":0,""teacher_demo"":46,""test_use"":false}",0,open the middle drawer of the cabinet,"{""bytes"":38969,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_goal_task_00_state_000.pt"",""replans"":19}",False,terminal_held,"[7470068297067479501,1833554874184374963,6181161525258405849,6300918252081109118,4893119089861449340,3565225183213871865,5921368347662968141,93508885912502356,3594157950700656635,2166829128150139482,2605216378953421365,9188748732412879859,5414891467952387203,2682036868034300646,8257317018063741527,7949878191603846888,7417929681598742934,4977381789770416860,2779256566265301856]",7,train,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""open"",""wooden_cabinet_1_middle_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":91}]}",91,True,libero_goal,0,11.770929796621203
C600-J,J,7,13.57013573218137,20,"{""arm"":""CC"",""asset"":""C600-J"",""checkpoint_selection_use"":false,""donor_global_task_id"":25,""global_task_id"":20,""init_state_id"":1,""other_demo"":46,""outcome_dependence"":false,""schema_version"":""ember_writer_causal_diagnostics_v1"",""suite"":""libero_goal"",""task_id"":0,""teacher_demo"":48,""test_use"":false}",1,open the middle drawer of the cabinet,"{""bytes"":42949,""capture_level"":""compact"",""path"":""/data0/user/ymdai/ember_runs/writer_causal_diagnostics_20260922/microtrain/J/rollouts/trajectories/libero_goal_task_00_state_001.pt"",""replans"":21}",False,terminal_held,"[2218162428567762706,7274546467959594416,1258161356637136752,4618956532494592679,1309631641742621557,1946608664591759578,4261870338852855883,8909199602334746664,8151829709568044127,891489714623520447,4391860136423259169,2741645927936775048,2128131990961758891,2708080105174662775,2008274233045587987,2133629167403047245,5752894548502317035,7204724933935752735,4005066114496710901,8859965194895633977,364413441773653799]",7,train,"{""ever_satisfied"":[true],""final_satisfied"":[true],""peak_satisfied_count"":1,""predicates"":[[""open"",""wooden_cabinet_1_middle_region""]],""schema_version"":""ember_pi05_stage_predicate_episode_v1"",""transitions"":[{""satisfied"":[false],""step"":0},{""satisfied"":[true],""step"":102}]}",102,True,libero_goal,0,11.787419464904815
