arm,asset,cohort,effect,global_task_id,kind,metric,noise_seed,query_fraction,query_position,total,value
,C1200,A,cc_minus_cw,5,probe,full_mse,5898604950164596219,0.25,27,,0.0017659366130828857
,C1200,A,wc_minus_ww,5,probe,full_mse,5898604950164596219,0.25,27,,0.0018583834171295166
,C1200,A,interaction,5,probe,full_mse,5898604950164596219,0.25,27,,-9.244680404663086e-05
,C1200,A,cc_minus_cw,5,probe,first5_mse,5898604950164596219,0.25,27,,-0.0023030489683151245
,C1200,A,wc_minus_ww,5,probe,first5_mse,5898604950164596219,0.25,27,,-0.0021114349365234375
,C1200,A,interaction,5,probe,first5_mse,5898604950164596219,0.25,27,,-0.000191614031791687
,C1200,A,cc_minus_cw,5,probe,tau1_first5_mse,5898604950164596219,0.25,27,,-0.0026195868849754333
,C1200,A,wc_minus_ww,5,probe,tau1_first5_mse,5898604950164596219,0.25,27,,-0.0032225996255874634
,C1200,A,interaction,5,probe,tau1_first5_mse,5898604950164596219,0.25,27,,0.00060301274061203
,C1200,A,cc_minus_cw,5,probe,inference_first5_mse,5898604950164596219,0.25,27,,0.00027514994144439697
,C1200,A,wc_minus_ww,5,probe,inference_first5_mse,5898604950164596219,0.25,27,,0.0001380443572998047
,C1200,A,interaction,5,probe,inference_first5_mse,5898604950164596219,0.25,27,,0.00013710558414459229
,C1200,A,cc_minus_cw,5,probe,full_mse,1908307486257974580,0.75,81,,0.001915767788887024
,C1200,A,wc_minus_ww,5,probe,full_mse,1908307486257974580,0.75,81,,0.0012445151805877686
,C1200,A,interaction,5,probe,full_mse,1908307486257974580,0.75,81,,0.0006712526082992554
,C1200,A,cc_minus_cw,5,probe,first5_mse,1908307486257974580,0.75,81,,-0.006679654121398926
,C1200,A,wc_minus_ww,5,probe,first5_mse,1908307486257974580,0.75,81,,-0.006301462650299072
,C1200,A,interaction,5,probe,first5_mse,1908307486257974580,0.75,81,,-0.0003781914710998535
,C1200,A,cc_minus_cw,5,probe,tau1_first5_mse,1908307486257974580,0.75,81,,-0.0034129470586776733
,C1200,A,wc_minus_ww,5,probe,tau1_first5_mse,1908307486257974580,0.75,81,,-0.003953553736209869
,C1200,A,interaction,5,probe,tau1_first5_mse,1908307486257974580,0.75,81,,0.000540606677532196
,C1200,A,cc_minus_cw,5,probe,inference_first5_mse,1908307486257974580,0.75,81,,0.0001458972692489624
,C1200,A,wc_minus_ww,5,probe,inference_first5_mse,1908307486257974580,0.75,81,,0.0005179345607757568
,C1200,A,interaction,5,probe,inference_first5_mse,1908307486257974580,0.75,81,,-0.00037203729152679443
,C1200,B,cc_minus_cw,5,probe,full_mse,4644491651927860461,0.25,27,,0.0149211585521698
,C1200,B,wc_minus_ww,5,probe,full_mse,4644491651927860461,0.25,27,,0.01485423743724823
,C1200,B,interaction,5,probe,full_mse,4644491651927860461,0.25,27,,6.692111492156982e-05
,C1200,B,cc_minus_cw,5,probe,first5_mse,4644491651927860461,0.25,27,,0.003582864999771118
,C1200,B,wc_minus_ww,5,probe,first5_mse,4644491651927860461,0.25,27,,0.0024814605712890625
,C1200,B,interaction,5,probe,first5_mse,4644491651927860461,0.25,27,,0.0011014044284820557
,C1200,B,cc_minus_cw,5,probe,tau1_first5_mse,4644491651927860461,0.25,27,,0.003798186779022217
,C1200,B,wc_minus_ww,5,probe,tau1_first5_mse,4644491651927860461,0.25,27,,0.003170982003211975
,C1200,B,interaction,5,probe,tau1_first5_mse,4644491651927860461,0.25,27,,0.0006272047758102417
,C1200,B,cc_minus_cw,5,probe,inference_first5_mse,4644491651927860461,0.25,27,,0.002342313528060913
,C1200,B,wc_minus_ww,5,probe,inference_first5_mse,4644491651927860461,0.25,27,,0.002269238233566284
,C1200,B,interaction,5,probe,inference_first5_mse,4644491651927860461,0.25,27,,7.30752944946289e-05
,C1200,B,cc_minus_cw,5,probe,full_mse,4698308146476797737,0.75,80,,-0.0014390051364898682
,C1200,B,wc_minus_ww,5,probe,full_mse,4698308146476797737,0.75,80,,-0.0013906210660934448
,C1200,B,interaction,5,probe,full_mse,4698308146476797737,0.75,80,,-4.838407039642334e-05
,C1200,B,cc_minus_cw,5,probe,first5_mse,4698308146476797737,0.75,80,,-0.008711308240890503
,C1200,B,wc_minus_ww,5,probe,first5_mse,4698308146476797737,0.75,80,,-0.0076789408922195435
,C1200,B,interaction,5,probe,first5_mse,4698308146476797737,0.75,80,,-0.0010323673486709595
,C1200,B,cc_minus_cw,5,probe,tau1_first5_mse,4698308146476797737,0.75,80,,0.0022907517850399017
,C1200,B,wc_minus_ww,5,probe,tau1_first5_mse,4698308146476797737,0.75,80,,0.002590235322713852
,C1200,B,interaction,5,probe,tau1_first5_mse,4698308146476797737,0.75,80,,-0.0002994835376739502
,C1200,B,cc_minus_cw,5,probe,inference_first5_mse,4698308146476797737,0.75,80,,-0.0042787715792655945
,C1200,B,wc_minus_ww,5,probe,inference_first5_mse,4698308146476797737,0.75,80,,-0.0037369877099990845
,C1200,B,interaction,5,probe,inference_first5_mse,4698308146476797737,0.75,80,,-0.00054178386926651
,C1200,A,cc_minus_cw,7,probe,full_mse,3060169894559326343,0.25,30,,-0.009754061698913574
,C1200,A,wc_minus_ww,7,probe,full_mse,3060169894559326343,0.25,30,,-0.009480394423007965
,C1200,A,interaction,7,probe,full_mse,3060169894559326343,0.25,30,,-0.00027366727590560913
,C1200,A,cc_minus_cw,7,probe,first5_mse,3060169894559326343,0.25,30,,0.001585245132446289
,C1200,A,wc_minus_ww,7,probe,first5_mse,3060169894559326343,0.25,30,,0.0028125792741775513
,C1200,A,interaction,7,probe,first5_mse,3060169894559326343,0.25,30,,-0.0012273341417312622
,C1200,A,cc_minus_cw,7,probe,tau1_first5_mse,3060169894559326343,0.25,30,,-0.0010366588830947876
,C1200,A,wc_minus_ww,7,probe,tau1_first5_mse,3060169894559326343,0.25,30,,-0.0007754415273666382
,C1200,A,interaction,7,probe,tau1_first5_mse,3060169894559326343,0.25,30,,-0.0002612173557281494
,C1200,A,cc_minus_cw,7,probe,inference_first5_mse,3060169894559326343,0.25,30,,-0.0016588270664215088
,C1200,A,wc_minus_ww,7,probe,inference_first5_mse,3060169894559326343,0.25,30,,-0.001278415322303772
,C1200,A,interaction,7,probe,inference_first5_mse,3060169894559326343,0.25,30,,-0.0003804117441177368
,C1200,A,cc_minus_cw,7,probe,full_mse,5106880675780522306,0.75,92,,0.002748720347881317
,C1200,A,wc_minus_ww,7,probe,full_mse,5106880675780522306,0.75,92,,0.003123462200164795
,C1200,A,interaction,7,probe,full_mse,5106880675780522306,0.75,92,,-0.0003747418522834778
