action_delta_mse_vs_cc,action_delta_mse_vs_parent,arm,asset,candidate,cc_reconstruction_max_abs,cohort,core_norm,core_reference_norm,core_reference_shape,core_relative_l2,core_shape,core_shape_match,donor_global_task_id,e_norm,e_reference_norm,e_reference_shape,e_relative_l2,e_shape,e_shape_match,first5_dimension_mse,first5_mse,first5_time_mse,full_mse,fused_norm,fused_reference_norm,fused_reference_shape,fused_relative_l2,fused_shape,fused_shape_match,global_task_id,h_norm,h_reference_norm,h_reference_shape,h_relative_l2,h_shape,h_shape_match,inference_first5_actions,inference_first5_dimension_mse,inference_first5_mse,inference_first5_time_mse,lora_a_norm,lora_a_relative_l2,lora_b_norm,lora_b_relative_l2,noise_seed,other_demo,procedure_norm,procedure_reference_norm,procedure_reference_shape,procedure_relative_l2,procedure_shape,procedure_shape_match,query_demo,query_fraction,query_position,suite,suite_task_id,target_first5_actions,tau1_first5_dimension_mse,tau1_first5_mse,tau1_first5_time_mse,teacher_demo,window
0.0,7.537882629549131e-05,CC,C600,J,,A,178.8418426513672,178.8418426513672,"[1,15,256]",0.0,"[1,15,256]",True,7,535.6664428710938,535.6664428710938,"[23,15,256]",0.0,"[23,15,256]",True,"[0.14275048673152924,0.0859932079911232,0.22702491283416748,0.0011209049262106419,0.13727207481861115,0.042285311967134476,0.4617614448070526]",0.15688690543174744,"[0.25387686491012573,0.20328828692436218,0.1437481939792633,0.10468710958957672,0.07883408665657043]",0.07395613938570023,281.98089599609375,281.98089599609375,[81920],0.0,[81920],True,5,418.1316833496094,418.1316833496094,"[23,50,1024]",0.0,"[23,50,1024]",True,"[[[-0.24316732585430145,0.08666350692510605,-0.5464643239974976,-0.08227270841598511,-0.07978447526693344,-0.002903219312429428,1.0058140754699707],[-0.19695505499839783,0.09912058711051941,-0.5030427575111389,-0.09729740023612976,-0.1068945974111557,-0.006898373365402222,1.0163211822509766],[-0.15304741263389587,0.086546391248703,-0.49107182025909424,-0.08189442753791809,-0.09417089819908142,-0.025739498436450958,1.0079352855682373],[-0.10431478172540665,0.08254681527614594,-0.4376245141029358,-0.08357849717140198,-0.0781569853425026,-0.028765171766281128,1.0166213512420654],[-0.0347207710146904,0.07584893703460693,-0.31988388299942017,-0.11672653257846832,-0.06730343401432037,-0.08278484642505646,1.008253812789917]]]","[0.0031036860309541225,0.08499250560998917,0.14133980870246887,0.03839726746082306,0.10472259670495987,0.026735467836260796,0.8047928214073181]",0.17201203107833862,"[0.6286399960517883,0.05922095477581024,0.06293114274740219,0.06456905603408813,0.04469897970557213]",35.80295705889915,0.0,42.40165515743549,0.0,5898604950164596219,48,979.16650390625,979.16650390625,"[1,23,256]",0.0,"[1,23,256]",True,47,0.25,27,libero_spatial,5,"[[[-0.26428622007369995,0.42056000232696533,-0.2790701985359192,-0.27946358919143677,-0.46504712104797363,-0.08318740129470825,-1.0],[-0.1285719871520996,0.40186846256256104,-0.10755860805511475,-0.2659956216812134,-0.44073110818862915,-0.15398377180099487,0.9999990463256836],[-0.12142914533615112,0.3676004409790039,-0.03197723627090454,-0.27272963523864746,-0.3799409866333008,-0.20354115962982178,0.9999990463256836],[-0.1285719871520996,0.3676004409790039,-0.017442405223846436,-0.30639952421188354,-0.3981780409812927,-0.2318597435951233,0.9999990463256836],[-0.1285719871520996,0.32398688793182373,-0.017442405223846436,-0.3131335377693176,-0.3495458960533142,-0.2637180685997009,0.9999990463256836]]]","[0.13380739092826843,0.0599021315574646,0.1581348031759262,0.0008609229698777199,0.11282870918512344,0.03135239705443382,0.3773709833621979]",0.12489389628171921,"[0.1916472613811493,0.16774393618106842,0.118065245449543,0.08627121150493622,0.06074189394712448]",46,B4
0.0,7.528354035457596e-05,CC,C600,J,,A,178.8418426513672,178.8418426513672,"[1,15,256]",0.0,"[1,15,256]",True,7,535.6664428710938,535.6664428710938,"[23,15,256]",0.0,"[23,15,256]",True,"[0.40388527512550354,0.0035529439337551594,0.14154909551143646,0.13457785546779633,0.2116156816482544,0.10834445804357529,0.0016552305314689875]",0.14359721541404724,"[0.13280904293060303,0.18054801225662231,0.1764025241136551,0.13562703132629395,0.09259951859712601]",0.15384724736213684,281.98089599609375,281.98089599609375,[81920],0.0,[81920],True,5,418.1316833496094,418.1316833496094,"[23,50,1024]",0.0,"[23,50,1024]",True,"[[[-0.6190029978752136,0.15806806087493896,-0.598516583442688,0.03844732046127319,-0.11822500824928284,-0.14391393959522247,1.0080527067184448],[-0.7028957009315491,0.13441060483455658,-0.6396210193634033,0.03641638904809952,-0.2361031472682953,-0.10140933841466904,1.0041084289550781],[-0.788354754447937,0.12012795358896255,-0.6789635419845581,0.06493637710809708,-0.41155362129211426,-0.07594650238752365,0.999292254447937],[-0.9086947441101074,0.0865815207362175,-0.7294067740440369,0.0953606367111206,-0.6958580017089844,-0.04205644875764847,1.0052720308303833],[-1.0054107904434204,0.06236904859542847,-0.746543288230896,0.11908954381942749,-0.9113542437553406,0.0026927292346954346,0.9954644441604614]]]","[0.25169283151626587,0.0008973957155831158,0.1200157031416893,0.11450468748807907,0.16269095242023468,0.06661643087863922,2.612300158943981e-05]",0.1023491695523262,"[0.12970590591430664,0.1223541870713234,0.0973183810710907,0.07852838933467865,0.08383896201848984]",35.80295705889915,0.0,42.40165515743549,0.0,1908307486257974580,48,979.16650390625,979.16650390625,"[1,23,256]",0.0,"[1,23,256]",True,47,0.75,81,libero_spatial,5,"[[[-1.1464284658432007,0.11837947368621826,-1.034883737564087,-0.2659956216812134,-0.6656544208526611,0.06902480125427246,0.9999990463256836],[-1.2999998331069946,0.10591840744018555,-1.034883737564087,-0.2659956216812134,-0.6717334985733032,0.14690065383911133,0.9999990463256836],[-1.3642854690551758,0.09968781471252441,-1.034883737564087,-0.2659956216812134,-0.5927063226699829,0.20707762241363525,0.9999990463256836],[-1.374999761581421,0.09345734119415283,-1.0058139562606812,-0.2659956216812134,-0.4954422116279602,0.24955546855926514,0.9999990463256836],[-1.2785712480545044,0.10280311107635498,-0.970930278301239,-0.2659956216812134,-0.41033607721328735,0.24955546855926514,0.9999990463256836]]]","[0.0969170480966568,0.007308061700314283,0.09715386480093002,0.012114357203245163,0.012051640078425407,0.031004026532173157,0.006863500457257032]",0.0376303605735302,"[0.022619998082518578,0.03503461554646492,0.047102734446525574,0.04576357454061508,0.03763087838888168]",46,B4
0.0,5.809600042994134e-05,CC,C600,J,,B,178.1055145263672,178.1055145263672,"[1,15,256]",0.0,"[1,15,256]",True,7,534.7340698242188,534.7340698242188,"[23,15,256]",0.0,"[23,15,256]",True,"[0.14074426889419556,0.02502921223640442,0.056014902889728546,0.045839495956897736,2.2523491382598877,0.49091610312461853,0.004671681672334671]",0.43079495429992676,"[0.5124384760856628,0.5451701879501343,0.4912557601928711,0.35860997438430786,0.24650044739246368]",0.1727156788110733,281.9867248535156,281.9867248535156,[81920],0.0,[81920],True,5,418.71795654296875,418.71795654296875,"[23,50,1024]",0.0,"[23,50,1024]",True,"[[[-0.644752025604248,0.04120577871799469,-1.0650280714035034,-0.24433022737503052,-0.08251744508743286,-0.04500395432114601,-1.0143837928771973],[-0.6501711010932922,0.053490545600652695,-1.0799360275268555,-0.25743091106414795,-0.07798651605844498,-0.03403336554765701,-1.0176448822021484],[-0.6678628921508789,0.07679829746484756,-1.1067821979522705,-0.27642500400543213,-0.09279616922140121,-0.0333094596862793,-1.0120640993118286],[-0.6675825119018555,0.07338456064462662,-1.095165491104126,-0.2659696638584137,-0.08655061572790146,-0.028878673911094666,-1.0062309503555298],[-0.6714820265769958,0.08785240352153778,-1.0657470226287842,-0.2539452612400055,-0.06729239225387573,-0.04075920581817627,-1.0117334127426147]]]","[0.040925346314907074,0.002285345923155546,0.12464483827352524,0.03319331631064415,1.5086703300476074,0.28286418318748474,0.00016805512132123113]",0.28467878699302673,"[0.3448235094547272,0.35238614678382874,0.32021188735961914,0.23580555617809296,0.17016680538654327]",35.91787384170016,0.0,42.41052245122033,0.0,4644491651927860461,46,974.5165405273438,974.5165405273438,"[1,23,256]",0.0,"[1,23,256]",True,49,0.25,27,libero_spatial,5,"[[[-0.3571432828903198,0.02180635929107666,-0.6802327036857605,-0.07071006298065186,-1.4255306720733643,-0.6353988647460938,-1.0],[-0.3964289426803589,0.02180635929107666,-0.6744188070297241,-0.050508081912994385,-1.443767786026001,-0.607080340385437,-1.0],[-0.4500003457069397,0.02180635929107666,-0.7005815505981445,-0.05724203586578369,-1.38905668258667,-0.5787618160247803,-1.0],[-0.5678573846817017,0.02180635929107666,-0.7790699005126953,-0.08417803049087524,-1.2066863775253296,-0.5292043685913086,-1.0],[-0.6821430921554565,0.02180635929107666,-0.8517442941665649,-0.14478391408920288,-1.0364739894866943,-0.476107120513916,-1.0]]]","[0.17233802378177643,0.032059185206890106,0.035231322050094604,0.03069671429693699,1.1631144285202026,0.24284003674983978,0.0019283074652776122]",0.23974402248859406,"[0.2950763404369354,0.30333513021469116,0.2745603024959564,0.1962805539369583,0.12946771085262299]",48,B4
0.0,0.0003766596782952547,CC,C600,J,,B,178.1055145263672,178.1055145263672,"[1,15,256]",0.0,"[1,15,256]",True,7,534.7340698242188,534.7340698242188,"[23,15,256]",0.0,"[23,15,256]",True,"[1.0516116619110107,0.23239807784557343,0.058452364057302475,0.07943659275770187,0.014479102566838264,0.02331571839749813,9.160864283330739e-05]",0.20854072272777557,"[0.21530957520008087,0.13997122645378113,0.14901480078697205,0.24800240993499756,0.29040566086769104]",0.1521451622247696,281.9867248535156,281.9867248535156,[81920],0.0,[81920],True,5,418.71795654296875,418.71795654296875,"[23,50,1024]",0.0,"[23,50,1024]",True,"[[[0.6113251447677612,-0.13998034596443176,-0.45839017629623413,-0.0793149396777153,-0.6837285757064819,-0.06699560582637787,1.004140853881836],[0.6021416187286377,-0.23017334938049316,-0.6147044897079468,-0.10063114762306213,-0.6294023394584656,-0.06964167952537537,1.0066227912902832],[0.5768192410469055,-0.2704128921031952,-0.7372331619262695,-0.13143065571784973,-0.5838894248008728,-0.06877049058675766,1.0096951723098755],[0.5392295122146606,-0.2789050340652466,-0.8350300788879395,-0.15332725644111633,-0.5859535932540894,-0.06826271116733551,1.0112557411193848],[0.48016706109046936,-0.24048887193202972,-0.9482243061065674,-0.1898004114627838,-0.6224268078804016,-0.06007525324821472,1.0116671323776245]]]","[0.2398994415998459,0.021206283941864967,0.07749251276254654,0.025366103276610374,0.15564218163490295,0.0006899263244122267,8.358016930287704e-05]",0.07434000819921494,"[0.05523724853992462,0.06904898583889008,0.07644884288311005,0.07932247966527939,0.09164248406887054]",35.91787384170016,0.0,42.41052245122033,0.0,4698308146476797737,46,974.5165405273438,974.5165405273438,"[1,23,256]",0.0,"[1,23,256]",True,49,0.75,80,libero_spatial,5,"[[[1.064284324645996,-0.11215001344680786,-0.3488374948501587,-0.2659956216812134,-1.0486321449279785,-0.040709614753723145,0.9999990463256836],[1.042855978012085,-0.13707208633422852,-0.3575584888458252,-0.2659956216812134,-1.0607901811599731,-0.040709614753723145,0.9999990463256836],[1.0499987602233887,-0.14330261945724487,-0.42441892623901367,-0.2659956216812134,-1.006079077720642,-0.040709614753723145,0.9999990463256836],[1.071427345275879,-0.07476687431335449,-0.5465118885040283,-0.2659956216812134,-0.9513679146766663,-0.040709614753723145,0.9999990463256836],[1.0214273929595947,-0.043614208698272705,-0.5901165008544922,-0.3737393617630005,-1.006079077720642,-0.040709614753723145,0.9999990463256836]]]","[0.015150688588619232,0.0010874273721128702,0.005060381721705198,0.03301259130239487,0.46928271651268005,0.008350416086614132,6.651420699199662e-05]",0.07600153237581253,"[0.09270825982093811,0.09192866832017899,0.06836973875761032,0.058272261172533035,0.06872879713773727]",48,B4
0.0,6.9439101935131475e-06,CC,C600,J,,A,186.91029357910156,186.91029357910156,"[1,14,256]",0.0,"[1,14,256]",True,5,607.6581420898438,607.6581420898438,"[37,14,256]",0.0,"[37,14,256]",True,"[0.15428994596004486,0.000885717396158725,0.09602281451225281,0.09326831251382828,1.134925127029419,0.004252253565937281,0.0020543113350868225]",0.21224264800548553,"[0.17811688780784607,0.20297211408615112,0.2240389883518219,0.22399868071079254,0.23208655416965485]",0.10718654096126556,281.8837585449219,281.8837585449219,[81920],0.0,[81920],True,7,530.3644409179688,530.3644409179688,"[37,50,1024]",0.0,"[37,50,1024]",True,"[[[-0.16520872712135315,0.0031220412347465754,0.006713457405567169,-0.24224376678466797,-0.0700918436050415,-0.11550872027873993,0.9988692402839661],[-0.1424822062253952,0.002098582684993744,0.028644364327192307,-0.22675803303718567,-0.0751199945807457,-0.12347601354122162,0.9968589544296265],[-0.14896667003631592,0.0034850463271141052,0.041250087320804596,-0.21095943450927734,-0.08429425954818726,-0.12264396995306015,1.0040407180786133],[-0.1320837438106537,0.006703414022922516,0.0649850144982338,-0.19444668292999268,-0.06167516112327576,-0.11687198281288147,1.011762261390686],[-0.12481652200222015,-0.0007178783416748047,0.09078600257635117,-0.18655498325824738,-0.0637987032532692,-0.10677757859230042,1.0026209354400635]]]","[0.09783368557691574,0.0005291301058605313,0.12610337138175964,0.06705261766910553,0.7757115364074707,0.004753417801111937,3.454385660006665e-05]",0.15314547717571259,"[0.13443860411643982,0.1522180289030075,0.16041617095470428,0.15550513565540314,0.16314946115016937]",29.62116128057856,0.0,37.25659882669386,0.0,3060169894559326343,48,1241.73486328125,1241.73486328125,"[1,37,256]",0.0,"[1,37,256]",True,47,0.25,30,libero_spatial,7,"[[[-0.5750002861022949,0.02180635929107666,-0.4447677731513977,-0.4814831614494324,0.641332745552063,-0.040709614753723145,0.9999990463256836],[-0.5142860412597656,0.02180635929107666,-0.36627936363220215,-0.49495112895965576,0.7568339109420776,-0.040709614753723145,0.9999990463256836],[-0.45357179641723633,0.02180635929107666,-0.29651206731796265,-0.5016851425170898,0.8237029314041138,-0.040709614753723145,0.9999990463256836],[-0.38571470975875854,0.02180635929107666,-0.2412794828414917,-0.47474920749664307,0.8601770401000977,-0.07610780000686646,0.9999990463256836],[-0.2857147455215454,-0.03738367557525635,-0.15988421440124512,-0.39394134283065796,0.9392043352127075,-0.16106337308883667,0.9999990463256836]]]","[0.04709532856941223,0.00031284301076084375,0.02504780702292919,0.04226244240999222,0.5866925716400146,0.0025973375886678696,0.004552678670734167]",0.10122299939393997,"[0.08278851211071014,0.0949268713593483,0.10240163654088974,0.10870635509490967,0.1172916516661644]",46,B4
0.0,0.00011108656326541677,CC,C600,J,,A,186.91029357910156,186.91029357910156,"[1,14,256]",0.0,"[1,14,256]",True,5,607.6581420898438,607.6581420898438,"[37,14,256]",0.0,"[37,14,256]",True,"[0.07280135899782181,0.0629953071475029,0.026300255209207535,0.013180178590118885,0.0542161725461483,0.023026319220662117,0.0001955698971869424]",0.036102164536714554,"[0.03019038215279579,0.030943743884563446,0.03418634086847305,0.03898458927869797,0.046205781400203705]",0.11982536315917969,281.8837585449219,281.8837585449219,[81920],0.0,[81920],True,7,530.3644409179688,530.3644409179688,"[37,50,1024]",0.0,"[37,50,1024]",True,"[[[0.4337483048439026,0.4604041874408722,-0.02913932502269745,-0.2755869925022125,-0.5682137608528137,-0.551139235496521,0.9987313747406006],[0.4214908480644226,0.43373021483421326,-0.052443284541368484,-0.2714903950691223,-0.5357381701469421,-0.5371643900871277,1.0023497343063354],[0.41753965616226196,0.4090731739997864,-0.07337458431720734,-0.2636893093585968,-0.5152720808982849,-0.527072548866272,1.0039080381393433],[0.4216347932815552,0.38590890169143677,-0.09744091331958771,-0.2602550983428955,-0.5043376684188843,-0.5212783217430115,1.006052017211914],[0.42195627093315125,0.3649084270000458,-0.12014161795377731,-0.2579989731311798,-0.4971321225166321,-0.5078405141830444,1.0057117938995361]]]","[0.06353576481342316,0.002390798879787326,0.14127899706363678,4.4881202484248206e-05,0.20697787404060364,0.05583552271127701,1.833737587730866e-05]",0.06715459376573563,"[0.07901155203580856,0.07235419750213623,0.06642021238803864,0.06147841736674309,0.05650859326124191]",29.62116128057856,0.0,37.25659882669386,0.0,5106880675780522306,48,1241.73486328125,1241.73486328125,"[1,37,256]",0.0,"[1,37,256]",True,47,0.75,92,libero_spatial,7,"[[[0.6607131958007812,0.42367517948150635,-0.46511656045913696,-0.2659956216812134,-0.06991147994995117,-0.30265605449676514,0.9999990463256836],[0.6714276075363159,0.4299057722091675,-0.46511656045913696,-0.2659956216812134,-0.06991147994995117,-0.29911625385284424,0.9999990463256836],[0.6785702705383301,0.4392514228820801,-0.4505816698074341,-0.2659956216812134,-0.06991147994995117,-0.29203659296035767,0.9999990463256836],[0.6821417808532715,0.4423668384552002,-0.436046838760376,-0.2659956216812134,-0.06991147994995117,-0.2849569320678711,0.9999990463256836],[0.6821417808532715,0.44548213481903076,-0.4186049699783325,-0.2659956216812134,-0.06991147994995117,-0.2849569320678711,0.9999990463256836]]]","[0.0662100687623024,0.055004801601171494,0.023619644343852997,0.010134420357644558,0.05362483486533165,0.019489645957946777,0.00019999458163511008]",0.0326119139790535,"[0.02643631584942341,0.02752186357975006,0.030716612935066223,0.036514025181531906,0.04187076538801193]",46,B4
0.0,6.167236278997734e-06,CC,C600,J,,B,186.7517547607422,186.7517547607422,"[1,14,256]",0.0,"[1,14,256]",True,5,522.0968627929688,522.0968627929688,"[28,14,256]",0.0,"[28,14,256]",True,"[0.14021918177604675,0.008872662670910358,0.03598059341311455,0.16454075276851654,0.07003124803304672,0.02160683274269104,0.0003974873689003289]",0.0630926787853241,"[0.050740279257297516,0.051022011786699295,0.05636092275381088,0.07930537313222885,0.07803481817245483]",0.07237732410430908,281.8660583496094,281.8660583496094,[81920],0.0,[81920],True,7,462.6961975097656,462.6961975097656,"[28,50,1024]",0.0,"[28,50,1024]",True,"[[[-0.13388772308826447,-0.021044913679361343,-0.01521611399948597,-0.26489022374153137,0.2900870740413666,-0.08008300513029099,1.0063592195510864],[-0.12346752732992172,-0.021078720688819885,-0.005598867312073708,-0.26443031430244446,0.3292401432991028,-0.081605926156044,1.0127298831939697],[-0.11282891035079956,-0.024146854877471924,-0.0026705563068389893,-0.2557428777217865,0.3441082537174225,-0.08072815090417862,1.0139234066009521],[-0.10702145844697952,-0.0259503573179245,0.009527536109089851,-0.2519962787628174,0.3550946116447449,-0.08634477108716965,1.014007568359375],[-0.07233665138483047,0.0006301030516624451,0.030686214566230774,-0.2514992356300354,0.360121488571167,-0.08403991907835007,1.0143325328826904]]]","[0.05223732069134712,0.001727038063108921,0.056825101375579834,0.037579428404569626,0.056519877165555954,0.004382231738418341,0.00015962027828209102]",0.02991866134107113,"[0.01928316429257393,0.018382836133241653,0.024050483480095863,0.034678127616643906,0.053198691457509995]",28.99132328292446,0.0,36.929043254191825,0.0,4594143207052349333,46,1086.943359375,1086.943359375,"[1,28,256]",0.0,"[1,28,256]",True,49,0.25,38,libero_spatial,7,"[[[-0.3535718321800232,-0.09345841407775879,-0.2674422860145569,-0.3468034863471985,0.21580207347869873,-0.005311429500579834,0.9999990463256836],[-0.3250004053115845,-0.05919051170349121,-0.23546552658081055,-0.40067535638809204,0.2279599905014038,-0.012391090393066406,0.9999990463256836],[-0.33214324712753296,-0.028037965297698975,-0.22674459218978882,-0.4478132128715515,0.17324888706207275,-0.019470691680908203,0.9999990463256836],[-0.3285719156265259,0.012460470199584961,-0.20639574527740479,-0.5218870639801025,0.09422183036804199,-0.019470691680908203,0.9999990463256836],[-0.3464289903640747,0.02180635929107666,-0.23546552658081055,-0.4814831614494324,-0.051674485206604004,-0.02655029296875,0.9999990463256836]]]","[0.0537395142018795,0.0014354395680129528,0.09405601769685745,0.03642973303794861,0.015446655452251434,0.008932049386203289,0.00032541240216232836]",0.030052118003368378,"[0.0186019130051136,0.020727558061480522,0.026485146954655647,0.03487217426300049,0.04957379773259163]",48,B4
0.0,0.00013886358647141606,CC,C600,J,,B,186.7517547607422,186.7517547607422,"[1,14,256]",0.0,"[1,14,256]",True,5,522.0968627929688,522.0968627929688,"[28,14,256]",0.0,"[28,14,256]",True,"[0.013883218169212341,0.000144744582939893,0.025228148326277733,0.0009672098676674068,0.04848233610391617,0.006066689267754555,0.004991327878087759]",0.01425195299088955,"[0.017206180840730667,0.01458972878754139,0.014883451163768768,0.013153338804841042,0.011427066288888454]",0.04969314485788345,281.8660583496094,281.8660583496094,[81920],0.0,[81920],True,7,462.6961975097656,462.6961975097656,"[28,50,1024]",0.0,"[28,50,1024]",True,"[[[0.34111177921295166,0.7269411087036133,-0.2153548300266266,-0.21847650408744812,-0.7485424876213074,-0.062594473361969,1.0103769302368164],[0.32243233919143677,0.7190984487533569,-0.25881093740463257,-0.20501863956451416,-0.7333592176437378,-0.05955156683921814,1.0093631744384766],[0.3102062940597534,0.708814263343811,-0.3074333965778351,-0.21726202964782715,-0.7034357786178589,-0.06296810507774353,1.0102334022521973],[0.2760428190231323,0.6961876749992371,-0.3525169789791107,-0.21271151304244995,-0.6826336979866028,-0.06115216016769409,1.0097578763961792],[0.25068914890289307,0.6942379474639893,-0.40274110436439514,-0.21808689832687378,-0.6647213697433472,-0.05748416855931282,1.0107651948928833]]]","[0.017573868855834007,0.0008041701512411237,0.0006239206995815039,0.002577156061306596,0.1932738870382309,0.02723441831767559,0.00010225483129033819]",0.03459852188825607,"[0.03782696649432182,0.04022984951734543,0.03450595960021019,0.030457237735390663,0.029972609132528305]",28.99132328292446,0.0,36.929043254191825,0.0,4843176701914511588,46,1086.943359375,1086.943359375,"[1,28,256]",0.0,"[1,28,256]",True,49,0.75,114,libero_spatial,7,"[[[0.503570556640625,0.7725847959518433,-0.21220970153808594,-0.2659956216812134,-0.27051883935928345,-0.1362847089767456,0.9999990463256836],[0.46071338653564453,0.7507778406143188,-0.2906981110572815,-0.2659956216812134,-0.24012374877929688,-0.17522269487380981,0.9999990463256836],[0.4249991178512573,0.732086181640625,-0.34011662006378174,-0.2659956216812134,-0.2583608031272888,-0.22478008270263672,0.9999990463256836],[0.3892848491668701,0.7133947610855103,-0.3837212324142456,-0.2659956216812134,-0.2887558937072754,-0.2637180685997009,0.9999990463256836],[0.37857067584991455,0.7040488719940186,-0.4098840355873108,-0.2592616677284241,-0.2887558937072754,-0.2814171314239502,0.9999990463256836]]]","[0.00709428358823061,0.00037690260796807706,0.035677384585142136,0.00349103263579309,0.019705528393387794,0.0034395044203847647,0.0003498439327813685]",0.01001921109855175,"[0.009843552485108376,0.009442389011383057,0.010406974703073502,0.011260835453867912,0.009142307564616203]",48,B4
0.0,3.446234768489376e-05,CC,C600,J,,A,234.10342407226562,234.10342407226562,"[1,11,256]",0.0,"[1,11,256]",True,14,488.8270568847656,488.8270568847656,"[25,11,256]",0.0,"[25,11,256]",True,"[0.052534956485033035,0.0054621086455881596,0.012943846173584461,0.0031067875679582357,0.3640029728412628,0.0072120982222259045,0.0004899152554571629]",0.06367895007133484,"[0.0813160240650177,0.08306103944778442,0.061458341777324677,0.0387955978512764,0.05376376584172249]",0.053554732352495193,281.952392578125,281.952392578125,[81920],0.0,[81920],True,12,436.6278991699219,436.6278991699219,"[25,50,1024]",0.0,"[25,50,1024]",True,"[[[-0.2503765821456909,0.11992841958999634,-0.5938926339149475,-0.26194795966148376,-0.25136128067970276,-0.020120367407798767,-0.997330904006958],[-0.2786676287651062,0.11483605206012726,-0.6137411594390869,-0.27166131138801575,-0.24440619349479675,-0.029308117926120758,-1.0080928802490234],[-0.3135094940662384,0.05854425206780434,-0.664797306060791,-0.25411197543144226,-0.23952890932559967,-0.031927287578582764,-1.0132899284362793],[-0.31807246804237366,0.03376978635787964,-0.7069644927978516,-0.2386985570192337,-0.2126772254705429,-0.042262956500053406,-1.0139189958572388],[-0.2909282445907593,-0.008829474449157715,-0.7435779571533203,-0.24485397338867188,-0.15857382118701935,-0.04167360067367554,-1.002637505531311]]]","[0.01377485878765583,0.0038827743846923113,0.005679169204086065,0.00027636074810288846,0.10341038554906845,9.605467494111508e-05,8.998717385111377e-05]",0.018172798678278923,"[0.020763982087373734,0.022895006462931633,0.015508618205785751,0.010925962589681149,0.020770421251654625]",30.069133883118855,0.0,47.0640043778561,0.0,5545119331277237353,48,968.3887939453125,968.3887939453125,"[1,25,256]",0.0,"[1,25,256]",True,47,0.25,32,libero_object,2,"[[[-0.1285719871520996,0.04361319541931152,-0.6831396818161011,-0.2659956216812134,-0.5927063226699829,-0.03363001346588135,-1.0],[-0.1285719871520996,0.02180635929107666,-0.7005815505981445,-0.2659956216812134,-0.5927063226699829,-0.040709614753723145,-1.0],[-0.16071486473083496,0.02180635929107666,-0.7034885287284851,-0.2659956216812134,-0.525837242603302,-0.040709614753723145,-1.0],[-0.22857189178466797,0.02180635929107666,-0.6831396818161011,-0.2659956216812134,-0.47112613916397095,-0.037169814109802246,-1.0],[-0.2785719037055969,0.049843668937683105,-0.6395350694656372,-0.2659956216812134,-0.5197582244873047,-0.03363001346588135,-1.0]]]","[0.08565681427717209,0.0026423323433846235,0.001745940069667995,0.002430473919957876,0.13517028093338013,0.003555509028956294,0.11056774854660034]",0.04882415756583214,"[0.04488680139183998,0.04909350350499153,0.05100264772772789,0.04392589256167412,0.05521194264292717]",46,B4
0.0,0.00010898202162934467,CC,C600,J,,A,234.10342407226562,234.10342407226562,"[1,11,256]",0.0,"[1,11,256]",True,14,488.8270568847656,488.8270568847656,"[25,11,256]",0.0,"[25,11,256]",True,"[0.021349171176552773,0.0012961567845195532,0.015331938862800598,0.0011527459137141705,0.0005519745755009353,0.015085618011653423,0.0004994482733309269]",0.007895293645560741,"[0.00836071465164423,0.005587839055806398,0.006148729007691145,0.009395654313266277,0.009983531199395657]",0.06290505826473236,281.952392578125,281.952392578125,[81920],0.0,[81920],True,12,436.6278991699219,436.6278991699219,"[25,50,1024]",0.0,"[25,50,1024]",True,"[[[-0.2798037528991699,0.9041009545326233,-0.17809012532234192,-0.2606390416622162,-0.07762352377176285,-0.02096874639391899,1.01287043094635],[-0.293234258890152,0.8615149855613708,-0.2516113519668579,-0.2629534602165222,-0.07523725926876068,-0.021743226796388626,1.0191041231155396],[-0.31733638048171997,0.8264622092247009,-0.2905834913253784,-0.25785598158836365,-0.05751049518585205,-0.022229669615626335,1.0257277488708496],[-0.30422478914260864,0.7746421098709106,-0.3307300806045532,-0.24902603030204773,-0.08754190802574158,-0.021899577230215073,1.018515944480896],[-0.30062615871429443,0.7214961647987366,-0.3859300911426544,-0.2383657991886139,-0.07206158339977264,-0.03734705597162247,1.0174578428268433]]]","[0.003137533785775304,0.0016101464862003922,0.0028340518474578857,0.00023111510381568223,0.003165041795000434,0.015804482623934746,0.0003680655499920249]",0.003878634423017502,"[0.004642296116799116,0.003111917292699218,0.003413426224142313,0.0038894512690603733,0.004336079582571983]",30.069133883118855,0.0,47.0640043778561,0.0,6063945589377718727,48,968.3887939453125,968.3887939453125,"[1,25,256]",0.0,"[1,25,256]",True,47,0.75,95,libero_object,2,"[[[-0.30357182025909424,0.8348900079727173,-0.2790701985359192,-0.2659956216812134,-0.1428595781326294,-0.1327449083328247,0.9999990463256836],[-0.2678576111793518,0.819313645362854,-0.3052329421043396,-0.2659956216812134,-0.13678061962127686,-0.1327449083328247,0.9999990463256836],[-0.25357192754745483,0.8037372827529907,-0.32267481088638306,-0.2659956216812134,-0.11854356527328491,-0.1398245096206665,0.9999990463256836],[-0.23571473360061646,0.7663540840148926,-0.33720964193344116,-0.2659956216812134,-0.13678061962127686,-0.16106337308883667,0.9999990463256836],[-0.2250005006790161,0.6915878057479858,-0.3808143138885498,-0.2659956216812134,-0.11246448755264282,-0.1823022961616516,0.9999990463256836]]]","[0.0324515737593174,0.0009201258653774858,0.003347519552335143,0.0011398093774914742,0.0012438864214345813,0.012889622710645199,0.00022851573885418475]",0.0074601504020392895,"[0.012094976380467415,0.005977042485028505,0.005782777443528175,0.0068137203343212605,0.006632236763834953]",46,B4
