panel,suite,task_id,init_state_id,success
writer/validation/correct,libero_10,1,0,0
writer/validation/correct,libero_10,1,1,0
writer/validation/correct,libero_10,1,2,0
writer/validation/correct,libero_10,1,3,1
writer/validation/correct,libero_10,1,4,0
writer/validation/correct,libero_10,1,5,0
writer/validation/correct,libero_10,1,6,0
writer/validation/correct,libero_10,1,7,1
writer/validation/correct,libero_10,1,8,1
writer/validation/correct,libero_10,1,9,1
writer/validation/correct,libero_10,1,10,1
writer/validation/correct,libero_10,1,11,1
writer/validation/correct,libero_10,1,12,0
writer/validation/correct,libero_10,1,13,1
writer/validation/correct,libero_10,1,14,0
writer/validation/correct,libero_10,1,15,1
writer/validation/correct,libero_10,1,16,1
writer/validation/correct,libero_10,1,17,0
writer/validation/correct,libero_10,1,18,1
writer/validation/correct,libero_10,1,19,0
writer/validation/correct,libero_10,1,20,1
writer/validation/correct,libero_10,1,21,0
writer/validation/correct,libero_10,1,22,1
writer/validation/correct,libero_10,1,23,0
writer/validation/correct,libero_10,1,24,1
writer/validation/correct,libero_10,1,25,1
writer/validation/correct,libero_10,1,26,1
writer/validation/correct,libero_10,1,27,0
writer/validation/correct,libero_10,1,28,0
writer/validation/correct,libero_10,1,29,0
writer/validation/correct,libero_10,1,30,1
writer/validation/correct,libero_10,1,31,1
writer/validation/correct,libero_10,1,32,0
writer/validation/correct,libero_10,1,33,0
writer/validation/correct,libero_10,1,34,1
writer/validation/correct,libero_10,1,35,0
writer/validation/correct,libero_10,1,36,1
writer/validation/correct,libero_10,1,37,0
writer/validation/correct,libero_10,1,38,0
writer/validation/correct,libero_10,1,39,1
writer/validation/correct,libero_10,1,40,0
writer/validation/correct,libero_10,1,41,1
writer/validation/correct,libero_10,1,42,0
writer/validation/correct,libero_10,1,43,1
writer/validation/correct,libero_10,1,44,1
writer/validation/correct,libero_10,1,45,1
writer/validation/correct,libero_10,1,46,1
writer/validation/correct,libero_10,1,47,0
writer/validation/correct,libero_10,1,48,0
writer/validation/correct,libero_10,1,49,1
writer/validation/correct,libero_10,9,0,0
writer/validation/correct,libero_10,9,1,0
writer/validation/correct,libero_10,9,2,0
writer/validation/correct,libero_10,9,3,0
writer/validation/correct,libero_10,9,4,0
writer/validation/correct,libero_10,9,5,0
writer/validation/correct,libero_10,9,6,0
writer/validation/correct,libero_10,9,7,0
writer/validation/correct,libero_10,9,8,0
writer/validation/correct,libero_10,9,9,0
writer/validation/correct,libero_10,9,10,0
writer/validation/correct,libero_10,9,11,0
writer/validation/correct,libero_10,9,12,0
writer/validation/correct,libero_10,9,13,0
writer/validation/correct,libero_10,9,14,0
writer/validation/correct,libero_10,9,15,0
writer/validation/correct,libero_10,9,16,0
writer/validation/correct,libero_10,9,17,0
writer/validation/correct,libero_10,9,18,0
writer/validation/correct,libero_10,9,19,0
writer/validation/correct,libero_10,9,20,0
writer/validation/correct,libero_10,9,21,0
writer/validation/correct,libero_10,9,22,0
writer/validation/correct,libero_10,9,23,0
writer/validation/correct,libero_10,9,24,0
writer/validation/correct,libero_10,9,25,0
writer/validation/correct,libero_10,9,26,0
writer/validation/correct,libero_10,9,27,0
writer/validation/correct,libero_10,9,28,0
writer/validation/correct,libero_10,9,29,0
writer/validation/correct,libero_10,9,30,0
writer/validation/correct,libero_10,9,31,0
writer/validation/correct,libero_10,9,32,0
writer/validation/correct,libero_10,9,33,0
writer/validation/correct,libero_10,9,34,0
writer/validation/correct,libero_10,9,35,0
writer/validation/correct,libero_10,9,36,0
writer/validation/correct,libero_10,9,37,0
writer/validation/correct,libero_10,9,38,0
writer/validation/correct,libero_10,9,39,0
writer/validation/correct,libero_10,9,40,0
writer/validation/correct,libero_10,9,41,0
writer/validation/correct,libero_10,9,42,0
writer/validation/correct,libero_10,9,43,0
writer/validation/correct,libero_10,9,44,0
writer/validation/correct,libero_10,9,45,0
writer/validation/correct,libero_10,9,46,0
writer/validation/correct,libero_10,9,47,0
writer/validation/correct,libero_10,9,48,0
writer/validation/correct,libero_10,9,49,0
writer/validation/correct,libero_goal,3,0,0
writer/validation/correct,libero_goal,3,1,0
writer/validation/correct,libero_goal,3,2,0
writer/validation/correct,libero_goal,3,3,0
writer/validation/correct,libero_goal,3,4,0
writer/validation/correct,libero_goal,3,5,0
writer/validation/correct,libero_goal,3,6,0
writer/validation/correct,libero_goal,3,7,0
writer/validation/correct,libero_goal,3,8,0
writer/validation/correct,libero_goal,3,9,0
writer/validation/correct,libero_goal,3,10,0
writer/validation/correct,libero_goal,3,11,0
writer/validation/correct,libero_goal,3,12,0
writer/validation/correct,libero_goal,3,13,0
writer/validation/correct,libero_goal,3,14,0
writer/validation/correct,libero_goal,3,15,0
writer/validation/correct,libero_goal,3,16,0
writer/validation/correct,libero_goal,3,17,0
writer/validation/correct,libero_goal,3,18,0
