panel,method,arm,successes,episodes,success_rate,task_breadth,role,formal
initial,J54,correct,15,32,0.46875,8,train_diagnostic,False
initial,J54,same_task_other,12,32,0.375,8,train_diagnostic,False
initial,J54,wrong,15,32,0.46875,8,train_diagnostic,False
initial,D54,correct,17,32,0.53125,7,train_diagnostic,False
initial,D54,same_task_other,16,32,0.5,7,train_diagnostic,False
initial,D54,wrong,14,32,0.4375,7,train_diagnostic,False
replication,J54,correct,11,32,0.34375,5,train_diagnostic,False
replication,J54,same_task_other,12,32,0.375,4,train_diagnostic,False
replication,J54,wrong,10,32,0.3125,4,train_diagnostic,False
replication,D54,correct,13,32,0.40625,6,train_diagnostic,False
replication,D54,same_task_other,15,32,0.46875,6,train_diagnostic,False
replication,D54,wrong,11,32,0.34375,5,train_diagnostic,False
combined,J54,correct,26,64,0.40625,8,train_diagnostic,False
combined,J54,same_task_other,24,64,0.375,8,train_diagnostic,False
combined,J54,wrong,25,64,0.390625,8,train_diagnostic,False
combined,D54,correct,30,64,0.46875,7,train_diagnostic,False
combined,D54,same_task_other,31,64,0.484375,8,train_diagnostic,False
combined,D54,wrong,25,64,0.390625,8,train_diagnostic,False
