panel,method,arm,global_task_id,successes,episodes
initial,J54,correct,5,2,4
initial,J54,correct,7,3,4
initial,J54,correct,12,3,4
initial,J54,correct,14,3,4
initial,J54,correct,20,1,4
initial,J54,correct,25,1,4
initial,J54,correct,34,1,4
initial,J54,correct,37,1,4
initial,J54,same_task_other,5,1,4
initial,J54,same_task_other,7,2,4
initial,J54,same_task_other,12,2,4
initial,J54,same_task_other,14,3,4
initial,J54,same_task_other,20,1,4
initial,J54,same_task_other,25,1,4
initial,J54,same_task_other,34,1,4
initial,J54,same_task_other,37,1,4
initial,J54,wrong,5,2,4
initial,J54,wrong,7,2,4
initial,J54,wrong,12,2,4
initial,J54,wrong,14,3,4
initial,J54,wrong,20,3,4
initial,J54,wrong,25,1,4
initial,J54,wrong,34,1,4
initial,J54,wrong,37,1,4
initial,D54,correct,5,3,4
initial,D54,correct,7,2,4
initial,D54,correct,12,4,4
initial,D54,correct,14,4,4
initial,D54,correct,20,1,4
initial,D54,correct,25,0,4
initial,D54,correct,34,2,4
initial,D54,correct,37,1,4
initial,D54,same_task_other,5,3,4
initial,D54,same_task_other,7,3,4
initial,D54,same_task_other,12,3,4
initial,D54,same_task_other,14,4,4
initial,D54,same_task_other,20,0,4
initial,D54,same_task_other,25,1,4
initial,D54,same_task_other,34,1,4
initial,D54,same_task_other,37,1,4
initial,D54,wrong,5,2,4
initial,D54,wrong,7,2,4
initial,D54,wrong,12,3,4
initial,D54,wrong,14,4,4
initial,D54,wrong,20,1,4
initial,D54,wrong,25,1,4
initial,D54,wrong,34,1,4
initial,D54,wrong,37,0,4
replication,J54,correct,5,2,4
replication,J54,correct,7,0,4
replication,J54,correct,12,4,4
replication,J54,correct,14,3,4
replication,J54,correct,20,0,4
replication,J54,correct,25,0,4
replication,J54,correct,34,1,4
replication,J54,correct,37,1,4
replication,J54,same_task_other,5,0,4
replication,J54,same_task_other,7,0,4
replication,J54,same_task_other,12,4,4
replication,J54,same_task_other,14,3,4
replication,J54,same_task_other,20,0,4
replication,J54,same_task_other,25,0,4
replication,J54,same_task_other,34,1,4
replication,J54,same_task_other,37,4,4
replication,J54,wrong,5,0,4
replication,J54,wrong,7,1,4
replication,J54,wrong,12,4,4
replication,J54,wrong,14,3,4
replication,J54,wrong,20,0,4
replication,J54,wrong,25,0,4
replication,J54,wrong,34,0,4
replication,J54,wrong,37,2,4
replication,D54,correct,5,0,4
replication,D54,correct,7,2,4
replication,D54,correct,12,4,4
replication,D54,correct,14,3,4
replication,D54,correct,20,2,4
replication,D54,correct,25,0,4
replication,D54,correct,34,1,4
replication,D54,correct,37,1,4
replication,D54,same_task_other,5,0,4
replication,D54,same_task_other,7,2,4
replication,D54,same_task_other,12,4,4
replication,D54,same_task_other,14,4,4
replication,D54,same_task_other,20,2,4
replication,D54,same_task_other,25,0,4
replication,D54,same_task_other,34,1,4
replication,D54,same_task_other,37,2,4
replication,D54,wrong,5,1,4
replication,D54,wrong,7,0,4
replication,D54,wrong,12,4,4
replication,D54,wrong,14,4,4
replication,D54,wrong,20,1,4
replication,D54,wrong,25,0,4
replication,D54,wrong,34,0,4
replication,D54,wrong,37,1,4
combined,J54,correct,5,4,8
combined,J54,correct,7,3,8
combined,J54,correct,12,7,8
combined,J54,correct,14,6,8
combined,J54,correct,20,1,8
combined,J54,correct,25,1,8
combined,J54,correct,34,2,8
combined,J54,correct,37,2,8
combined,J54,same_task_other,5,1,8
combined,J54,same_task_other,7,2,8
combined,J54,same_task_other,12,6,8
combined,J54,same_task_other,14,6,8
combined,J54,same_task_other,20,1,8
combined,J54,same_task_other,25,1,8
combined,J54,same_task_other,34,2,8
combined,J54,same_task_other,37,5,8
combined,J54,wrong,5,2,8
combined,J54,wrong,7,3,8
combined,J54,wrong,12,6,8
combined,J54,wrong,14,6,8
combined,J54,wrong,20,3,8
combined,J54,wrong,25,1,8
combined,J54,wrong,34,1,8
combined,J54,wrong,37,3,8
combined,D54,correct,5,3,8
combined,D54,correct,7,4,8
combined,D54,correct,12,8,8
combined,D54,correct,14,7,8
combined,D54,correct,20,3,8
combined,D54,correct,25,0,8
combined,D54,correct,34,3,8
combined,D54,correct,37,2,8
combined,D54,same_task_other,5,3,8
combined,D54,same_task_other,7,5,8
combined,D54,same_task_other,12,7,8
combined,D54,same_task_other,14,8,8
combined,D54,same_task_other,20,2,8
combined,D54,same_task_other,25,1,8
combined,D54,same_task_other,34,2,8
combined,D54,same_task_other,37,3,8
combined,D54,wrong,5,3,8
combined,D54,wrong,7,2,8
combined,D54,wrong,12,7,8
combined,D54,wrong,14,8,8
combined,D54,wrong,20,2,8
combined,D54,wrong,25,1,8
combined,D54,wrong,34,1,8
combined,D54,wrong,37,1,8
